BAPA	01	bapa01	
BAPA	02	bapa02	
BAPA	03	bapa03	
BAPA	04	bapa04	
BAPA	05	bapa05	
BCBMEA	1	bcbmea01_bm2sa	icbm2sa	bcbmea01
BCBMEA	2	bcbmea02_bm2sa_2	icbm2sa_2	bcbmea01_2
BCBMEA	3	bcbmea03_bm2sa_3	icbm2sa_3	bcbmea01_3
BCBMEA	4	bcbmea04_bm2pp	icbm2pp	bcbmea02
BCBMEA	5	bcbmea05_bm2pp_2	icbm2pp_2	bcbmea02_2
BCBMEA	6	bcbmea06_bm2pp_3	icbm2pp_3	bcbmea02_3
BCBMEA	7	bcbmea07_bm2bm	icbm2bm	bcbmea03
BCBMEA	8	bcbmea08_bm2bm_2	icbm2bm_2	bcbmea03_2
BCBMEA	9	bcbmea09_bm2bm_3	icbm2bm_3	bcbmea03_3
BCBMEA	10	bcbmea10_bm2ss	icbm2ss	bcbmea04
BCBMEA	11	bcbmea11_bm2ss_2	icbm2ss_2	bcbmea04_2
BCBMEA	12	bcbmea12_bm2ss_3	icbm2ss_3	bcbmea04_3
BCBMEA	13	bcbmea13_bm1sa	icbm1sa	bcbmea05
BCBMEA	14	bcbmea14_bm1sa_2	icbm1sa_2	bcbmea05_2
BCBMEA	15	bcbmea15_bm1sa_3	icbm1sa_3	bcbmea05_3
BCBMEA	16	bcbmea16_bm1pd	icbm1pd	bcbmea06
BCBMEA	17	bcbmea17_bm1pd_2	icbm1pd_2	bcbmea06_2
BCBMEA	18	bcbmea18_bm1pd_3	icbm1pd_3	bcbmea06_3
BCBMEA	19	bcbmea19_bm1ps	icbm1ps	bcbmea07
BCBMEA	20	bcbmea20_bm1ps_2	icbm1ps_2	bcbmea07_2
BCBMEA	21	bcbmea21_bm1ps_3	icbm1ps_3	bcbmea07_3
BCBMEA	22	bcbmea22_bm1bm	icbm1bm	bcbmea08
BCBMEA	23	bcbmea23_bm1bm_2	icbm1bm_2	bcbmea08_2
BCBMEA	24	bcbmea24_bm1bm_3	icbm1bm_3	bcbmea08_3
BCBMEA	25	bcbmea09	icbm1bs	__missing
BCBMEA	26	bcbmea09_2	icbm1bs_2	__missing
BCBMEA	27	bcbmea09_3	icbm1bs_3	__missing
BCBMEA	28	bcbmea28_bm1ss_2	icbm1ss_2	bcbmea10_2
BCBMEA	29	bcbmea29_bm1ss_3	icbm1ss_3	bcbmea10_3
BCBMEA	30	bcbmea30_hbm2sa	ichbm2sa
BCBMEA	31	bcbmea31_hbm2sa_b	ichbm2sa_b
BCBMEA	32	bcbmea32_hbm2pp	ichbm2pp
BCBMEA	33	bcbmea33_hbm2pp_b	ichbm2pp_b
BCBMEA	34	bcbmea34_hbm2bm	ichbm2bm
BCBMEA	35	bcbmea35_hbm2ss	ichbm2ss
BCBMEA	36	bcbmea36_hbm1sa	ichbm1sa
BCBMEA	37	bcbmea37_hbm1sa_b	ichbm1sa_b
BCBMEA	38	bcbmea38_hbm1pd	ichbm1pd
BCBMEA	39	bcbmea39_hbm1ps	ichbm1ps
BCBMEA	40	bcbmea40_hbm1bm	ichbm1bm
BCBMEA	41	bcbmea41_hbm1ss	ichbm1ss
BCBMEA	42	bcbmea42_bm1ss	icbm1ss	bcbmea10
BCBMEA	43	bcbmea43_hbm2sa_2	ichbm2sa_2
BCBMEA	44	bcbmea44_hbm2sa_3	ichbm2sa_3
BCBMEA	45	bcbmea45_hbm1ps_2	ichbm1ps_2
