*HASH_VALUE	bot name	translated name	sheet_name		
0000000000000000	agora 1	agora 1			
0000000000000000	ammo	ammo			
0000000000000000	ammo shop	ammo shop			
0000000000000000	ancient_dryads_mission_giver	ancient_dryads_mission_giver			
0000000000000000	archery lord	archery lord			
0000000000000000	Armor	Armor			
0000000000000000	armor shop	armor shop			
0000000000000000	armour plan	armour plan			
0000000000000000	armour shop	armour shop			
0000000000000000	bar	bar			
0000000000000000	Barrack	Barrack			
0000000000000000	barrack guard	barrack guard			
0000000000000000	Building	Building			
0000000000000000	Building 26	Building 26			
0000000000000000	camp 1	camp 1			
0000000000000000	camp 2	camp 2			
0000000000000000	Chief	Chief			
0000000000000000	Chief Village A	Chief Village A			
0000000000000000	city hall	city hall			
0000000000000000	clerics	clerics			
0000000000000000	cure expert	cure expert			
0000000000000000	cure expert 2	cure expert 2			
0000000000000000	Cute	Cute			
0000000000000000	cutthroath	cutthroath			
0000000000000000	dancer	dancer			
0000000000000000	darkening_sap_mission_giver	darkening_sap_mission_giver			
0000000000000000	ecowarriors_mission_giver	ecowarriors_mission_giver			
0000000000000000	faber	faber			
0000000000000000	FABER GUILD	FABER GUILD			
0000000000000000	fyros master	fyros master			
0000000000000000	Gate	Gate			
0000000000000000	Gate Guard	Gate Guard			
0000000000000000	Gibbai	Gibbai			
0000000000000000	guards 0	guards 0			
0000000000000000	guards_0	guards_0			
0000000000000000	guards_1	guards_1			
0000000000000000	guards_2	guards_2			
0000000000000000	guards_3	guards_3			
0000000000000000	guards_4	guards_4			
0000000000000000	guards_5	guards_5			
0000000000000000	guards_6	guards_6			
0000000000000000	guards_7	guards_7			
0000000000000000	guards_8	guards_8			
0000000000000000	hall	hall			
0000000000000000	Harmor	Harmor			
0000000000000000	harvest	harvest			
0000000000000000	HARVESTER GUILD	HARVESTER GUILD			
0000000000000000	Hunter	Hunter			
0000000000000000	Jewel	Jewel			
0000000000000000	jewel shop	jewel shop			
0000000000000000	jewels	jewels			
0000000000000000	karavan group	karavan group			
0000000000000000	karavan soldiers	karavan soldiers			
0000000000000000	kitin_threat_1_mission_giver	kitin_threat_1_mission_giver			
0000000000000000	kitin_threat_2_mission_giver	kitin_threat_2_mission_giver			
0000000000000000	kitin_threat_3_mission_giver	kitin_threat_3_mission_giver			
0000000000000000	kitin_threat_4_mission_giver	kitin_threat_4_mission_giver			
0000000000000000	LArmor	LArmor			
0000000000000000	magic attack	magic attack			
0000000000000000	MAGIC ATTACK GUILD	MAGIC ATTACK GUILD			
0000000000000000	magic buff	magic buff			
0000000000000000	MAGIC BUFFER GUILD	MAGIC BUFFER GUILD			
0000000000000000	Magic Heal	Magic Heal			
0000000000000000	MAGIC HEALER GUILD	MAGIC HEALER GUILD			
0000000000000000	magician 2	magician 2			
0000000000000000	magician 3	magician 3			
0000000000000000	magician 4	magician 4			
0000000000000000	magician 5	magician 5			
0000000000000000	magician1	magician1			
0000000000000000	magicians	magicians			
0000000000000000	magicians 2	magicians 2			
0000000000000000	Marmor	Marmor			
0000000000000000	matis master	matis master			
0000000000000000	matisconvoy	matisconvoy			
0000000000000000	mektub grp	mektub grp			
0000000000000000	Melee	Melee			
0000000000000000	Melee guild	Melee guild			
0000000000000000	MELEE WEAPON GUILD	MELEE WEAPON GUILD			
0000000000000000	Merchant	Merchant			
0000000000000000	Mid Cross Patrol	Mid Cross Patrol			
0000000000000000	Module 1	Module 1			
0000000000000000	Module 2	Module 2			
0000000000000000	Monastery	Monastery			
0000000000000000	Monk barrack	Monk barrack			
0000000000000000	npc_group_1	npc_group_1			
0000000000000000	npc_group_2	npc_group_2			
0000000000000000	npc_group_3	npc_group_3			
0000000000000000	Patrol	Patrol			
0000000000000000	Patrol Group 1	Patrol Group 1			
0000000000000000	Patrol Group 2	Patrol Group 2			
0000000000000000	Patrol Group 3	Patrol Group 3			
0000000000000000	Patrol Group 4	Patrol Group 4			
0000000000000000	Patrol Group 5	Patrol Group 5			
0000000000000000	Range	Range			
0000000000000000	Range guild	Range guild			
0000000000000000	RANGE WEAPON GUILD	RANGE WEAPON GUILD			
0000000000000000	Renfort	Renfort			
0000000000000000	Renfort2	Renfort2			
0000000000000000	Renfort3	Renfort3			
0000000000000000	RM	RM			
0000000000000000	rm shop	rm shop			
0000000000000000	Rome	Rome			
0000000000000000	sacred_sap_mission_giver	sacred_sap_mission_giver			
0000000000000000	sergents	sergents			
0000000000000000	Shield	Shield			
0000000000000000	shield shop	shield shop			
0000000000000000	shields	shields			
0000000000000000	Ship	Ship			
0000000000000000	Ship 3	Ship 3			
0000000000000000	Ship 4	Ship 4			
0000000000000000	slashnburn_mission_giver	slashnburn_mission_giver			
0000000000000000	sorcerers	sorcerers			
0000000000000000	South Cross Patrol	South Cross Patrol			
0000000000000000	stable	stable			
0000000000000000	surgeons	surgeons			
0000000000000000	Tool	Tool			
0000000000000000	tool shop	tool shop			
0000000000000000	tools and tp	tools and tp			
0000000000000000	trader	trader			
0000000000000000	TRADER GUILD	TRADER GUILD			
0000000000000000	trainer	trainer			
0000000000000000	Tribe of the Green Seed	Tribe of the Green Seed			
0000000000000000	tryker master	tryker master			
0000000000000000	village A convoy	village A convoy			
0000000000000000	village B convoy	village B convoy			
0000000000000000	Wanderer Patrol 1	Wanderer Patrol 1			
0000000000000000	Wanderer Patrol 2	Wanderer Patrol 2			
0000000000000000	Wanderer Patrol 3	Wanderer Patrol 3			
0000000000000000	Wanderer Patrol Chief	Wanderer Patrol Chief			
0000000000000000	weapon plans	weapon plans			
0000000000000000	weapon shop	weapon shop			
0000000000000000	woven bridles_mission_giver	woven bridles_mission_giver			
0000000000000000	zorai master	zorai master			
0000000000000000	FYROS_MASTER_ATTACK_CASTER - kafa 6	FYROS_MASTER_ATTACK_CASTER - kafa 6			
0000000000000000	karavan_teleport	karavan_teleport			
0000000000000000	ZORAI_SHIELD	ZORAI_SHIELD			
0000000000000000	FYROS_PLAN_JEWEL	FYROS_PLAN_JEWEL			
0000000000000000	FYROS_PLAN_RANGE_WEAPON	FYROS_PLAN_RANGE_WEAPON			
0000000000000000	group1	group1			
0000000000000000	MATIS_HARMOR - fyfa 10	MATIS_HARMOR - fyfa 10			
0000000000000000	MATIS_LARMOR - fyfa 12	MATIS_LARMOR - fyfa 12			
0000000000000000	MATIS_MARMOR - fyfa 11	MATIS_MARMOR - fyfa 11			
0000000000000000	MATIS_PLAN_JEWEL - fyfa 4	MATIS_PLAN_JEWEL - fyfa 4			
0000000000000000	MATIS_PLAN_RANGE_WEAPON - fyfc 1	MATIS_PLAN_RANGE_WEAPON - fyfc 1			
0000000000000000	MEKTOUB_MOUNT_JUNGLE - fyfa 3	MEKTOUB_MOUNT_JUNGLE - fyfa 3			
0000000000000000	MEKTOUB_MOUNT_LAKE - fyfa 2	MEKTOUB_MOUNT_LAKE - fyfa 2			
0000000000000000	MEKTOUB_MOUNT_PRIME_ROOTS - fyfa 1	MEKTOUB_MOUNT_PRIME_ROOTS - fyfa 1			
0000000000000000	RELEVE GUARD A	RELEVE GUARD A			
0000000000000000	RELEVE GUARD A 2	RELEVE GUARD A 2			
0000000000000000	TRYKER_HARMOR - fyfc 7	TRYKER_HARMOR - fyfc 7			
0000000000000000	TRYKER_LARMOR - fyfc 9	TRYKER_LARMOR - fyfc 9			
0000000000000000	TRYKER_MARMOR - fyfc 8	TRYKER_MARMOR - fyfc 8			
0000000000000000	TRYKER_PLAN_JEWEL - fyfc 1	TRYKER_PLAN_JEWEL - fyfc 1			
0000000000000000	ZORAI_LARMOR - fyfu 6	ZORAI_LARMOR - fyfu 6			
