DIFF_CMD	*HASH_VALUE	bot name	translated name	sheet_name	
DIFF CHANGED 1991 	_63143C15251ADCAA	osifo	Aetis Cegrips	fyros_guard_f_f	
DIFF CHANGED 2157 	_E3D78FBF32A91099	vuos	Zemus Deps	fyros_guard_f_h	
DIFF CHANGED 4401 	_B37DDD40EC3DC911	aubermouth_foreman_1_t1	Ba'Arppy Cadgan	trfc1	
DIFF CHANGED 4402 	_031142123F482E55	aubermouth_supplier_1_t1	Be'Laury Brammy	trfc2old	
DIFF CHANGED 4404 	_9A538D21F3A9B080	avendale_supplier_1_t1	Ba'Duffy Aeddan	trfc2old	
DIFF CHANGED 4405 	_FCA016743957618F	avendale_welcomer_t1	Ba'Duffy Canan	trfc3old	
DIFF CHANGED 4406 	_99A3F91A353ACC80	barkdell_corporal_1_t1	Ba'Duffy Gedden	trfa2mid	
DIFF CHANGED 4408 	_9BC5491EF5A9C08A	barkdell_supplier_1_t1	Ba'Arppy Baksan	trfc2mid	
DIFF CHANGED 4411 	_DEB0FC8B4F834E52	crystabell_messenger_t1	Ba'Caussey Cothan	trfc1old	
DIFF CHANGED 4412 	_4CEF308B363C8D42	crystabell_sergent_2_t1	Ba'Caussey Machen	trfa2	
DIFF CHANGED 4414 	_D0C162F9060401A1	dingleton_foreman_1_t1	Ba'Caussey Garmer	trfc1old	
DIFF CHANGED 4415 	_F9AFB94A69FE7902	dingleton_supplier_1_t1	Ba'Duffy Lichan	trfc2	
DIFF CHANGED 4419 	_6C8467708D4AB89A	ejohejn	Ba'Duffy Derren	trfc2	
DIFF CHANGED 4423 	_10F14EFB849D4028	fairhaven_foreman_1_t1	Ba'Caussey Jidgen	trfc1	
DIFF CHANGED 4424 	_852ED2B4CE57F935	fairhaven_messenger_1_t1	Ba'Caussey Aeddan	trfc1mid	
DIFF CHANGED 4430 	_1C3D2309E859BDC9	outpost_tryker_10_tryker_steward_t1	Ba'Duffy Achen	trfc3mid	
DIFF CHANGED 4432 	_1F5D9C09AA6676D8	outpost_tryker_14_tryker_steward_t1	Ba'Duffy Machen	trfc3mid	
DIFF CHANGED 4434 	_1F5DCC1DA7D786D3	outpost_tryker_16_tryker_steward_t1	Be'Laury Derren	trfc3old	
DIFF CHANGED 4435 	_70FD6BC688447104	outpost_tryker_18_tryker_steward_t1	Ba'Caussey Baxy	trfc3	
DIFF CHANGED 4437 	_F152D02B96E77D10	outpost_tryker_20_tryker_steward_t1	Ba'Caussey Lixie	trfc3mid	
DIFF CHANGED 4440 	_A06C1FAB5959C6D9	outpost_tryker_23_tryker_steward_t1	Ba'Arppy Breggie	trfc3	
DIFF CHANGED 4446 	_FE20861C7D46CA9A	pyr_tryker_ambassador_f1	Ba'Arppy Machen	trfc3mid	
DIFF CHANGED 4447 	_257BBDEC2528B0B5	rmt_craft_guild_1	Be'Teghan Achen	trfc2	
DIFF CHANGED 4450 	_2296FA61329F3DC6	rmt_fight_guild_4	Ba'Caussey Breggan	trfc2mid	
DIFF CHANGED 4452 	_0EA43E43847B3F1D	rmt_harvest_guild_4	Ba'Caussey Brammy	trfc2old	
DIFF CHANGED 4453 	_63A4FE86750D58E8	rmt_harvest_guild_5	Be'Laury Breggan	trfc2old	
DIFF CHANGED 4454 	_257BBDDBFF0E59CE	rmt_magic_guild_1	Be'Teghan Artan	trfc2old	
DIFF CHANGED 4458 	_3819CD9D21A95116	tryker_hawker_f4	Ba'Arppy Eskan	trfc2old	
DIFF CHANGED 4459 	_E90BD1A9E2A764B3	tryker_hawker_f5	Ba'Duffy Cadgan	trfc2	
DIFF CHANGED 4466 	_281CCDA9E1DF3926	tryker_hawker_z1	Ba'Duffy Brammy	trfc2mid	
DIFF CHANGED 4468 	_34DDD9BFB8EF59E1	tryker_hunter_t2	Ba'Arppy Breggan	trfa1mid	
DIFF CHANGED 4469 	_BBF99DB1E0E95525	tryker_hunter_t3	Ba'Duffy Dirmy	trfa1old	
DIFF CHANGED 4470 	_AC7CB1BD628864BC	tryker_hunter_t7	Ba'Duffy Dappan	trfa1	
DIFF CHANGED 4471 	_AC5CB5BDA33E2929	tryker_hunter_t8	Ba'Duffy Eoppie	trfa1mid	
DIFF CHANGED 4472 	_BB723694B6B6D592	tryker_journeyman_f1	Ba'Arppy Effer	trfc1old	
DIFF CHANGED 4476 	_3D97DEA62909DD9E	tryker_journeyman_t5	Ba'Duffy Diksan	trfc1mid	
DIFF CHANGED 4478 	_E68FD5086DD56FD8	tryker_patrolman_t1	Ba'Duffy Echen	trfa2	
DIFF CHANGED 4479 	_A5EECD0E72D69FA6	tryker_patrolman_t3	Ba'Duffy Baxy	trfa2	
DIFF CHANGED 4482 	_9F40B20549FD4D7F	tryker_prospector_1_t8	Ba'Caussey Echen	trfc1mid	
DIFF CHANGED 4493 	_401DE933F76A0834	waverton_corporal_1_t1	Ba'Arppy Lichan	trfa2	
DIFF CHANGED 4505 	_0C8F7544F07950DB	avendale_foreman_1_t1	Ba'Arppy Gaxy	trhc1old	
DIFF CHANGED 4507 	_E541EE149FA00245	avendale_messenger_t1	Ba'Caussey Dachan	trhc1mid	
DIFF CHANGED 4508 	_454DC9EE3208A82C	avendale_supplier_2_t1	Ba'Arppy Achen	trhc2	
DIFF CHANGED 4510 	_2125B40DA1B0B93F	barkdell_foreman_2_t1	Ba'Caussey Ganan	trhc1mid	
DIFF CHANGED 4514 	_45F1460C3BA7BA6E	crystabell_supplier_1_t1	Ba'Arppy Diksan	trhc2old	
DIFF CHANGED 4518 	_5B422A0A33C99C36	dingleton_foreman_2_t1	Ba'Arppy Artan	trha1mid	
DIFF CHANGED 4522 	_69937F7ACCCACC9F	eloobeo	Ba'Arppy Liffan	trhc2	
DIFF CHANGED 4526 	_97507DB44CD6CD3A	fairhaven_messenger_2_t1	Be'Teghan Breggie	trhc1mid	
DIFF CHANGED 4529 	_E06E2204B33E017E	hobwelly_corporal_2_t1	Be'Teghan Baksan	trha2old	
DIFF CHANGED 4531 	_3458765D61EB429D	outpost_matis_14_tryker_steward_m1	Ba'Arppy Derren	trhc3mid	
DIFF CHANGED 4533 	_5B9C43B82879D29D	outpost_tryker_13_tryker_steward_t1	Ba'Arppy Enan	trhc3mid	
DIFF CHANGED 4534 	_332C0FAC555B0EBB	outpost_tryker_17_tryker_steward_t1	Be'Teghan Brammy	trhc3	
DIFF CHANGED 4536 	_F1DD1BB3D5778510	outpost_tryker_27_tryker_steward_t1	Ba'Caussey Effer	trhc3	
DIFF CHANGED 4537 	_889210EDA097AD12	outpost_tryker_29_tryker_steward_t1	Ba'Caussey Baksan	trhc3old	
DIFF CHANGED 4546 	_E29FE26E0A6B40DB	rmt_harvest_guild_3	Ba'Duffy Cothan	trhc2old	
DIFF CHANGED 4547 	_615D5CF26AA9947F	rmt_magic_guild_2	Ba'Arppy Echen	trhc2	
DIFF CHANGED 4553 	_1F78C99FA019ECB6	tryker_hawker_m2	Ba'Arppy Dirmy	trhc2	
DIFF CHANGED 4559 	_ABD8B504F61FA1DB	tryker_hunter_t1	Ba'Caussey Artan	trha1mid	
DIFF CHANGED 4560 	_BC3CE8AC9FC9B029	tryker_hunter_t4	Ba'Duffy Gaxy	trha1mid	
DIFF CHANGED 4562 	_E8FCD1BD22299CB0	tryker_hunter_t6	Ba'Arppy Jidgen	trha1	
DIFF CHANGED 4564 	_B5612E9A3A7450E2	tryker_journeyman_m1	Be'Teghan Baxy	trhc1old	
DIFF CHANGED 4578 	_1AF4762378E8D018	tryker_prospector_2_t3	Ba'Duffy Eskan	trhc1mid	
DIFF CHANGED 4585 	_AAEC2CEB10E6449E	tryker_scout_z1	Be'Laury Garmer	trha1	
DIFF CHANGED 4586 	_005C6B25792BD5D0	tryker_scout_z2	Ba'Caussey Keffan	trha1old	
DIFF CHANGED 4592 	_8F8DE551E81D4663	windermeer_foreman_2_t1	Ba'Duffy Keffan	trhc1mid	
DIFF CHANGED 4825 	_1BE2A6FA869F9E39	welcomer_aubermouth_1	Mac'Doyghan Ganan	trhc3old	
