// DIFF REMOVED 305 
// HASH_VALUE 06EAD2619679EB60
// INDEX 0
certifs_rpjob_certifs_title	[Use your $certifs.p$]

// DIFF CHANGED 1155 
/* OLD VALUE : [Bonjour. Vous tombez bien. Vous avez des compétences en forage ? J'aurais besoin de racines spéciales pour donner du goût à mes boissons. Vous pourrez en trouver en creusant à l'Ouest de la ville, là ou deux racines géantes sortent du sol.] */
// HASH_VALUE 02C3C111EDEA3192
// INDEX 1
cwmh02_dialog_barman	[Bonjour. Vous tombez bien. Vous avez des compétences en forage ? J'aurais besoin de racines spéciales pour donner du goût à mes boissons. Vous pourrez en trouver en creusant à l'Ouest de la ville, là ou deux racines géantes sortent du sol. Attention j'ai besoin de racines de qualité fine.]

// DIFF REMOVED 5236 
// HASH_VALUE 4663320898726CD2
// INDEX 2
rpjob_allready_have_job_m	[You have reached the maximum number of allowed elementary occupations.\n
	You cannot become $jobitem.ia$ $jobitem$.]

// DIFF REMOVED 5236 
// HASH_VALUE 8546F67307C65C1E
// INDEX 3
rpjob_allready_have_job_f	[You have reached the maximum number of allowed elementary occupations.\n
	You cannot become $jobitem.pia$ $jobitem.p$.]

// DIFF REMOVED 5236 
// HASH_VALUE E5D13BD79DA9F4F5
// INDEX 4
rpjob_bag_full	[@{F55F}You inventory is full!@{FFFF}\n
	\n
	Please make space in your inventory so that $givervar$ can send you a new task.]

// DIFF REMOVED 5236 
// HASH_VALUE 23564859A3A4747B
// INDEX 5
rpjob_cancel_recipe	[Cancel]

// DIFF REMOVED 5236 
// HASH_VALUE 944C4E01DA954E71
// INDEX 6
rpjob_cant_win_xp	[Your level is too high. You do not gain any experience but your materials have not been used.]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CF70E1AA0FA22
// INDEX 7
rpjob_c_05day	[$integer$) 1/2 day]

// DIFF REMOVED 5236 
// HASH_VALUE D249DAD65DC0189E
// INDEX 8
rpjob_c_0c	[$integer$) 0°C]

// DIFF REMOVED 5236 
// HASH_VALUE CE4282DA08F301AC
// INDEX 9
rpjob_c_10c	[$integer$) 10°C]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CCA1BD785B223
// INDEX 10
rpjob_c_10min	[$integer$) 10 min.]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CCA10D6E6B223
// INDEX 11
rpjob_c_10s	[$integer$) 10 sec.]

// DIFF REMOVED 5236 
// HASH_VALUE 0E4282DA08F301AD
// INDEX 12
rpjob_c_11c	[$integer$) 11°C]

// DIFF REMOVED 5236 
// HASH_VALUE 8E4282DA08F301AF
// INDEX 13
rpjob_c_13c	[$integer$) 13°C]

// DIFF REMOVED 5236 
// HASH_VALUE 0F4282DA08F301B1
// INDEX 14
rpjob_c_15c	[$integer$) 15°C]

// DIFF REMOVED 5236 
// HASH_VALUE 8F4282DA08F301B3
// INDEX 15
rpjob_c_17c	[$integer$) 17°C]

// DIFF REMOVED 5236 
// HASH_VALUE 104282DA08F301B5
// INDEX 16
rpjob_c_19c	[$integer$) 19°C]

// DIFF REMOVED 5236 
// HASH_VALUE D2D09290F4D85C0A
// INDEX 17
rpjob_c_1day	[$integer$) 1 day]

// DIFF REMOVED 5236 
// HASH_VALUE 0C10692C2D48532A
// INDEX 18
rpjob_c_1hour	[$integer$) 1 hour]

// DIFF REMOVED 5236 
// HASH_VALUE 0C1069226848572A
// INDEX 19
rpjob_c_1inch	[$integer$) 1 inch]

// DIFF REMOVED 5236 
// HASH_VALUE D2D092906ED8A40A
// INDEX 20
rpjob_c_1min	[$integer$) 1 min]

// DIFF REMOVED 5236 
// HASH_VALUE 0E5282DA08F301AC
// INDEX 21
rpjob_c_20c	[$integer$) 20°C]

// DIFF REMOVED 5236 
// HASH_VALUE 21948710E0D466DD
// INDEX 22
rpjob_c_20inches	[$integer$) 20 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 21948710E0D466E2
// INDEX 23
rpjob_c_25inches	[$integer$) 25 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 4C10692DAB28432B
// INDEX 24
rpjob_c_2days	[$integer$) 2 days]

// DIFF REMOVED 5236 
// HASH_VALUE 4D6CDF1FECA4D713
// INDEX 25
rpjob_c_2hours	[$integer$) 2 hours]

// DIFF REMOVED 5236 
// HASH_VALUE BB467317D5A67B17
// INDEX 26
rpjob_c_2inches	[$integer$) 2 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 6194871020D466DD
// INDEX 27
rpjob_c_30inches	[$integer$) 30 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 8D6CDF1BD785BA23
// INDEX 28
rpjob_c_30min	[$integer$) 30 mins]

// DIFF REMOVED 5236 
// HASH_VALUE 8D6CDF10D6E6BA23
// INDEX 29
rpjob_c_30sec	[$integer$) 30 secs]

// DIFF REMOVED 5236 
// HASH_VALUE 6194871020D466E2
// INDEX 30
rpjob_c_35inches	[$integer$) 35 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 8C1069FDAE11C643
// INDEX 31
rpjob_c_37_6c	[$integer$) 37.6°C]

// DIFF REMOVED 5236 
// HASH_VALUE FB467317D5B67B17
// INDEX 32
rpjob_c_3inches	[$integer$) 3 inches]

// DIFF REMOVED 5236 
// HASH_VALUE A4B46E93DB35C39F
// INDEX 33
rpjob_c_3_different_flowers	[$integer$) Of 3 different flowers]

// DIFF REMOVED 5236 
// HASH_VALUE A6A45A9098159FAE
// INDEX 34
rpjob_c_3_same_flowers	[$integer$) Of 3 identical flowers]

// DIFF REMOVED 5236 
// HASH_VALUE A294871061D466DD
// INDEX 35
rpjob_c_40inches	[$integer$) 40 inches]

// DIFF REMOVED 5236 
// HASH_VALUE A294871061D466E2
// INDEX 36
rpjob_c_45inches	[$integer$) 45 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 3C467317D5C67B17
// INDEX 37
rpjob_c_4inches	[$integer$) 4 inches]

// DIFF REMOVED 5236 
// HASH_VALUE E2948710A1D466DD
// INDEX 38
rpjob_c_50inches	[$integer$) 50 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 1349EED65DC0189E
// INDEX 39
rpjob_c_5c	[$integer$) 5°C]

// DIFF REMOVED 5236 
// HASH_VALUE 0E6CDF1FECA4E313
// INDEX 40
rpjob_c_5hours	[$integer$) 5 hours]

// DIFF REMOVED 5236 
// HASH_VALUE 7C467317D5D67B17
// INDEX 41
rpjob_c_5inches	[$integer$) 5 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 0D10692DEA38672E
// INDEX 42
rpjob_c_5min	[$integer$) 5 mins]

// DIFF REMOVED 5236 
// HASH_VALUE A4B46E93DB55C39F
// INDEX 43
rpjob_c_5_different_flowers	[$integer$) Of 5 different flowers]

// DIFF REMOVED 5236 
// HASH_VALUE A6A45A9098359FAE
// INDEX 44
rpjob_c_5_same_flowers	[$integer$) Of 5 identical flowers]

// DIFF REMOVED 5236 
// HASH_VALUE BC467317D5E67B17
// INDEX 45
rpjob_c_6inches	[$integer$) 6 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 9349F6D65DC0189E
// INDEX 46
rpjob_c_7c	[$integer$) 7°C]

// DIFF REMOVED 5236 
// HASH_VALUE FC467317D5F67B17
// INDEX 47
rpjob_c_7inches	[$integer$) 7 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 3D467317D5067B17
// INDEX 48
rpjob_c_8hours	[$integer$) 8 inches]

// DIFF REMOVED 5236 
// HASH_VALUE 1449FED65DC0189E
// INDEX 49
rpjob_c_9c	[$integer$) 9°C]

// DIFF REMOVED 5236 
// HASH_VALUE A4B46E93DB95C39F
// INDEX 50
rpjob_c_9_different_flowers	[$integer$) Of 9 different flowers]

// DIFF REMOVED 5236 
// HASH_VALUE A6A45A9098759FAE
// INDEX 51
rpjob_c_9_same_flowers	[$integer$) Of 9 identical flowers]

// DIFF REMOVED 5236 
// HASH_VALUE E3D56E18B12044A2
// INDEX 52
rpjob_c_add_painted	[$integer$) Add painted to petals]

// DIFF REMOVED 5236 
// HASH_VALUE 0F80B7211A08BCA8
// INDEX 53
rpjob_c_agglomerate_sheets	[$integer$) Bind the leaves]

// DIFF REMOVED 5236 
// HASH_VALUE DAD0929070584CA4
// INDEX 54
rpjob_c_amber	[$integer$) Amber]

// DIFF REMOVED 5236 
// HASH_VALUE 27346FCDA5946F1A
// INDEX 55
rpjob_c_amber_box	[$integer$) Amber box]

// DIFF REMOVED 5236 
// HASH_VALUE 109459172B7AB8BF
// INDEX 56
rpjob_c_around_trunk	[$integer$) Around a trunk]

// DIFF REMOVED 5236 
// HASH_VALUE 227566196BB5C8B2
// INDEX 57
rpjob_c_attach_ligaments	[$integer$) Attach with ligaments]

// DIFF REMOVED 5236 
// HASH_VALUE 64558217D9BD9BA1
// INDEX 58
rpjob_c_at_2cm	[$integer$) In 2 inches of soil]

// DIFF REMOVED 5236 
// HASH_VALUE 64558217D9CD9BA1
// INDEX 59
rpjob_c_at_3cm	[$integer$) In 3 inches of soil]

// DIFF REMOVED 5236 
// HASH_VALUE 64558217D9ED9BA1
// INDEX 60
rpjob_c_at_5cm	[$integer$) In 5 inches of soil]

// DIFF REMOVED 5236 
// HASH_VALUE E5219A2069168BA9
// INDEX 61
rpjob_c_at_closest_ground	[$integer$) Closest to the soil]

// DIFF REMOVED 5236 
// HASH_VALUE 21759A1B5A2197A7
// INDEX 62
rpjob_c_at_ground	[$integer$) At the soil]

// DIFF REMOVED 5236 
// HASH_VALUE 131069332A89688F
// INDEX 63
rpjob_c_at_midway	[$integer$) Midway]

// DIFF REMOVED 5236 
// HASH_VALUE 116CA714263A0869
// INDEX 64
rpjob_c_average	[$integer$) Average]

// DIFF REMOVED 5236 
// HASH_VALUE 2454872166148B27
// INDEX 65
rpjob_c_azimuthal	[$integer$) Azimuthal]

// DIFF REMOVED 5236 
// HASH_VALUE 5F5423D65DC0A84F
// INDEX 66
rpjob_c_bag	[$integer$) Bag]

// DIFF REMOVED 5236 
// HASH_VALUE 5E5382DA0875A89F
// INDEX 67
rpjob_c_bark	[$integer$) Bark]

// DIFF REMOVED 5236 
// HASH_VALUE A8656BEFD6248B15
// INDEX 68
rpjob_c_bark_thin	[$integer$) Thin Bark]

// DIFF REMOVED 5236 
// HASH_VALUE 50106926EA1A807C
// INDEX 69
rpjob_c_barrel	[$integer$) Barrel]

// DIFF REMOVED 5236 
// HASH_VALUE E3A48F2B518076AE
// INDEX 70
rpjob_c_base_for_pen	[$integer$) Pen Holder]

// DIFF REMOVED 5236 
// HASH_VALUE E155822508D5A4A5
// INDEX 71
rpjob_c_bathe_in_salt	[$integer$) Let it bathe]

// DIFF REMOVED 5236 
// HASH_VALUE 5F5382DA08E69096
// INDEX 72
rpjob_c_beer	[$integer$) Beer]

// DIFF REMOVED 5236 
// HASH_VALUE 5F85A71DCF805AAC
// INDEX 73
rpjob_c_big_barrel	[$integer$) Big Barrel]

// DIFF REMOVED 5236 
// HASH_VALUE 5AD09290EC1844A2
// INDEX 74
rpjob_c_black	[$integer$) Black]

// DIFF REMOVED 5236 
// HASH_VALUE 61645ECD2CC84065
// INDEX 75
