*HASH_VALUE	creature ID	name	ia	da	p	pia	pda		
_-	caaga1	Impure Baldusa	an	the			Impure Baldusas		the
_-	caaga2	Blighted Baldusa	a	the			Blighted Baldusas		the
_-	caaga3	Contaminated Baldusa	a	the			Contaminated Baldusas		the
_-	caaga4	Infected Baldusa	an	the			Infected Baldusas		the
_-	caagb1	Nauseous Baldusa	a	the			Nauseous Baldusas		the
_-	caagb2	Stinking Baldusa	a	the			Stinking Baldusas		the
_-	caagb3	Morbid Baldusa	a	the			Morbid Baldusas		the
_-	caagb4	Poisoned Baldusa	a	the			Poisoned Baldusas		the
_-	caagc1	Plagued Baldusa	a	the			Plagued Baldusas		the
_-	caagc2	Sickly  Baldusa	a	the			Sickly  Baldusas		the
_-	caagc3	Putrescent Baldusa	a	the			Putrescent Baldusas		the
_-	caagc4	Virulent Baldusa	a	the			Virulent Baldusas		the
_-	caagd1	Ravaged Baldusa	a	the			Ravaged Baldusas		the
_-	caagd2	Festering Baldusa	a	the			Festering Baldusas		the
_-	caagd3	Pestiferous Baldusa	a	the			Pestiferous Baldusas		the
_-	caagd4	Raving Baldusa	a	the			Raving Baldusas		the
_-	caage1	Pustulous Baldusa	a	the			Pustulous Baldusas		the
_-	caage2	Seeping Baldusa	a	the			Seeping Baldusas		the
_-	caage3	Foaming Baldusa	a	the			Foaming Baldusas		the
_-	caage4	Revolting Baldusa	a	the			Revolting Baldusas		the
_-	caagf1	Demented Baldusa	a	the			Demented Baldusas		the
_-	caagf2	Frenzied Baldusa	a	the			Frenzied Baldusas		the
_-	caagf3	Fiendish Baldusa	a	the			Fiendish Baldusas		the
_-	caala1	Little Baldusa	a	the			Little Baldusas		the
_-	caala2	Primitive Baldusa	a	the			Primitive Baldusas		the
_-	caala3	Appeased Baldusa	an	the			Appeased Baldusas		the
_-	caala4	Rapid Baldusa	a	the			Rapid Baldusas		the
_-	caapa1	Little Baldusa	a	the			Little Baldusas		the
_-	caapa2	Primitive Baldusa	a	the			Primitive Baldusas		the
_-	caapa3	Appeased Baldusa	an	the			Appeased Baldusas		the
_-	caapa4	Rapid Baldusa	a	the			Rapid Baldusas		the
_-	caapb1	Slimy Baldusa	a	the			Slimy Baldusas		the
_-	caapb2	Common Baldusa	a	the			Common Baldusas		the
_-	caapb3	Feeding Baldusa	a	the			Feeding Baldusas		the
_-	caapb4	Adult Baldusa	a	the			Adult Baldusas		the
_-	caapc1	Fully grown Baldusa	a	the			Fully grown Baldusas		the
_-	caapc2	Defensive Baldusa	a	the			Defensive Baldusas		the
_-	caapc3	Scouring Baldusa	a	the			Scouring Baldusas		the
_-	caapc4	Chilling Baldusa	a	the			Chilling Baldusas		the
_-	caapd1	Lurking Baldusa	a	the			Lurking Baldusas		the
_-	caapd2	Prowling Baldusa	a	the			Prowling Baldusas		the
_-	caapd3	Enraged Baldusa	an	the			Enraged Baldusas		the
_-	caapd4	Wild Baldusa	a	the			Wild Baldusas		the
_-	caape1	Humongous Baldusa	a	the			Humongous Baldusas		the
_-	caape2	Ravenous Baldusa	a	the			Ravenous Baldusas		the
_-	caape3	Mean Baldusa	a	the			Mean Baldusas		the
_-	caape4	Attacking Baldusa	an	the			Attacking Baldusas		the
_-	caapf1	Terryfying Baldusa	a	the			Terryfying Baldusas		the
_-	caapf2	Atrocious Baldusa	an	the			Atrocious Baldusas		the
_-	caapf3	Sinister Baldusa	a	the			Sinister Baldusas		the
_-	cabda1	Little Prakker	a	the			Little Prakkers		the
_-	cabda2	Primitive Prakker	a	the			Primitive Prakkers		the
_-	cabda3	Appeased Prakker	an	the			Appeased Prakkers		the
_-	cabda4	Rapid Prakker	a	the			Rapid Prakkers		the
_-	cabdb1	Slimy Prakker	a	the			Slimy Prakkers		the
_-	cabdb2	Common Prakker	a	the			Common Prakkers		the
_-	cabdb3	Feeding Prakker	a	the			Feeding Prakkers		the
_-	cabdb4	Adult Prakker	a	the			Adult Prakkers		the
_-	cabdc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
_-	cabdc2	Defensive Prakker	a	the			Defensive Prakkers		the
_-	cabdc3	Scouring Prakker	a	the			Scouring Prakkers		the
_-	cabdc4	Chilling Prakker	a	the			Chilling Prakkers		the
_-	cabdd1	Lurking Prakker	a	the			Lurking Prakkers		the
_-	cabdd2	Prowling Prakker	a	the			Prowling Prakkers		the
_-	cabdd3	Enraged Prakker	an	the			Enraged Prakkers		the
_-	cabdd4	Wild Prakker	a	the			Wild Prakkers		the
_-	cabde1	Humongous Prakker	a	the			Humongous Prakkers		the
_-	cabde2	Ravenous Prakker	a	the			Ravenous Prakkers		the
_-	cabde3	Mean Prakker	a	the			Mean Prakkers		the
