*HASH_VALUE	creature ID	name	ia	da	p	pia	pda		
0000000000000000	caaga1	Impure Baldusa	an	the			Impure Baldusas		the
0000000000000000	caaga2	Blighted Baldusa	a	the			Blighted Baldusas		the
0000000000000000	caaga3	Contaminated Baldusa	a	the			Contaminated Baldusas		the
0000000000000000	caaga4	Infected Baldusa	an	the			Infected Baldusas		the
0000000000000000	caagb1	Nauseous Baldusa	a	the			Nauseous Baldusas		the
0000000000000000	caagb2	Stinking Baldusa	a	the			Stinking Baldusas		the
0000000000000000	caagb3	Morbid Baldusa	a	the			Morbid Baldusas		the
0000000000000000	caagb4	Poisoned Baldusa	a	the			Poisoned Baldusas		the
0000000000000000	caagc1	Plagued Baldusa	a	the			Plagued Baldusas		the
0000000000000000	caagc2	Sickly  Baldusa	a	the			Sickly  Baldusas		the
0000000000000000	caagc3	Putrescent Baldusa	a	the			Putrescent Baldusas		the
0000000000000000	caagc4	Virulent Baldusa	a	the			Virulent Baldusas		the
0000000000000000	caagd1	Ravaged Baldusa	a	the			Ravaged Baldusas		the
0000000000000000	caagd2	Festering Baldusa	a	the			Festering Baldusas		the
0000000000000000	caagd3	Pestiferous Baldusa	a	the			Pestiferous Baldusas		the
0000000000000000	caagd4	Raving Baldusa	a	the			Raving Baldusas		the
0000000000000000	caage1	Pustulous Baldusa	a	the			Pustulous Baldusas		the
0000000000000000	caage2	Seeping Baldusa	a	the			Seeping Baldusas		the
0000000000000000	caage3	Foaming Baldusa	a	the			Foaming Baldusas		the
0000000000000000	caage4	Revolting Baldusa	a	the			Revolting Baldusas		the
0000000000000000	caagf1	Demented Baldusa	a	the			Demented Baldusas		the
0000000000000000	caagf2	Frenzied Baldusa	a	the			Frenzied Baldusas		the
0000000000000000	caagf3	Fiendish Baldusa	a	the			Fiendish Baldusas		the
0000000000000000	caala1	Little Baldusa	a	the			Little Baldusas		the
0000000000000000	caala2	Primitive Baldusa	a	the			Primitive Baldusas		the
0000000000000000	caala3	Appeased Baldusa	an	the			Appeased Baldusas		the
0000000000000000	caala4	Rapid Baldusa	a	the			Rapid Baldusas		the
0000000000000000	caapa1	Little Baldusa	a	the			Little Baldusas		the
0000000000000000	caapa2	Primitive Baldusa	a	the			Primitive Baldusas		the
0000000000000000	caapa3	Appeased Baldusa	an	the			Appeased Baldusas		the
0000000000000000	caapa4	Rapid Baldusa	a	the			Rapid Baldusas		the
0000000000000000	caapb1	Slimy Baldusa	a	the			Slimy Baldusas		the
0000000000000000	caapb2	Common Baldusa	a	the			Common Baldusas		the
0000000000000000	caapb3	Feeding Baldusa	a	the			Feeding Baldusas		the
0000000000000000	caapb4	Adult Baldusa	a	the			Adult Baldusas		the
0000000000000000	caapc1	Fully grown Baldusa	a	the			Fully grown Baldusas		the
0000000000000000	caapc2	Defensive Baldusa	a	the			Defensive Baldusas		the
0000000000000000	caapc3	Scouring Baldusa	a	the			Scouring Baldusas		the
0000000000000000	caapc4	Chilling Baldusa	a	the			Chilling Baldusas		the
0000000000000000	caapd1	Lurking Baldusa	a	the			Lurking Baldusas		the
0000000000000000	caapd2	Prowling Baldusa	a	the			Prowling Baldusas		the
0000000000000000	caapd3	Enraged Baldusa	an	the			Enraged Baldusas		the
0000000000000000	caapd4	Wild Baldusa	a	the			Wild Baldusas		the
0000000000000000	caape1	Humongous Baldusa	a	the			Humongous Baldusas		the
0000000000000000	caape2	Ravenous Baldusa	a	the			Ravenous Baldusas		the
0000000000000000	caape3	Mean Baldusa	a	the			Mean Baldusas		the
0000000000000000	caape4	Attacking Baldusa	an	the			Attacking Baldusas		the
0000000000000000	caapf1	Terryfying Baldusa	a	the			Terryfying Baldusas		the
0000000000000000	caapf2	Atrocious Baldusa	an	the			Atrocious Baldusas		the
0000000000000000	caapf3	Sinister Baldusa	a	the			Sinister Baldusas		the
0000000000000000	cabda1	Little Prakker	a	the			Little Prakkers		the
0000000000000000	cabda2	Primitive Prakker	a	the			Primitive Prakkers		the
0000000000000000	cabda3	Appeased Prakker	an	the			Appeased Prakkers		the
0000000000000000	cabda4	Rapid Prakker	a	the			Rapid Prakkers		the
0000000000000000	cabdb1	Slimy Prakker	a	the			Slimy Prakkers		the
0000000000000000	cabdb2	Common Prakker	a	the			Common Prakkers		the
0000000000000000	cabdb3	Feeding Prakker	a	the			Feeding Prakkers		the
0000000000000000	cabdb4	Adult Prakker	a	the			Adult Prakkers		the
0000000000000000	cabdc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
0000000000000000	cabdc2	Defensive Prakker	a	the			Defensive Prakkers		the
0000000000000000	cabdc3	Scouring Prakker	a	the			Scouring Prakkers		the
0000000000000000	cabdc4	Chilling Prakker	a	the			Chilling Prakkers		the
0000000000000000	cabdd1	Lurking Prakker	a	the			Lurking Prakkers		the
0000000000000000	cabdd2	Prowling Prakker	a	the			Prowling Prakkers		the
0000000000000000	cabdd3	Enraged Prakker	an	the			Enraged Prakkers		the
0000000000000000	cabdd4	Wild Prakker	a	the			Wild Prakkers		the
0000000000000000	cabde1	Humongous Prakker	a	the			Humongous Prakkers		the
0000000000000000	cabde2	Ravenous Prakker	a	the			Ravenous Prakkers		the
0000000000000000	cabde3	Mean Prakker	a	the			Mean Prakkers		the
0000000000000000	cabde4	Attacking Prakker	an	the			Attacking Prakkers		the
0000000000000000	cabdf1	Terryfying Prakker	a	the			Terryfying Prakkers		the
0000000000000000	cabdf2	Atrocious Prakker	an	the			Atrocious Prakkers		the
0000000000000000	cabdf3	Sinister Prakker	a	the			Sinister Prakkers		the
0000000000000000	cabfa1	Little Prakker	a	the			Little Prakkers		the
0000000000000000	cabfa2	Primitive Prakker	a	the			Primitive Prakkers		the
0000000000000000	cabfa3	Appeased Prakker	an	the			Appeased Prakkers		the
0000000000000000	cabfa4	Rapid Prakker	a	the			Rapid Prakkers		the
0000000000000000	cabfb1	Slimy Prakker	a	the			Slimy Prakkers		the
0000000000000000	cabfb2	Common Prakker	a	the			Common Prakkers		the
0000000000000000	cabfb3	Feeding Prakker	a	the			Feeding Prakkers		the
0000000000000000	cabfb4	Adult Prakker	a	the			Adult Prakkers		the
0000000000000000	cabfc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
0000000000000000	cabfc2	Defensive Prakker	a	the			Defensive Prakkers		the
0000000000000000	cabfc3	Scouring Prakker	a	the			Scouring Prakkers		the
0000000000000000	cabfd1	Lurking Prakker	a	the			Lurking Prakkers		the
0000000000000000	cabfd2	Prowling Prakker	a	the			Prowling Prakkers		the
0000000000000000	cabfd3	Enraged Prakker	an	the			Enraged Prakkers		the
0000000000000000	cabfd4	Wild Prakker	a	the			Wild Prakkers		the
0000000000000000	cabfe1	Humongous Prakker	a	the			Humongous Prakkers		the
0000000000000000	cabfe2	Ravenous Prakker	a	the			Ravenous Prakkers		the
0000000000000000	cabfe3	Mean Prakker	a	the			Mean Prakkers		the
0000000000000000	cabfe4	Attacking Prakker	an	the			Attacking Prakkers		the
0000000000000000	cabff1	Terryfying Prakker	a	the			Terryfying Prakkers		the
0000000000000000	cabff2	Atrocious Prakker	an	the			Atrocious Prakkers		the
0000000000000000	cabff3	Sinister Prakker	a	the			Sinister Prakkers		the
0000000000000000	cabja1	Little Prakker	a	the			Little Prakkers		the
0000000000000000	cabja2	Primitive Prakker	a	the			Primitive Prakkers		the
0000000000000000	cabja3	Appeased Prakker	an	the			Appeased Prakkers		the
0000000000000000	cabja4	Rapid Prakker	a	the			Rapid Prakkers		the
0000000000000000	cabjb1	Slimy Prakker	a	the			Slimy Prakkers		the
0000000000000000	cabjb2	Common Prakker	a	the			Common Prakkers		the
0000000000000000	cabjb3	Feeding Prakker	a	the			Feeding Prakkers		the
0000000000000000	cabjb4	Adult Prakker	a	the			Adult Prakkers		the
0000000000000000	cabjc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
0000000000000000	cabjc2	Defensive Prakker	a	the			Defensive Prakkers		the
0000000000000000	cabjc3	Scouring Prakker	a	the			Scouring Prakkers		the
0000000000000000	cabjc4	Chilling Prakker	a	the			Chilling Prakkers		the
0000000000000000	cabjd1	Lurking Prakker	a	the			Lurking Prakkers		the
0000000000000000	cabjd2	Prowling Prakker	a	the			Prowling Prakkers		the
0000000000000000	cabjd3	Enraged Prakker	an	the			Enraged Prakkers		the
0000000000000000	cabjd4	Wild Prakker	a	the			Wild Prakkers		the
0000000000000000	cabje1	Humongous Prakker	a	the			Humongous Prakkers		the
0000000000000000	cabje2	Ravenous Prakker	a	the			Ravenous Prakkers		the
0000000000000000	cabje3	Mean Prakker	a	the			Mean Prakkers		the
0000000000000000	cabje4	Attacking Prakker	an	the			Attacking Prakkers		the
0000000000000000	cabjf1	Terryfying Prakker	a	the			Terryfying Prakkers		the
0000000000000000	cabjf2	Atrocious Prakker	an	the			Atrocious Prakkers		the
0000000000000000	cabjf3	Sinister Prakker	a	the			Sinister Prakkers		the
0000000000000000	cabla1	Little Prakker	a	the			Little Prakkers		the
0000000000000000	cabla2	Primitive Prakker	a	the			Primitive Prakkers		the
0000000000000000	cabla3	Appeased Prakker	an	the			Appeased Prakkers		the
0000000000000000	cabla4	Rapid Prakker	a	the			Rapid Prakkers		the
0000000000000000	cabpa1	Little Prakker	a	the			Little Prakkers		the
0000000000000000	cabpa2	Primitive Prakker	a	the			Primitive Prakkers		the
0000000000000000	cabpa3	Appeased Prakker	an	the			Appeased Prakkers		the
0000000000000000	cabpa4	Rapid Prakker	a	the			Rapid Prakkers		the
0000000000000000	cabpb1	Slimy Prakker	a	the			Slimy Prakkers		the
0000000000000000	cabpb2	Common Prakker	a	the			Common Prakkers		the
0000000000000000	cabpb3	Feeding Prakker	a	the			Feeding Prakkers		the
0000000000000000	cabpb4	Adult Prakker	a	the			Adult Prakkers		the
0000000000000000	cabpc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
0000000000000000	cabpc2	Defensive Prakker	a	the			Defensive Prakkers		the
0000000000000000	cabpc3	Scouring Prakker	a	the			Scouring Prakkers		the
0000000000000000	cabpc4	Chilling Prakker	a	the			Chilling Prakkers		the
0000000000000000	cabpd1	Lurking Prakker	a	the			Lurking Prakkers		the
0000000000000000	cabpd2	Prowling Prakker	a	the			Prowling Prakkers		the
0000000000000000	cabpd3	Enraged Prakker	an	the			Enraged Prakkers		the
0000000000000000	cabpd4	Wild Prakker	a	the			Wild Prakkers		the
0000000000000000	cabpe1	Humongous Prakker	a	the			Humongous Prakkers		the
0000000000000000	cabpe2	Ravenous Prakker	a	the			Ravenous Prakkers		the
0000000000000000	cabpe3	Mean Prakker	a	the			Mean Prakkers		the
0000000000000000	cabpe4	Attacking Prakker	an	the			Attacking Prakkers		the
0000000000000000	cabpf1	Terryfying Prakker	a	the			Terryfying Prakkers		the
0000000000000000	cabpf2	Atrocious Prakker	an	the			Atrocious Prakkers		the
0000000000000000	cabpf3	Sinister Prakker	a	the			Sinister Prakkers		the
0000000000000000	CBACF4	Igara Mortel	un	l'	de l'	à l'	Igaras Mortels	des	les
0000000000000000	CBACF5	Dawil		le	du				
0000000000000000	cbada1	Fledgling Igara	a	the			Fledgling Igaras		the
0000000000000000	cbada2	Lesser Igara	a	the			Lesser Igaras		the
0000000000000000	cbada3	Gentle Igara	a	the			Gentle Igaras		the
0000000000000000	cbada4	Soaring Igara	a	the			Soaring Igaras		the
0000000000000000	cbadb1	Gorged Igara	a	the			Gorged Igaras		the
0000000000000000	cbadb2	Vulgar Igara	a	the			Vulgar Igaras		the
0000000000000000	cbadb3	Bloated Igara	a	the			Bloated Igaras		the
