*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_-	amber_cube_common_ancient	Ancient Amber Cube	an	the	Ancient Amber Cubes		the	
_-	amber_cube_common_recent	Recent Amber Cube	a	the	Recent Amber Cubes		the	
_-	amber_cube_common_very_ancient	Very Ancient Amber Cube	a	the	Very Ancient Amber Cubes		the	
_-	amber_cube_fyros_ancient	Fyros Ancient Amber Cube	a	the	Fyros Ancient Amber Cubes		the	
_-	amber_cube_fyros_recent	Fyros Recent Amber Cube	a	the	Fyros Recent Amber Cubes		the	
_-	amber_cube_fyros_very_ancient	Fyros Very Ancient Amber Cube	a	the	Fyros Very Ancient Amber Cubes		the	
_-	amber_cube_kami_ancient	Kami Ancient Amber Cube	a	the	Kami Ancient Amber Cubes		the	
_-	amber_cube_kami_recent	Kami Recent Amber Cube	a	the	Kami Recent Amber Cubes		the	
_-	amber_cube_kami_very_ancient	Kami Very Ancient Amber Cube	a	the	Kami Very Ancient Amber Cubes		the	
_-	amber_cube_karavan_ancient	Karavan Ancient Amber Cube	a	the	Karavan Ancient Amber Cubes		the	
_-	amber_cube_karavan_recent	Karavan Recent Amber Cube	a	the	Karavan Recent Amber Cubes		the	
_-	amber_cube_karavan_very_ancient	Karavan Very Ancient Amber Cube	a	the	Karavan Very Ancient Amber Cubes		the	
_-	amber_cube_matis_ancient	Matis Ancient Amber Cube	a	the	Matis Ancient Amber Cubes		the	
_-	amber_cube_matis_recent	Matis Recent Amber Cube	a	the	Matis Recent Amber Cubes		the	
_-	amber_cube_matis_very_ancient	Matis Very Ancient Amber Cube	a	the	Matis Very Ancient Amber Cubes		the	
_-	amber_cube_tryker_ancient	Tryker Ancient Amber Cube	a	the	Tryker Ancient Amber Cubes		the	
_-	amber_cube_tryker_recent	Tryker Recent Amber Cube	a	the	Tryker Recent Amber Cubes		the	
_-	amber_cube_tryker_very_ancient	Tryker Very Ancient Amber Cube	a	the	Tryker Very Ancient Amber Cubes		the	
_-	amber_cube_zorai_ancient	Zoraï Ancient Amber Cube	a	the	Zoraï Ancient Amber Cubes		the	
_-	amber_cube_zorai_recent	Zoraï Recent Amber Cube	a	the	Zoraï Recent Amber Cubes		the	
_-	amber_cube_zorai_very_ancient	Zoraï Very Ancient Amber Cube	a	the	Zoraï Very Ancient Amber Cubes		the	
_-	aqua_speed	Aquatic Propulsor	an	the	Aquatic Propulsors		the	
_-	barman_bottle	Barman's Bottle	a	the	Barman's Bottles		the	
_-	big_barrel	Big Barrel	a	the	Big Barrels		the	
_-	big_living_sculpture	Big Living Sculpture	a	the	Big Living Sculptures		the	
_-	black_medicine	Black Medicine	a	the	Black Medicines		the	
_-	blood_vial	Blood Vial	a	the	Blood Vials		the	
_-	blue_medicine	Blue Medicine	a	the	Blue Medicines		the	
_-	boss_mainland_fyros_token	Aen's Trinket	an	the	Aen's Trinkets		the	
_-	boss_mainland_matis_token	Sirgio's Trinket	a	the	Sirgio's Trinkets		the	
_-	boss_mainland_tryker_token	Lixie's Trinket	a	the	Lixie's Trinkets		the	
_-	boss_mainland_zorai_token	Pei-Ziao's Trinket	a	the	Pei-Ziao's Trinkets		the	
_-	botanist_letter	Botanist's Letter	a	the	Botanist's Letters		the	
_-	botanist_vial	Botanist's Vial	a	the	Botanist's Vials		the	
_-	bottle	Bottle	a	the	Bottles		the	
_-	brush	Brush	a	the	Brushes		the	
_-	brush_2	Brush	a	the	Brushes		the	
_-	brush_3	Brush	a	the	Brushes		the	
_-	bucket	Bucket	a	the	Buckets		the	
_-	butcher_knife	Butcher's Knife	a	the	Butcher's Knives		the	
_-	cartographier_kitiniere_parchemin_full	Card to be completed on Kitin reconnaissance missions	a	the	Cards to be completed on Kitin reconnaissance missions		the	
_-	cartographier_kitiniere_parchemin_vierge	Blank card to be completed on Kitin reconnaissance missions	a	the	Blank cards to be completed on Kitin reconnaissance missions		the	
_-	casinoshield_pre_order	Shield of Prestige	a	the	Shields of Prestige		the	
_-	casino_ticket	Winning Ticket	a	the	Winning Tickets		the	
