*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_0000000000000000	amber_cube_common_ancient	Ancient Amber Cube	an	the	Ancient Amber Cubes		the	
_0000000000000000	amber_cube_common_recent	Recent Amber Cube	a	the	Recent Amber Cubes		the	
_0000000000000000	amber_cube_common_very_ancient	Very Ancient Amber Cube	a	the	Very Ancient Amber Cubes		the	
_0000000000000000	amber_cube_fyros_ancient	Fyros Ancient Amber Cube	a	the	Fyros Ancient Amber Cubes		the	
_0000000000000000	amber_cube_fyros_recent	Fyros Recent Amber Cube	a	the	Fyros Recent Amber Cubes		the	
_0000000000000000	amber_cube_fyros_very_ancient	Fyros Very Ancient Amber Cube	a	the	Fyros Very Ancient Amber Cubes		the	
_0000000000000000	amber_cube_kami_ancient	Kami Ancient Amber Cube	a	the	Kami Ancient Amber Cubes		the	
_0000000000000000	amber_cube_kami_recent	Kami Recent Amber Cube	a	the	Kami Recent Amber Cubes		the	
_0000000000000000	amber_cube_kami_very_ancient	Kami Very Ancient Amber Cube	a	the	Kami Very Ancient Amber Cubes		the	
_0000000000000000	amber_cube_karavan_ancient	Karavan Ancient Amber Cube	a	the	Karavan Ancient Amber Cubes		the	
_0000000000000000	amber_cube_karavan_recent	Karavan Recent Amber Cube	a	the	Karavan Recent Amber Cubes		the	
_0000000000000000	amber_cube_karavan_very_ancient	Karavan Very Ancient Amber Cube	a	the	Karavan Very Ancient Amber Cubes		the	
_0000000000000000	amber_cube_matis_ancient	Matis Ancient Amber Cube	a	the	Matis Ancient Amber Cubes		the	
_0000000000000000	amber_cube_matis_recent	Matis Recent Amber Cube	a	the	Matis Recent Amber Cubes		the	
_0000000000000000	amber_cube_matis_very_ancient	Matis Very Ancient Amber Cube	a	the	Matis Very Ancient Amber Cubes		the	
_0000000000000000	amber_cube_tryker_ancient	Tryker Ancient Amber Cube	a	the	Tryker Ancient Amber Cubes		the	
_0000000000000000	amber_cube_tryker_recent	Tryker Recent Amber Cube	a	the	Tryker Recent Amber Cubes		the	
_0000000000000000	amber_cube_tryker_very_ancient	Tryker Very Ancient Amber Cube	a	the	Tryker Very Ancient Amber Cubes		the	
_0000000000000000	amber_cube_zorai_ancient	Zoraï Ancient Amber Cube	a	the	Zoraï Ancient Amber Cubes		the	
_0000000000000000	amber_cube_zorai_recent	Zoraï Recent Amber Cube	a	the	Zoraï Recent Amber Cubes		the	
_0000000000000000	amber_cube_zorai_very_ancient	Zoraï Very Ancient Amber Cube	a	the	Zoraï Very Ancient Amber Cubes		the	
_0000000000000000	aqua_speed	Aquatic Propulsor	an	the	Aquatic Propulsors		the	
_0000000000000000	barman_bottle	Barman's Bottle	a	the	Barman's Bottles		the	
_0000000000000000	big_barrel	Big Barrel	a	the	Big Barrels		the	
_0000000000000000	big_living_sculpture	Big Living Sculpture	a	the	Big Living Sculptures		the	
_0000000000000000	black_medicine	Black Medicine	a	the	Black Medicines		the	
_0000000000000000	blood_vial	Blood Vial	a	the	Blood Vials		the	
_0000000000000000	blue_medicine	Blue Medicine	a	the	Blue Medicines		the	
_0000000000000000	boss_mainland_fyros_token	Aen's Trinket	an	the	Aen's Trinkets		the	
_0000000000000000	boss_mainland_matis_token	Sirgio's Trinket	a	the	Sirgio's Trinkets		the	
_0000000000000000	boss_mainland_tryker_token	Lixie's Trinket	a	the	Lixie's Trinkets		the	
_0000000000000000	boss_mainland_zorai_token	Pei-Ziao's Trinket	a	the	Pei-Ziao's Trinkets		the	
_0000000000000000	botanist_letter	Botanist's Letter	a	the	Botanist's Letters		the	
_0000000000000000	botanist_vial	Botanist's Vial	a	the	Botanist's Vials		the	
_0000000000000000	bottle	Bottle	a	the	Bottles		the	
_0000000000000000	brush	Brush	a	the	Brushes		the	
_0000000000000000	brush_2	Brush	a	the	Brushes		the	
_0000000000000000	brush_3	Brush	a	the	Brushes		the	
_0000000000000000	bucket	Bucket	a	the	Buckets		the	
_0000000000000000	butcher_knife	Butcher's Knife	a	the	Butcher's Knives		the	
_0000000000000000	cartographier_kitiniere_parchemin_full	Card to be completed on Kitin reconnaissance missions	a	the	Cards to be completed on Kitin reconnaissance missions		the	
_0000000000000000	cartographier_kitiniere_parchemin_vierge	Blank card to be completed on Kitin reconnaissance missions	a	the	Blank cards to be completed on Kitin reconnaissance missions		the	
_0000000000000000	casinoshield_pre_order	Shield of Prestige	a	the	Shields of Prestige		the	
_0000000000000000	casino_ticket	Winning Ticket	a	the	Winning Tickets		the	
_0000000000000000	casino_title1	Coupon for a Title (Lucky)	a	the	Coupons for a Title (Lucky)		the	
_0000000000000000	casino_title2	Coupon for a Title (Unlucky)	a	the	Coupons for a Title (Unlucky)		the	
_0000000000000000	casino_token	Token	a	the	Tokens		the	
_0000000000000000	casket	Casket	a	the	Caskets		the	
_0000000000000000	cattlestick	Cattle Stick	a	the	Cattle Sticks		the	
_0000000000000000	cattlestick_2	Cattle Stick	a	the	Cattle Sticks		the	
_0000000000000000	cattlestick_3	Cattle Stick	a	the	Cattle Sticks		the	
_0000000000000000	chopper	Butcher's Knife	a	the	Butcher Knives		the	
_0000000000000000	chopper_2	Chopper	a	the	Choppers		the	
_0000000000000000	chopper_3	Chopper	a	the	Choppers		the	
_0000000000000000	citizenship_bothaya_fire	Bothaya Fire	a	the	Bothaya Fires		the	
_0000000000000000	citizenship_cold_pearl	Cold Pearl of Loyalty	a	the	Cold Pearls of Loyalty		the	
_0000000000000000	citizenship_lacustre_beer	Avendale Lakes Beer	an	the	Avendale Lakes Beers		the	
_0000000000000000	citizenship_purified_sap	Purified Sap	some	the	Purified Sap		the	
_0000000000000000	citizenship_rotoa_flower	Bravichi Rotoa Flower	a	the	Bravichi Rotoa Flowers		the	
_0000000000000000	citizenship_sac_veilleur	Watchman's Bag	a	the	Watchman's Bags		the	
_0000000000000000	citizenship_shining_pearl	Shining Pearl of Loyalty	a	the	Shining Pearls of Loyalty		the	
_0000000000000000	citizenship_stolen_offerings	Stolen Offerings	some	the	Stolen Offerings		the	
_0000000000000000	citizenship_stolen_ressources	Stolen Kami Resources	some	the	Stolen Kami Resources		the	
_0000000000000000	conso_constit_mineskitins	Kitin's Lair Resitance Flower	a	the	Kitin's Lair Resitance Flower		the	
_0000000000000000	conso_fireworks_a	Firework Type A	a	the	Fireworks Type A		the	Pretty lights!
_0000000000000000	conso_fireworks_b	Firework Type B	a	the	Fireworks Type B		the	Pretty lights!
_0000000000000000	conso_fireworks_c	Firework Type C	a	the	Fireworks Type C		the	Pretty lights!
_0000000000000000	conso_fireworks_d	Firework Type D	a	the	Fireworks Type D		the	Pretty lights!
_0000000000000000	conso_fireworks_e	Firework Type E	a	the	Fireworks Type E		the	Pretty lights!
_0000000000000000	conso_fireworks_f	Firework Type F	a	the	Fireworks Type F		the	Pretty lights!
_0000000000000000	conso_fireworks_g	Firework Type G	a	the	Fireworks Type G		the	Pretty lights!
_0000000000000000	conso_fireworks_h	Firework Type H	a	the	Fireworks Type H		the	Pretty lights!
_0000000000000000	conso_fireworks_i	Firework Type I	a	the	Fireworks Type I		the	Pretty lights!
_0000000000000000	conso_fireworks_j	Firework Type J	a	the	Fireworks Type J		the	Pretty lights!
_0000000000000000	conso_fireworks_k	Firework Type K	a	the	Fireworks Type K		the	Pretty lights!
_0000000000000000	conso_fireworks_l	Firework Type L	a	the	Fireworks Type L		the	Pretty lights!
_0000000000000000	conso_fireworks_m	Firework Type M	a	the	Fireworks Type M		the	Pretty lights!
_0000000000000000	conso_fireworks_n	Firework Type N	a	the	Fireworks Type N		the	Pretty lights!
_0000000000000000	conso_fireworks_o	Firework Type O	a	the	Fireworks Type O		the	Pretty lights!
_0000000000000000	conso_fireworks_p	Firework Type P	a	the	Fireworks Type P		the	Pretty lights!
_0000000000000000	conso_fireworks_q	Firework Type Q	a	the	Fireworks Type Q		the	Pretty lights!
_0000000000000000	conso_fireworks_r	Firework Type R	a	the	Fireworks Type R		the	Pretty lights!
_0000000000000000	conso_fireworks_s	Firework Type S	a	the	Fireworks Type S		the	Pretty lights!
_0000000000000000	conso_focus_mineskitins	Kitin's Lair Focus Flower	a	the	Kitin's Lair Focus Flower		the	
_0000000000000000	conso_sap_mineskitins	Kitin's Lair Sap Flower	a	the	Kitin's Lair Sap Flower		the	
_0000000000000000	conso_strength_mineskitins	Kitin's Lair Strength Flower	a	the	Kitin's Lair Strength Flower		the	
