DIFF_CMD	*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
DIFF SWAP 23 1									
DIFF CHANGED 1 	_108D5B88207F7D6F	barman_bottle	Barman's bottle	a	the	Barman's bottles		the	
DIFF SWAP 24 2									
DIFF CHANGED 2 	_719D75E0E9FAF0F4	big_barrel	Big barrel	a	the	Big barrels		the	
DIFF SWAP 25 3									
DIFF CHANGED 3 	_AAF8ADB6F06BA817	big_living_sculpture	Big living sculpture	a	the	Big living sculptures		the	
DIFF SWAP 26 4									
DIFF CHANGED 4 	_C53473989DD38D80	black_medicine	Black medicine	a	the	Black medicines		the	
DIFF SWAP 27 5									
DIFF CHANGED 5 	_095D69DC159A2000	blood_vial	Blood vial	a	the	Blood vials		the	
DIFF SWAP 28 6									
DIFF CHANGED 6 	_A131A17CC3622A69	blue_medicine	Blue medicine	a	the	Blue medicines		the	
DIFF SWAP 33 7									
DIFF CHANGED 7 	_387D063C9F8B2F9A	botanist_letter	Botanist's letter	a	the	Botanist's letters		the	
DIFF SWAP 34 8									
DIFF CHANGED 8 	_9C281F7594E74586	botanist_vial	Botanist's vial	a	the	Botanist's vials		the	
DIFF SWAP 35 9									
DIFF CHANGED 9 	_6E7AE080AAA7CCAD	bottle	Bottle	a	the	Bottles		the	
DIFF SWAP 48 10									
DIFF CHANGED 10 	_29FA4C81EB47209E	casket	Casket	a	the	Caskets		the	
DIFF SWAP 88 11									
DIFF CHANGED 11 	_BBECE763FBDA4FB3	crystalized_spell	Crystalized Spell	a	the	Crystalized Spell		the	
DIFF SWAP 93 12									
DIFF CHANGED 12 	_5C103DC5358D1E61	cure_expert_letter	Cure expert's letter	a	the	Cure expert's letters		the	
DIFF SWAP 198 13									
DIFF CHANGED 13 	_265C0F99DC8713C2	fv_arrowhead	Strange arrowhead	a	the	Strange arrowheads		the	
DIFF SWAP 199 14									
DIFF CHANGED 14 	_C4ED4DE60E405F1D	fv_seal1	Miner's seal	a	the	Miner's seals		the	
DIFF SWAP 205 15									
DIFF CHANGED 15 	_E86A8EB0119EB7CA	fy_cheveux_long01	Fyros long hair	a	the	Fyros long hair		the	
DIFF SWAP 206 16									
DIFF CHANGED 16 	_08ED1BECA63BB6A3	fy_cheveux_medium01	Fyros medium hair	a	the	Fyros medium hair		the	
DIFF SWAP 207 17									
DIFF CHANGED 17 	_EB1DCF4259795BA3	fy_cheveux_shave01	Fyros shaved hair	a	the	Fyros shaved hair		the	
DIFF SWAP 208 18									
DIFF CHANGED 18 	_2B173132EAEC8EFA	fy_cheveux_short01	Fyros short hair	a	the	Fyros short hair		the	
DIFF SWAP 380 19									
DIFF CHANGED 19 	_877F6110A184F0D1	fy_visage	Fyros mask	a	the	Fyros masks		the	
DIFF SWAP 384 20									
DIFF CHANGED 20 	_0DA85C68D7243322	goo_swarmplants_fiber	goo swarmplants fiber			goo swarmplants fibers		the	
DIFF SWAP 385 21									
DIFF CHANGED 21 	_50837C60DDD54337	goo_swarmplants_fruit	goo swarmplants fruit			goo swarmplants fruit		the	
DIFF SWAP 386 22									
DIFF CHANGED 22 	_07E1F360B1AB936E	goo_vampignon_fungus	goo vampignon fungus			goo vampignon fungi		the	
DIFF SWAP 387 23									
DIFF CHANGED 23 	_AF317BF35957C6A6	goo_varinx_blood	goo varinx blood			goo varinx blood		the	
DIFF SWAP 388 24									
DIFF CHANGED 24 	_511564B194595F6C	goo_yber_sticky_glands	goo yber sticky gland			goo yber sticky glands		the	
DIFF SWAP 389 25									
DIFF CHANGED 25 	_E7BEF850FC164ED3	green_liquid_vial	Green liquid vial	a	the	Green liquid vials		the	
DIFF SWAP 390 26									
DIFF CHANGED 26 	_C7E4ABA61E238D86	green_medicine	Green medicine	a	the	Green medicines		the	
DIFF SWAP 394 27									
DIFF CHANGED 27 	_C035657CDDA5C56C	guard_scroll	Guard's scroll	a	the	Guard's scrolls		the	
DIFF SWAP 401 28									
DIFF CHANGED 28 	_90CA0A490DD942DA	heavy_armors_acreditation	Heavy armor acreditation	a	the	Heavy armor acreditations		the	
DIFF SWAP 402 29									
DIFF CHANGED 29 	_7BFC96297B81110A	heavy_conch	Heavy conch	a	the	Heavy conches		the	
