DIFF_CMD	*HASH_VALUE	outpost ID	name	description
DIFF REMOVED 714 		primes_outpost_01.outpost	Outpost of the Northern Nexus ((Experimental and Unstable))	Outpost used for experimentations
DIFF REMOVED 714 		primes_outpost_02.outpost	Outpost of the Southern Nexus ((Experimental and unstable))	Outpost used for experimentations
DIFF REMOVED 714 		primes_outpost_03.outpost	Outpost of the Eastern Nexus ((Experimental and Unstable))	Outpost used for experimentations
DIFF REMOVED 714 		primes_outpost_04.outpost	Outpost of the Western Nexus ((Experimental and Unstable))	Outpost used for experimentations
DIFF REMOVED 714 	_40213497BD469797	driller_bountybeaches_marauder_u1_100a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_40713497BD469797	driller_bountybeaches_marauder_u1_150a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_40213897BD469797	driller_bountybeaches_marauder_u1_200a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_57B84C949990AB65	driller_bountybeaches_marauder_u2_100a.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_344B6E0E2EE83210	driller_bountybeaches_marauder_u2_150a.outpost_building	Offrande pour Aklareen	MP artisanat + Doubles consommables
DIFF REMOVED 714 	_57B850949990AB65	driller_bountybeaches_marauder_u2_200a.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_155C215B40A809FB	driller_bountybeaches_marauder_u3_100a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables (vitesse x1.5) 
DIFF REMOVED 714 	_15AC215B40A809FB	driller_bountybeaches_marauder_u3_150a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables (vitesse x1.5) 
DIFF REMOVED 714 	_155C255B40A809FB	driller_bountybeaches_marauder_u3_200a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables (vitesse x1.5) 
DIFF REMOVED 714 	_83F0DA2890B1565B	driller_bountybeaches_marauder_u4_100a.outpost_building	Offrande pour Aklareen Supérieur	MP artisanat + Consommables (vitesse x2) 
DIFF REMOVED 714 	_8340DA2890B1565B	driller_bountybeaches_marauder_u4_150a.outpost_building	Offrande pour Aklareen Supérieur	MP artisanat + Consommables (vitesse x2) 
DIFF REMOVED 714 	_83F0DE2890B1565B	driller_bountybeaches_marauder_u4_200a.outpost_building	Offrande pour Aklareen Supérieur	MP artisanat + Consommables (vitesse x2) 
DIFF REMOVED 714 	_1BA9D853164E187F	driller_citiesofintuition_marauder_u1_50a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_DACEA81747D13C04	driller_citiesofintuition_marauder_u2_50a.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_CB67AF2F6E83263A	driller_citiesofintuition_marauder_u3_50a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables (vitesse x1.5) 
DIFF REMOVED 714 	_402BF182855E8B68	driller_citiesofintuition_marauder_u4_50a.outpost_building	Offrande pour Aklareen Supérieur	MP artisanat + Consommables (vitesse x2) 
DIFF REMOVED 714 	_9DFD943F87EF73E0	driller_couloirbrule_marauder_u1_150a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_DDFD943F87EF73E0	driller_couloirbrule_marauder_u1_150b.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_9DFD804087EF73E0	driller_couloirbrule_marauder_u1_200a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_DDFD804087EF73E0	driller_couloirbrule_marauder_u1_200b.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_9DFD944087EF73E0	driller_couloirbrule_marauder_u1_250a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_DDFD944087EF73E0	driller_couloirbrule_marauder_u1_250b.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables 
DIFF REMOVED 714 	_CE80B8C4062443A4	driller_couloirbrule_marauder_u2_150a.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_0E80B8C4062443A4	driller_couloirbrule_marauder_u2_150b.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_CE80A4C5062443A4	driller_couloirbrule_marauder_u2_200a.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_0E80A4C5062443A4	driller_couloirbrule_marauder_u2_200b.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_CE80B8C5062443A4	driller_couloirbrule_marauder_u2_250a.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_0E80B8C5062443A4	driller_couloirbrule_marauder_u2_250b.outpost_building	Offrande pour Aklareen à Cristaux	MP artisanat + Consommables + Cristaux d'élevation 
DIFF REMOVED 714 	_F532A2FAB7CD4ABC	driller_couloirbrule_marauder_u3_150a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables (vitesse x1.5) 
DIFF REMOVED 714 	_3532A2FAB7CD4ABC	driller_couloirbrule_marauder_u3_150b.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables (vitesse x1.5) 
DIFF REMOVED 714 	_F5328EFBB7CD4ABC	driller_couloirbrule_marauder_u3_200a.outpost_building	Offrande pour Aklareen	MP artisanat + Consommables (vitesse x1.5) 
