*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
_-	BFPA01	Default attack	a	the			the	The base stanza for all combat actions.	Default Attack Fight Stanza
_-	BFOA01	Increase Damage	an	the			the	Increases damage inflicted by a hit.	Increase Damage Option
_-	BFOA02	Hit Rate	a	the			the	Augmente la cadence de tir	Augmente la cadence de tir
_-	BFOA03	Accurate Attack	a	the			the	Increases the accuracy of attack, reduces the chances of enemy dodging.	Accurate Attack Option
_-	BFOA04	Bleeding	a	the			the	Inflicts an open wound causing bleeding - causes extra damage for 10s.	Bleeding Option
_-	BFMA01	Increase Damage 1	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 10.	Increase Damage 1 - Max Factor : $1INC_DMG
_-	BFMA02	Increase Damage 2	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 20.	Increase Damage 2 - Max Factor : $1INC_DMG
_-	BFMA03	Increase Damage 3	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 30.	Increase Damage 3 - Max Factor : $1INC_DMG
_-	BFMA04	Increase Damage 4	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 45.	Increase Damage 4 - Max Factor : $1INC_DMG
_-	BFMA05	Increase Damage 5	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 70.	Increase Damage 5 - Max Factor : $1INC_DMG
_-	BFMA06	Increase Damage 6	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 90.	Increase Damage 6 - Max Factor : $1INC_DMG
_-	BFMA07	Increase Damage 7	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 115.	Increase Damage 7 - Max Factor : $1INC_DMG
_-	BFMA08	Increase Damage 8	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 140.	Increase Damage 8 - Max Factor : $1INC_DMG
_-	BFMA09	Increase Damage 9	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 165.	Increase Damage 9 - Max Factor : $1INC_DMG
_-	BFMA10	Increase Damage 10	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 190.	Increase Damage 10 - Max Factor : $1INC_DMG
_-	BFMA11	Increase Damage 11	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 215.	Increase Damage 11 - Max Factor : $1INC_DMG
_-	BFMA12	Increase Damage 12	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 240.	Increase Damage 12 - Max Factor : $1INC_DMG
