*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
0000000000000000	BFPA01	Default attack	a	the			the	The base stanza for all combat actions.	Default Attack Fight Stanza
0000000000000000	BFOA01	Increase Damage	an	the			the	Increases damage inflicted by a hit.	Increase Damage Option
0000000000000000	BFOA02	Hit Rate	a	the			the	Augmente la cadence de tir	Augmente la cadence de tir
0000000000000000	BFOA03	Accurate Attack	a	the			the	Increases the accuracy of attack, reduces the chances of enemy dodging.	Accurate Attack Option
0000000000000000	BFOA04	Bleeding	a	the			the	Inflicts an open wound causing bleeding - causes extra damage for 10s.	Bleeding Option
0000000000000000	BFMA01	Increase Damage 1	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 10.	Increase Damage 1 - Max Factor : $1INC_DMG
0000000000000000	BFMA02	Increase Damage 2	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 20.	Increase Damage 2 - Max Factor : $1INC_DMG
0000000000000000	BFMA03	Increase Damage 3	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 30.	Increase Damage 3 - Max Factor : $1INC_DMG
0000000000000000	BFMA04	Increase Damage 4	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 45.	Increase Damage 4 - Max Factor : $1INC_DMG
0000000000000000	BFMA05	Increase Damage 5	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 70.	Increase Damage 5 - Max Factor : $1INC_DMG
0000000000000000	BFMA06	Increase Damage 6	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 90.	Increase Damage 6 - Max Factor : $1INC_DMG
0000000000000000	BFMA07	Increase Damage 7	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 115.	Increase Damage 7 - Max Factor : $1INC_DMG
0000000000000000	BFMA08	Increase Damage 8	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 140.	Increase Damage 8 - Max Factor : $1INC_DMG
0000000000000000	BFMA09	Increase Damage 9	an	the			the	Increases damage by up to double - maximum efficiency for weapons of up to level 165.	Increase Damage 9 - Max Factor : $1INC_DMG
