DIFF_CMD	*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
DIFF CHANGED 1 	_C9391E419A297CBA	BFPA01	Default attack	a	the			the	The base brick for all combat actions.	Brick Fight Default attack
DIFF CHANGED 2 	_57489F29E1668F3C	BFOA01	Increase Damage	a	the			the	Accroit les dommages infligés par le coup.	Increase Damage Option
DIFF CHANGED 3 	_4A8C98814E07227B	BFOA02	Hit Rate	a	the			the	Augmente la cadence de tir	Augmente la cadence de tir
DIFF CHANGED 4 	_C3B593B0C08CCA25	BFOA03	Accurate Attack	a	the			the	Accroit la précision du coup, réduit les chances d'esquive de l'ennemi.	Accurate Attack Option
DIFF CHANGED 5 	_CB5EC48119F69464	BFOA04	Bleeding	a	the			the	Inflige une blessure ouverte causant une hémorragie - cause des dommages supplémentaires pendant 10s.	Bleeding Option
DIFF CHANGED 6 	_8AEA768F779806A6	BFMA01	Increase Damage 1	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 10 de compétence recommandée.	Increase Damage 1 - Max Factor : $1INC_DMG
DIFF CHANGED 7 	_CAEA769077A80AA6	BFMA02	Increase Damage 2	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 20 de compétence recommandée.	Increase Damage 2 - Max Factor : $1INC_DMG
DIFF CHANGED 8 	_0AEA769177B80EA6	BFMA03	Increase Damage 3	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 30 de compétence recommandée.	Increase Damage 3 - Max Factor : $1INC_DMG
DIFF CHANGED 9 	_4BEA769277C812AB	BFMA04	Increase Damage 4	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 45 de compétence recommandée.	Increase Damage 4 - Max Factor : $1INC_DMG
DIFF CHANGED 10 	_0BEA769377D816A6	BFMA05	Increase Damage 5	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 70 de compétence recommandée.	Increase Damage 5 - Max Factor : $1INC_DMG
