*HASH_VALUE	title_id	name	women_name
_1616092237	fct_allegory_maker	Engraver of Allegories	Engraver of Allegories
_-	Advanced_Close_Fighter	Fortgeschrittener Nahkämpfer	Fortgeschrittene Nahkämpferin
_-	Advanced_Desert_Forager	Fortgeschrittener Wüstenernter	Fortgeschrittene Wüstenernterin
_-	Advanced_Forest_Forager	Fortgeschrittener Waldernter	Fortgeschrittene Waldernterin
_-	Advanced_Gunman	Fortgeschrittener Einhandschütze	Fortgeschrittene Einhandschützin
_-	Advanced_Heavy_Armorer	Fortgeschrittener Schmied für schwere Rüstungen	Fortgeschrittene Schmiedin für schwere Rüstungen
_-	Advanced_Heavy_Gunman	Fortgeschrittener Zweihandschütze	Fortgeschrittene Zweihandschützin
_-	Advanced_Jeweler	Fortgeschrittener Juwelier	Fortgeschrittene Juwelierin
_-	Advanced_Jungle_Forager	Fortgeschrittener Dschungelernter	Fortgeschrittene Dschungelernterin
_-	Advanced_Lacustre_Forager	Fortgeschrittener Seenlandernter	Fortgeschrittene Seenlandernterin
_-	Advanced_Light_Armorer	Fortgeschrittener Hersteller von leichten Rüstungen	Fortgeschrittene Herstellerin von leichten Rüstungen
_-	Advanced_Medium_Armorer	Fortgeschrittener Schmied für mittelschwere Rüstungen	Fortgeschrittene Schmiedin für mittelschwere Rüstungen
_-	Advanced_Melee_Heavy_Weapon_Smith	Fortgeschrittener Schmied für schwere Nahkampfwaffen	Fortgeschrittene Schmiedin für schwere Nahkampfwaffen
_-	Advanced_Melee_Light_Weapon_Smith	Fortgeschrittener Schmied für leichte Nahkampfwaffen	Fortgeschrittene Schmiedin für leichte Nahkampfwaffen
_-	Advanced_Melee_Weapon_Smith	Fortgeschrittener Nahkampfwaffenschmied	Fortgeschrittene Nahkampfwaffenschmiedin
_-	Advanced_Prime_Roots_Forager	Fortgeschrittener Urwurzelernter	Fortgeschrittene Urwurzelernterin
_-	Advanced_Range_Heavy_Weapon_Smith	Fortgeschrittener Schmied für schwere Fernkampfwaffen	Fortgeschrittene Schmiedin für schwere Fernkampfwaffen
_-	Advanced_Range_Weapon_Smith	Fortgeschrittener Fernkampfwaffenschmied	Fortgeschrittene Fernkampfwaffenschmiedin
_-	Advanced_Shield_Smith	Fortgeschrittener Schildschmied	Fortgeschrittene Schildschmiedin
_-	Affliction_Bringer	Peiniger	Peinigerin
_-	Alchemist	Alchemist	Alchemistin
_-	Archmage	Elementarmagier	Elementarmagierin
_-	Armorer_Apprentice	Rüstungsmacherlehrling	Rüstungsmacherlehrling
_-	Artilleryman	Artillerist	Artilleristin
_-	Artisan_Apprentice	Handwerks-Lehrling	Handwerks-Lehrling
_-	attack_magician	Kampfmagier	Kampfmagierin
_-	AttackCaster	Kampfmagier	Kampfmagierin
_-	AtysGuardian	Wächter von Atys	Wächterin von Atys
_-	Avatar_Of_Destruction	Avatar der Zerstörung	Avatara der Zerstörung
_-	Avatar_Of_Sorrow	Avatar der Sorgen	Avatara der Sorgen
_-	Axeman	Axtkämpfer	Axtkämpferin
_-	Biomancer	Biomagier	Biomagier
_-	Black_Mage	Schwarzmagier	Schwarzmagierin
_-	BladeBearer	Schwertmeister	Schwertmeisterin
_-	Bludgeoner	Keulenschwinger	Keulenschwingerin
_-	Bowman	Bogenschütze	Bogenschützin
_-	Brute	Stabkämpfer	Stabkämpferin
_-	buffer_magician	Schutzmagier	Schutzmagierin
_-	BufferCaster	Schutzmagier	Schutzmagierin
_-	Celestial_Guardian	Himmelswächter	Himmelswächterin
_-	Chosen_Of_Atys	Auserwählter von Atys	Auserwählte von Atys
_-	Cleaver	Aufspalter	Aufspalterin
_-	Close_Fighter	Nahkämpfer	Nahkämpferin
_-	CM	Community Manager	Community Managerin
_-	corsaire_dechu_coffer	Korsaren-Kiste	Korsaren-Kiste
_-	Craftsman	Handwerker	Handwerkerin
_-	Crossbowman	Armbrustschütze	Armbrustschützin
_-	cwff03_goari	Goari Pondeuse	
_-	cwff03_termit	Termitière	
_-	cwmf03_bandit	Bandit d'Avalae	
_-	cwzf03_goo	Ragus Contaminé	
_-	Defensive_Magician	Magicien Défensif	Magicienne Défensive
_-	Desert_Forager	Foreur du Désert	Foreur du Désert
_-	Destroyer	Destructeur	Destructrice
_-	Disturber	Troubleur d'Esprits	
_-	eboulis	Eboulis	
_-	EG	Guide des Evènements	Guide des Evènements
_-	Elementalist	Elémentaliste	Elémentaliste
_-	Elementalist_Apprentice	Apprenti Elémentaliste	Apprentie Elémentaliste
_-	EM	Administrateur des Evènements	Administratrice des Evènements
_-	Enchanter	Enchanteur	Enchanteresse
_-	Expert_Desert_Forager	Foreur Expert du Désert	Foreur Expert du Désert
_-	Expert_Forest_Forager	Foreur Expert des Forêts	Foreur Expert des Forêts
_-	Expert_Heavy_Armorer	Armurier Lourd Expert	Armurier Lourd Expert
_-	Expert_Jeweler	Bijoutier Expert	Bijoutière Experte
_-	Expert_Jungle_Forager	Foreur Expert de la Jungle	Foreur Expert de la Jungle
_-	Expert_Lacustre_Forager	Foreur Expert des Lacs	Foreur Expert des Lacs
_-	Expert_Light_Armorer	Armurier Léger Expert	Armurier Léger Expert
_-	Expert_Medium_Armorer	Armurier Moyen Expert	Armurier Moyen Expert
_-	Expert_Melee_Heavy_Weapon_Smith	Forgeron Expert/Armes de Mêlée Lourdes	Forgeron Expert/Armes de Mêlée Lourdes
_-	Expert_Melee_Light_Weapon_Smith	Forgeron Expert/Armes de Mêlée Légères 	Forgeron Expert/Armes de Mêlée Légères 
_-	Expert_Melee_Weapon_Smith	Forgeron Expert/Armes de Mêlée	Forgeron Expert/Armes de Mêlée
_-	Expert_Prime_Roots_Forager	Foreur Expert des Primes Racines	Foreur Expert des Primes Racines
_-	Expert_Range_Heavy_Weapon_Smith	Forgeron Expert/Armes de Tir Lourdes	Forgeron Expert/Armes de Tir Lourdes
_-	Expert_Range_Weapon_Smith	Forgeron Expert/Armes de Tir 	Forgeron Expert/Armes de Tir 
_-	Expert_Shield_Smith	Forgeron Expert/Boucliers	Forgeron Expert/Boucliers
_-	Faber	Artisan	
_-	faber	Artisan	
_-	Faker	Feinteur	
_-	FBT	Ancien d'Atys	Ancienne d'Atys
_-	fct_actor	 (Acteur)	
_-	fct_actress	 (Actrice)	
_-	fct_amayor	 (Assistant du Maire)	
_-	fct_ambassador	 (Ambassadeur)	
_-	fct_ammo_merchant	 (Marchand de Munitions)	
_-	fct_arionasiszig	Arionasis's Zig	
_-	fct_artisan_arbres_vrilles	(Artisan des Arbres-Vrille)	
_-	fct_artisan_restaurateur	Artisan Restaurateur	
_-	fct_artisan_trepans	(Artisan des Grands Trépans)	
_-	fct_avalae_chief	 (Chef du Village d'Avalae)	
_-	fct_bandit	 (Bandit)	
_-	fct_bandit_chief	 (Chef des Bandits)	
_-	fct_barmaid	 (Barmaid)	
_-	fct_barman	 (Barman)	
_-	fct_bg	 (Garde du Corps)	
_-	fct_c_guild_trainer	 (Entraîneur des Guildes d'Artisans)	
_-	fct_c_rolemaster	 (Maître de Rôle des Guildes de Combattants)	
_-	fct_c_trainer	 (Entraîneur d'Artisans)	
_-	fct_camprangerguide	Guide du Camp	
_-	fct_captain	 (Capitaine)	
_-	fct_caretaker	 (Gardien d'Immeuble)	
_-	fct_chief_explorer	Chef explorateur	
_-	fct_chronicler	Chronicler	
_-	fct_city_welcomer	 (Hôte d'Accueil des Villes)	
_-	fct_civil		
_-	fct_confgu	Confrérie du Gubani Fortuné	
_-	fct_consumable_merchant	(Consumable Merchant)	
_-	fct_corporal	 (Caporal)	
_-	fct_counselor	 (Conseiller du Roi)	
_-	fct_craftsman	 (Artisan)	
_-	fct_ctool_merchant	 (Marchand d'Outils de Création)	
_-	fct_cutthroat	 (Egorgeur Matis)	
_-	fct_davae_chief	 (Chef du Village de Davae)	
