*HASH_VALUE	title_id	name	women_name
_0000000000000000	fct_allegory_maker	Engraver of Allegories	Engraver of Allegories
_0000000000000000	Advanced_Close_Fighter	Fortgeschrittener Nahkämpfer	Fortgeschrittene Nahkämpferin
_0000000000000000	Advanced_Desert_Forager	Fortgeschrittener Wüstenernter	Fortgeschrittene Wüstenernterin
_0000000000000000	Advanced_Forest_Forager	Fortgeschrittener Waldernter	Fortgeschrittene Waldernterin
_0000000000000000	Advanced_Gunman	Fortgeschrittener Einhandschütze	Fortgeschrittene Einhandschützin
_0000000000000000	Advanced_Heavy_Armorer	Fortgeschrittener Schmied für schwere Rüstungen	Fortgeschrittene Schmiedin für schwere Rüstungen
_0000000000000000	Advanced_Heavy_Gunman	Fortgeschrittener Zweihandschütze	Fortgeschrittene Zweihandschützin
_0000000000000000	Advanced_Jeweler	Fortgeschrittener Juwelier	Fortgeschrittene Juwelierin
_0000000000000000	Advanced_Jungle_Forager	Fortgeschrittener Dschungelernter	Fortgeschrittene Dschungelernterin
_0000000000000000	Advanced_Lacustre_Forager	Fortgeschrittener Seenlandernter	Fortgeschrittene Seenlandernterin
_0000000000000000	Advanced_Light_Armorer	Fortgeschrittener Hersteller von leichten Rüstungen	Fortgeschrittene Herstellerin von leichten Rüstungen
_0000000000000000	Advanced_Medium_Armorer	Fortgeschrittener Schmied für mittelschwere Rüstungen	Fortgeschrittene Schmiedin für mittelschwere Rüstungen
_0000000000000000	Advanced_Melee_Heavy_Weapon_Smith	Fortgeschrittener Schmied für schwere Nahkampfwaffen	Fortgeschrittene Schmiedin für schwere Nahkampfwaffen
_0000000000000000	Advanced_Melee_Light_Weapon_Smith	Fortgeschrittener Schmied für leichte Nahkampfwaffen	Fortgeschrittene Schmiedin für leichte Nahkampfwaffen
_0000000000000000	Advanced_Melee_Weapon_Smith	Fortgeschrittener Nahkampfwaffenschmied	Fortgeschrittene Nahkampfwaffenschmiedin
_0000000000000000	Advanced_Prime_Roots_Forager	Fortgeschrittener Urwurzelernter	Fortgeschrittene Urwurzelernterin
_0000000000000000	Advanced_Range_Heavy_Weapon_Smith	Fortgeschrittener Schmied für schwere Fernkampfwaffen	Fortgeschrittene Schmiedin für schwere Fernkampfwaffen
_0000000000000000	Advanced_Range_Weapon_Smith	Fortgeschrittener Fernkampfwaffenschmied	Fortgeschrittene Fernkampfwaffenschmiedin
_0000000000000000	Advanced_Shield_Smith	Fortgeschrittener Schildschmied	Fortgeschrittene Schildschmiedin
_0000000000000000	Affliction_Bringer	Peiniger	Peinigerin
_0000000000000000	Alchemist	Alchemist	Alchemistin
_0000000000000000	Archmage	Elementarmagier	Elementarmagierin
_0000000000000000	Armorer_Apprentice	Rüstungsmacherlehrling	Rüstungsmacherlehrling
_0000000000000000	Artilleryman	Artillerist	Artilleristin
_0000000000000000	Artisan_Apprentice	Handwerks-Lehrling	Handwerks-Lehrling
_0000000000000000	attack_magician	Kampfmagier	Kampfmagierin
_0000000000000000	AttackCaster	Kampfmagier	Kampfmagierin
_0000000000000000	AtysGuardian	Wächter von Atys	Wächterin von Atys
_0000000000000000	Avatar_Of_Destruction	Avatar der Zerstörung	Avatara der Zerstörung
_0000000000000000	Avatar_Of_Sorrow	Avatar der Sorgen	Avatara der Sorgen
_0000000000000000	Axeman	Axtkämpfer	Axtkämpferin
_0000000000000000	Biomancer	Biomagier	Biomagier
_0000000000000000	Black_Mage	Schwarzmagier	Schwarzmagierin
_0000000000000000	BladeBearer	Schwertmeister	Schwertmeisterin
_0000000000000000	Bludgeoner	Keulenschwinger	Keulenschwingerin
_0000000000000000	Bowman	Bogenschütze	Bogenschützin
_0000000000000000	Brute	Stabkämpfer	Stabkämpferin
_0000000000000000	buffer_magician	Schutzmagier	Schutzmagierin
_0000000000000000	BufferCaster	Schutzmagier	Schutzmagierin
_0000000000000000	Celestial_Guardian	Himmelswächter	Himmelswächterin
_0000000000000000	Chosen_Of_Atys	Auserwählter von Atys	Auserwählte von Atys
_0000000000000000	Cleaver	Aufspalter	Aufspalterin
_0000000000000000	Close_Fighter	Nahkämpfer	Nahkämpferin
_0000000000000000	CM	Community Manager	Community Managerin
_0000000000000000	corsaire_dechu_coffer	Korsaren-Kiste	Korsaren-Kiste
_0000000000000000	Craftsman	Handwerker	Handwerkerin
_0000000000000000	Crossbowman	Armbrustschütze	Armbrustschützin
_0000000000000000	cwff03_goari	Goari Pondeuse	
_0000000000000000	cwff03_termit	Termitière	
_0000000000000000	cwmf03_bandit	Bandit d'Avalae	
_0000000000000000	cwzf03_goo	Ragus Contaminé	
_0000000000000000	Defensive_Magician	Magicien Défensif	Magicienne Défensive
