DIFF_CMD	*HASH_VALUE	title_id	name	women_name
DIFF REMOVED 1 	_0000000000000000	fct_allegory_maker	Engraver of Allegories	Engraver of Allegories
DIFF SWAP 452 1				
DIFF CHANGED 1 	_C27F65FEE99C5036	gn_apprentice_tracer	Apprenti Traceur	
DIFF SWAP 464 2				
DIFF CHANGED 2 	_7F3E91DD23C6651F	gn_bandit_bountybeaches_1	Blood Rooters	
DIFF SWAP 465 3				
DIFF CHANGED 3 	_C53D8D3533B1790F	gn_bandit_bountybeaches_2	Bounty Snatchers	
DIFF SWAP 466 4				
DIFF CHANGED 4 	_3E7B70E3ECBA5115	gn_bandit_bountybeaches_3	Infamous Five	
DIFF SWAP 467 5				
DIFF CHANGED 5 	_37A9127C4ABCBCE0	gn_bandit_citiesofintuition_1	Birds Of Omen	
DIFF SWAP 468 6				
DIFF CHANGED 6 	_3F5B0C14CB0E21F1	gn_bandit_citiesofintuition_2	Zora Kovans	
DIFF SWAP 469 7				
DIFF CHANGED 7 	_57E4B19BC9AF260B	gn_bandit_citiesofintuition_3	Eyes of Intuition	
DIFF SWAP 470 8				
DIFF CHANGED 8 	_448EF90B66A614CE	gn_bandit_dunesofexil_1	Ridge Ravagers	
DIFF SWAP 471 9				
DIFF CHANGED 9 	_A788B0A2E6C760B4	gn_bandit_dunesofexil_2	Waylayers	
DIFF SWAP 472 10				
DIFF CHANGED 10 	_C69E51219ED7DC5B	gn_bandit_dunesofexil_3	Dyron Dragons	
DIFF SWAP 473 11				
DIFF CHANGED 11 	_E718611C1F0788AA	gn_bandit_dunesofexil_4	Firebooters	
DIFF SWAP 474 12				
DIFF CHANGED 12 	_C4BE65A0844B690C	gn_bandit_enchantedisle_1	Tyler's Rippers	
DIFF SWAP 475 13				
DIFF CHANGED 13 	_9ADF725B7C1C1806	gn_bandit_enchantedisle_2	Magicians of Malice	
DIFF SWAP 476 14				
DIFF CHANGED 14 	_3F3E09153DEF6D16	gn_bandit_enchantedisle_3	Bucking Mektoubs	
DIFF SWAP 477 15				
DIFF CHANGED 15 	_01AC1C6DF31F1510	gn_bandit_fleetinggarden_1	Green Ravishers	
DIFF SWAP 478 16				
DIFF CHANGED 16 	_B5172C0DEA700512	gn_bandit_fleetinggarden_2	Deadened Eyes	
DIFF SWAP 479 17				
DIFF CHANGED 17 	_7F8B7009241C4904	gn_bandit_fleetinggarden_3	High Watchers	
DIFF SWAP 480 18				
DIFF CHANGED 18 	_3937401685703D0C	gn_bandit_fleetinggarden_4	Fleeting Lords	
DIFF SWAP 481 19				
DIFF CHANGED 19 	_3C9C380C9FE53D11	gn_bandit_fleetinggarden_5	Seed Addicts	
DIFF SWAP 482 20				
DIFF CHANGED 20 	_F18AE58CB2BF35EC	gn_bandit_forbidden_depths_1	Eva's Empalers	
DIFF SWAP 483 21				
DIFF CHANGED 21 	_D66D610C6879888A	gn_bandit_forbidden_depths_2	Slicers	
DIFF SWAP 484 22				
DIFF CHANGED 22 	_1EC30E8485DFF1BB	gn_bandit_forbidden_depths_3	Beastie Bandits	
DIFF SWAP 485 23				
DIFF CHANGED 23 	_68381E88C26F31EA	gn_bandit_forbidden_depths_4	Dragon Dodgers	
DIFF SWAP 486 24				
DIFF CHANGED 24 	_070E0D04128AA908	gn_bandit_frahartowers_1	Canyon Creepers	
DIFF SWAP 487 25				
DIFF CHANGED 25 	_807011C2371D8918	gn_bandit_frahartowers_2	Stunning Stavons	
DIFF SWAP 488 26				
DIFF CHANGED 26 	_862C50089D53D90A	gn_bandit_frahartowers_3	Swords of Fury	
DIFF SWAP 489 27				
DIFF CHANGED 27 	_008F41019353BD07	gn_bandit_frahartowers_4	Frahar Blazers	
DIFF SWAP 490 28				
DIFF CHANGED 28 	_EF311E8103FE91EB	gn_bandit_gate_of_obscurity_1	Heart Breakers	
DIFF SWAP 491 29				
DIFF CHANGED 29 	_5353A573E4E0A660	gn_bandit_gate_of_obscurity_2	Merchants of Terror	
DIFF SWAP 492 30				
DIFF CHANGED 30 	_67C6E27B09DF09BD	gn_bandit_gate_of_obscurity_3	Valley Busters	
DIFF SWAP 493 31				
DIFF CHANGED 31 	_5875CA8281BE599C	gn_bandit_gate_of_obscurity_4	Scarlet Loafers	
DIFF SWAP 494 32				
DIFF CHANGED 32 	_23CC358CC1AF71D0	gn_bandit_groveofconfusion_1	Madding Maids	
DIFF SWAP 495 33				
DIFF CHANGED 33 	_B99BFC8849AFB5EF	gn_bandit_groveofconfusion_2	Grove Tyrants	
DIFF SWAP 496 34				
DIFF CHANGED 34 	_5092C28CC3AF65A9	gn_bandit_groveofconfusion_3	Slashing Slathes	
DIFF SWAP 497 35				
DIFF CHANGED 35 	_825D4501D593E01A	gn_bandit_groveofumbra_1	Killer Queens	
DIFF SWAP 498 36				
DIFF CHANGED 36 	_7E4E990951939D19	gn_bandit_groveofumbra_2	Spleen Busters	
DIFF SWAP 499 37				
DIFF CHANGED 37 	_A45789F0595597AD	gn_bandit_groveofumbra_3	Black Lams	
DIFF SWAP 500 38				
DIFF CHANGED 38 	_25685DF79B872862	gn_bandit_groveofumbra_4	Dare Doers	
DIFF SWAP 501 39				
DIFF CHANGED 39 	_80DF8592A819BD17	gn_bandit_havenofpurity_1	Skelter Punks	
DIFF SWAP 502 40				
DIFF CHANGED 40 	_00AEEDE21EFCA10E	gn_bandit_havenofpurity_2	Homin Hounders	
DIFF SWAP 503 41				
DIFF CHANGED 41 	_EEFECD94463195ED	gn_bandit_havenofpurity_3	Flights of Fury	
DIFF SWAP 504 42				
DIFF CHANGED 42 	_819D2D8F82D0311E	gn_bandit_hereticshovel_1	Channel Gaugers	
DIFF SWAP 505 43				
DIFF CHANGED 43 	_5A43C5037F2F0642	gn_bandit_hereticshovel_2	Heathens of the Hovel	
DIFF SWAP 506 44				
DIFF CHANGED 44 	_43EDE1E15F559421	gn_bandit_hereticshovel_3	Hovel Spooks	
DIFF SWAP 507 45				
DIFF CHANGED 45 	_E8C8B4A11DB87494	gn_bandit_hiddensource_1	Spoilers	
DIFF SWAP 508 46				
DIFF CHANGED 46 	_85BF1D09DBA72848	gn_bandit_hiddensource_2	Hell Raisers	
DIFF SWAP 509 47				
DIFF CHANGED 47 	_E6EF550D9193AC4F	gn_bandit_hiddensource_3	Jena's Cuss	
DIFF SWAP 510 48				
DIFF CHANGED 48 	_B1BE56506C2069A3	gn_bandit_imperialdunes_1	Eye of the Dragon	
DIFF SWAP 511 49				
DIFF CHANGED 49 	_44DEA9CFA8D93016	gn_bandit_imperialdunes_2	Dune Stalkers	
DIFF SWAP 512 50				
DIFF CHANGED 50 	_88BEC9E2E8CBF0D2	gn_bandit_imperialdunes_3	Pyr Crushers	
DIFF SWAP 513 51				
DIFF CHANGED 51 	_3DE9C1DF93DB6519	gn_bandit_imperialdunes_4	Pagans of Pyr	
DIFF SWAP 514 52				
DIFF CHANGED 52 	_447BD4C0CA6F2519	gn_bandit_knollofdissent_1	Border Raiders	
DIFF SWAP 515 53				
DIFF CHANGED 53 	_1D51A486CADEE1D6	gn_bandit_knollofdissent_2	Casters of Dissent	
DIFF SWAP 516 54				
DIFF CHANGED 54 	_712BF97BC66E45FC	gn_bandit_knollofdissent_3	Highcliff Riders	
DIFF SWAP 517 55				
DIFF CHANGED 55 	_898B54126C39B32A	gn_bandit_knollofdissent_4	Cut-throats	
DIFF SWAP 518 56				
DIFF CHANGED 56 	_29BD64056C2984B5	gn_bandit_knollofdissent_5	Thrashers	
DIFF SWAP 519 57				
DIFF CHANGED 57 	_05FB700F2D189428	gn_bandit_knollofdissent_6	Firebooters	
DIFF SWAP 520 58				
DIFF CHANGED 58 	_B8DE2964BE3FF51F	gn_bandit_knotofdementia_1	Browbeat Brothers	
DIFF SWAP 521 59				
DIFF CHANGED 59 	_42ACE4BE27449922	gn_bandit_knotofdementia_2	Zora's Thorn	
DIFF SWAP 522 60				
DIFF CHANGED 60 	_02BC600EFBFB7517	gn_bandit_knotofdementia_3	Zora Springers	
DIFF SWAP 523 61				
DIFF CHANGED 61 	_454C6873F12F95FB	gn_bandit_lagoonsofloria_1	Swamp Slouchers	
DIFF SWAP 524 62				
DIFF CHANGED 62 	_7E7CD4CDE8FFC503	gn_bandit_lagoonsofloria_2	Lagoon Fylers	
DIFF SWAP 525 63				
DIFF CHANGED 63 	_B8678CD4C57EC104	gn_bandit_lagoonsofloria_3	Diller's Mates	
DIFF SWAP 526 64				
DIFF CHANGED 64 	_414B940EA0D4D4A9	gn_bandit_lagoonsofloria_4	Mire Mates	
DIFF SWAP 527 65				
DIFF CHANGED 65 	_BBA94714E89F8D11	gn_bandit_lagoonsofloria_5	Damning Dames	
DIFF SWAP 528 66				
DIFF CHANGED 66 	_5A81286630BAA17F	gn_bandit_lagoonsofloria_6	Seven Swords of Sin	
DIFF SWAP 530 67				
DIFF CHANGED 67 	_853D39269E827D01	gn_bandit_libertylake_1	Liberty Pirates	
DIFF SWAP 531 68				
DIFF CHANGED 68 	_C33DD9A4BBCC0DF2	gn_bandit_libertylake_2	Cristabell Skinners	
DIFF SWAP 532 69				
DIFF CHANGED 69 	_C48B0C2CE3A27DFE	gn_bandit_libertylake_3	Friends of Fury	
DIFF SWAP 533 70				
DIFF CHANGED 70 	_859D151821D34719	gn_bandit_maidengrove_1	Shadow Bandits	
DIFF SWAP 534 71				
DIFF CHANGED 71 	_C4AD4D23E4F514C2	gn_bandit_maidengrove_2	Plain Scourers	
DIFF SWAP 535 72				
DIFF CHANGED 72 	_954E7508A1E5847B	gn_bandit_maidengrove_3	Lake Loafers	
DIFF SWAP 536 73				
DIFF CHANGED 73 	_77B82012736F81FF	gn_bandit_majesticgarden_1	Wrath of Natae	
DIFF SWAP 537 74				
DIFF CHANGED 74 	_BFCDA06D471A1814	gn_bandit_majesticgarden_2	Turn of the Tide	
DIFF SWAP 538 75				
DIFF CHANGED 75 	_BBB90F16F55F3528	gn_bandit_majesticgarden_3	Davae's Clutch	
DIFF SWAP 539 76				
DIFF CHANGED 76 	_3DDBA036073F4510	gn_bandit_majesticgarden_4	Avalae Charmers	
DIFF SWAP 540 77				
DIFF CHANGED 77 	_7D2BA0C38A701116	gn_bandit_majesticgarden_5	Border Blights	
DIFF SWAP 542 78				
DIFF CHANGED 78 	_A67AE5E00EB6D4A6	gn_bandit_nexus_1	Rebels of the West	
DIFF SWAP 543 79				
DIFF CHANGED 79 	_66C7F870257908B4	gn_bandit_nexus_2	Highwatchers	
DIFF SWAP 544 80				
DIFF CHANGED 80 	_AA4738F5A1D50CB5	gn_bandit_nexus_3	Nexus Stranglers	
DIFF SWAP 545 81				
DIFF CHANGED 81 	_F24DB97A15FAC4C1	gn_bandit_nexus_4	Casters of the Knot	
DIFF SWAP 546 82				
DIFF CHANGED 82 	_395EDDB991CA791B	gn_bandit_oflovaksoasis_1	Dragon Breath	
DIFF SWAP 547 83				
DIFF CHANGED 83 	_3AADF5CA915BA516	gn_bandit_oflovaksoasis_2	Shadow Riders	
DIFF SWAP 548 84				
DIFF CHANGED 84 	_E95EAA4E7B4091E8	gn_bandit_oflovaksoasis_3	Dragonfire Angels	
DIFF SWAP 549 85				
DIFF CHANGED 85 	_7EED459A7E214513	gn_bandit_oflovaksoasis_4	Hothead Hackers	
DIFF SWAP 550 86				
DIFF CHANGED 86 	_097D11F65653A92A	gn_bandit_outlawcanyon_1	Canyon Outlaws	
DIFF SWAP 551 87				
DIFF CHANGED 87 	_C50D79A49C6E5D25	gn_bandit_outlawcanyon_2	Fighting Flames	
DIFF SWAP 552 88				
DIFF CHANGED 88 	_2B075DF25CA7DCA5	gn_bandit_outlawcanyon_3	Buccaneers	
DIFF SWAP 553 89				
DIFF CHANGED 89 	_80AF15F78A007C0B	gn_bandit_sawdustmines_1	Vinni's Rapiers	
DIFF SWAP 554 90				
DIFF CHANGED 90 	_80FE55F21BB920D0	gn_bandit_sawdustmines_2	Bone Breakers	
DIFF SWAP 555 91				
DIFF CHANGED 91 	_1A275BDD3C0FFD72	gn_bandit_sawdustmines_3	Bandits of the Wooded Dunes	
DIFF SWAP 556 92				
DIFF CHANGED 92 	_2D263E7D7E7B50E1	gn_bandit_the_abyss_of_ichor_1	Death Mongers	
DIFF SWAP 557 93				
DIFF CHANGED 93 	_DBF5AE38007CE076	gn_bandit_the_abyss_of_ichor_2	Slayers of Ichor	
DIFF SWAP 558 94				
DIFF CHANGED 94 	_DD01CFF581BFE161	gn_bandit_the_abyss_of_ichor_3	Sentinels of the Sap	
DIFF SWAP 559 95				
DIFF CHANGED 95 	_3EC02929A45C68F9	gn_bandit_the_abyss_of_ichor_4	Marauders	
DIFF SWAP 560 96				
DIFF CHANGED 96 	_07960A91C4FC90AA	gn_bandit_the_elusive_forest_1	Flaxen Fiends	
DIFF SWAP 561 97				
DIFF CHANGED 97 	_74EF4296893C44CC	gn_bandit_the_elusive_forest_2	Brown Braves	
DIFF SWAP 562 98				
DIFF CHANGED 98 	_74EF2D8D450C48D1	gn_bandit_the_elusive_forest_3	Green Grief	
DIFF SWAP 563 99				
DIFF CHANGED 99 	_D933A2426C500E77	gn_bandit_the_land_of_continuty_1	Shadow Zoners	
DIFF SWAP 564 100				
DIFF CHANGED 100 	_8A6C2BBB9371E25E	gn_bandit_the_land_of_continuty_2	Prime Root Princes	
DIFF SWAP 565 101				
DIFF CHANGED 101 	_60F36E2D6CBF1A71	gn_bandit_the_land_of_continuty_3	Cavern Cranks	
DIFF SWAP 566 102				
DIFF CHANGED 102 	_D9347E2F6CBF417B	gn_bandit_the_land_of_continuty_4	Dragon Dudes	
DIFF SWAP 567 103				
DIFF CHANGED 103 	_9EF3BA7F1956AA6C	gn_bandit_the_land_of_continuty_5	Diehard Ditchers	
DIFF SWAP 568 104				
DIFF CHANGED 104 	_3EDC0515DC1061F9	gn_bandit_the_sunken_city_1	Soul Sisters	
DIFF SWAP 569 105				
DIFF CHANGED 105 	_E1EC2927EF5A9486	gn_bandit_the_sunken_city_2	Rattlers	
DIFF SWAP 570 106				
DIFF CHANGED 106 	_73C7FD302E5131EF	gn_bandit_the_sunken_city_3	Ripping Jaks	
DIFF SWAP 571 107				
DIFF CHANGED 107 	_3B80A1980BEF5003	gn_bandit_the_sunken_city_4	Loving Goo-drops	
DIFF SWAP 572 108				
DIFF CHANGED 108 	_001E69F6F50F5505	gn_bandit_the_trench_of_trials_1	Blasters	
DIFF SWAP 573 109				
DIFF CHANGED 109 	_96D47E8F0D24E671	gn_bandit_the_trench_of_trials_2	Highland Heathens	
DIFF SWAP 574 110				
DIFF CHANGED 110 	_1A94661692153A64	gn_bandit_the_trench_of_trials_3	Bigmount Bandits	
DIFF SWAP 575 111				
DIFF CHANGED 111 	_49451A6B8CA7FE5F	gn_bandit_the_under_spring_1	Underspring Lynchers	
DIFF SWAP 576 112				
