*HASH_VALUE	bodypartID	name	ia	named	da	nameda	daa	pro	p	pia	pda	pp	description
_ACB9BC721BA65099	HHead	Kopf	ein	Kopf	der	Kopf	den	deinen	Köpfe	mehrere	die	an	
_278A7C5D654814CD	HChest	Oberkörper	ein	Oberkörper	der	Oberkörper	den	deinen	Oberkörper	mehrere	die	an	
_A2D940906B29B889	HArms	Arme		Arme	die	Armen	den	deine	Arme	mehrere	die	an	
_B1CAFC85DB767C9C	HHands	Hände		Hände	die	Händen	den	deine	Hände	mehrere	die	an	
_20A8389BAC987C9F	HLegs	Beine		Beine	die	Beinen	den	deine	Beine	mehrere	die	an	
_E18820962C586494	HFeet	Füße		Füße	die	Füßen	den	deine	Füße	mehrere	die	an	
_ACB9BC7B1B375099	QHead	Kopf	ein	Kopf	der	Kopf	den	deinen	Köpfe	mehrere	die	an	
_E80BB4A21A9838B5	QBody	Körper	ein	Körper	der	Körper	den	deinen	Körper	mehrere	die	an	
_C96F0919D2F8DC71	QFrontPaws	Vorderbeine		Vorderbeine	die	Vorderbeinen	den	deine	Vorderbeine	mehrere	die	an	
_08A1A8FEABC3CD11	QFrontHooves	Vorderbeine		Vorderbeine	die	Vorderbeinen	den	deine	Vorderbeine	mehrere	die	an	
_23B95F02A87957B0	QRearPaws	Hinterbeine		Hinterbeine	die	Hinterbeinen	den	deine	Hinterbeine	mehrere	die	an	
_D880990C5BE9DCB7	QRearHooves	Hinterbeine		Hinterbeine	die	Hinterbeinen	den	deine	Hinterbeine	mehrere	die	an	
_2836645DDE8874AD	LKHead	Kopf	ein	Kopf	der	Kopf	den	deinen	Köpfe	mehrere	die	an	
_ED86C05FE298A4B9	LKBody	Körper	ein	Körper	der	Körper	den	deinen	Körper	mehrere	die	an	
_39BFC0EBE486B512	LKFrontPaws1	Vorderbeine		Vorderbeine	die	Vorderbeinen	den	deine	Vorderbeine	mehrere	die	an	
_79BFC0EBE486B512	LKFrontPaws2	Vorderbeine		Vorderbeine	die	Vorderbeinen	den	deine	Vorderbeine	mehrere	die	an	
_D92BB508D8F884A6	LKRearPaws1	Hinterbeine		Hinterbeine	die	Hinterbeinen	den	deine	Hinterbeine	mehrere	die	an	
_D93BB508D8F884A6	LKRearPaws2	Hinterbeine		Hinterbeine	die	Hinterbeinen	den	deine	Hinterbeine	mehrere	die	an	
_283664575C8874AD	FKHead	Kopf	ein	Kopf	der	Kopf	den	deinen	Köpfe	mehrere	die	an	
_ED86C0596098A4B9	FKBody	Körper	ein	Körper	der	Körper	den	deinen	Körper	mehrere	die	an	
_DBBA7473640310B0	FKPaws1	Beine		Beine	die	Beinen	den	deine	Beine	mehrere	die	an	
_1BBA7473641310B0	FKPaws2	Beine		Beine	die	Beinen	den	deine	Beine	mehrere	die	an	
_66B6A47A4A7ADCC2	FKWings1	Flügel		Flügel	die	Flügeln	den	deine	Flügel	mehrere	die	an	
_66B6A47ACA7ADCC2	FKWings2	Flügel		Flügel	die	Flügeln	den	deine	Flügel	mehrere	die	an	
_ACB9BC701B865099	FHead	Kopf	ein	Kopf	der	Kopf	den	deinen	Köpfe	mehrere	die	an	
_E80BB4971AE738B5	FBody	Körper	ein	Körper	der	Körper	den	deinen	Körper	mehrere	die	an	
_C40D15A82A36DF2C	FFrontFins1	Vorderflossen		Vorderflossen	die	Vorderflossen	den	deine	Vorderflossen	mehrere	die	an	
_C41D15A82A36DF2C	FFrontFins2	Vorderflossen		Vorderflossen	die	Vorderflossen	den	deine	Vorderflossen	mehrere	die	an	
_67B624EBAAF630A4	FRearFins1	Hinterflossen		Hinterflossen	die	Hinterflossen	den	deine	Hinterflossen	mehrere	die	an	
_67B628EBAAF630A4	FRearFins2	Hinterflossen		Hinterflossen	die	Hinterflossen	den	deine	Hinterflossen	mehrere	die	an	
_ACB9BC6C1B465099	BHead	Kopf	ein	Kopf	der	Kopf	den	deinen	Köpfe	mehrere	die	an	
_E80BB4931AA738B5	BBody	Körper	ein	Körper	der	Körper	den	deinen	Körper	mehrere	die	an	
_25897F8F25594780	BFeet1	Füße		Füße	die	Fuß	den	deine	Füße	mehrere	die	an	
_2589838F25594B80	BFeet2	Füße		Füße	die	Fuß	den	deine	Füße	mehrere	die	an	
_2C68746BA436D3C2	BWings1	Flügel		Flügel	die	Flügeln	den	deine	Flügel	mehrere	die	an	
_2C68746BA446D7C2	BWings2	Flügel		Flügel	die	Flügeln	den	deine	Flügel	mehrere	die	an	
_8061E6E18C3EA521	PUpperTrunk	Stiel	ein	Stiel	der	Stiel	den	deinen	Stiele	mehrere	die	an	
_ECEA3087A666CCC3	Ptrunk	Rüssel	ein	Rüssel	der	Rüssel	den	deinen	Rüssel	mehrere	die	an	
_E7469C4D9B5A0C9D	PLeaves1	Blätter		Blätter	die	Blättern	den	deinen	Blätter	mehrere	die	an	
_E7469C4DDB5A0C9D	PLeaves2	Blätter		Blätter	die	Blättern	den	deinen	Blätter	mehrere	die	an	
_C3EE9906771FB524	PLowerTrunk	Stamm	ein	Stamm	der	Stamm	den	deinen	Stämme	mehrere	die	an	
_DFA67A5CC7DECDE6	PVisibleRoots	Wurzel	eine	Wurzel	die	Wurzel	der	deiner	Wurzeln	mehrere	die	an	
