*HASH_VALUE	bot name	translated name	sheet_name		
_4835A8A9A8956613	agora 1	agora 1			
_6C58D4846C58D484	ammo	ammo			
_E9C9B8A8D9B5BF69	ammo shop	ammo shop			
_A85A28976567F899	ancient_dryads_mission_giver	ancient_dryads_mission_giver			
_552A1893438B1897	archery lord	archery lord			
_6E074C942238548F	Armor	Armor			
_AD19ABB5994AC7AF	armor shop	armor shop			
_EA1A8BAC6DD4F868	armour plan	armour plan			
_E96BC3A8B0940C76	armour shop	armour shop			
_248A5C97E489A096	bar	bar			
_A69A9C872017C871	Barrack	Barrack			
_6A9970ADD4397C57	barrack guard	barrack guard			
_6C58540864989490	Building	Building			
_0DB50734DBD2BF79	Building 26	Building 26			
_DCE48F531844CE10	camp 1	camp 1			
_1CE493535844D610	camp 2	camp 2			
_66A6EC769DB6DC77	Chief	Chief			
_24787C835F435E0B	Chief Village A	Chief Village A			
_ADD9949C9535D776	city hall	city hall			
_AA49B4A6E88998A2	clerics	clerics			
_E377149F1D69F07F	cure expert	cure expert			
_DCFAE64D2E074C34	cure expert 2	cure expert 2			
_641C540C641C540C	Cute	Cute			
_ECBAC4AE6EF910B3	cutthroath	cutthroath			
_A468609B24C8A49C	dancer	dancer			
_261B64B4A8987CA4	darkening_sap_mission_giver	darkening_sap_mission_giver			
_6649A8AF2BEC98AC	ecowarriors_mission_giver	ecowarriors_mission_giver			
_E5F8709EE2C97C9F	faber	faber			
_3CE268F14CC0EF26	FABER GUILD	FABER GUILD			
_AA7A1BB22729B6BF	fyros master	fyros master			
_641C141C641C141C	Gate	Gate			
_2239B84EDA14C84D	Gate Guard	Gate Guard			
_E4D67851A624786B	Gibbai	Gibbai			
_7058549C30083490	guards 0	guards 0			
_7058549C30D43490	guards_0	guards_0			
_7058549C30D43490	guards_1	guards_1			
_7058549C30D43490	guards_2	guards_2			
_7058549C30D43490	guards_3	guards_3			
_7058549C34D43490	guards_4	guards_4			
_7058549C34D43490	guards_5	guards_5			
_7058549C34D43490	guards_6	guards_6			
_7058549C34D43490	guards_7	guards_7			
_7058549C38D43490	guards_8	guards_8			
_6C1814A06C1814A0	hall	hall			
_AAC88871A725CC98	Harmor	Harmor			
_EF1BBCB1AB0AC4B4	harvest	harvest			
_8D53EBFB4761E02D	HARVESTER GUILD	HARVESTER GUILD			
_33A6446373443880	Hunter	Hunter			
_AAC74C8021370492	Jewel	Jewel			
_E84A77B8D41A6BBC	jewel shop	jewel shop			
_E75A8CB7E789C4B9	jewels	jewels			
_A8E9E8A8D78A5478	karavan group	karavan group			
_E2DA84BCC81A34BE	karavan soldiers	karavan soldiers			
_6DEAE0AFA8789FA7	kitin_threat_1_mission_giver	kitin_threat_1_mission_giver			
_6DEAE0AFA878A3A7	kitin_threat_2_mission_giver	kitin_threat_2_mission_giver			
_6DEAE0AFA878A7A7	kitin_threat_3_mission_giver	kitin_threat_3_mission_giver			
_6DEAE0AFA878ABA7	kitin_threat_4_mission_giver	kitin_threat_4_mission_giver			
_A208887997A54C9C	LArmor	LArmor			
_AB380FB16ED80AA7	magic attack	magic attack			
_C4C16C2E409FEFED	MAGIC ATTACK GUILD	MAGIC ATTACK GUILD			
_A8D8739817A8439D	magic buff	magic buff			
_C700842180AF0BEF	MAGIC BUFFER GUILD	MAGIC BUFFER GUILD			
_26E44B5913045B78	Magic Heal	Magic Heal			
_49B05C227C0F0BEF	MAGIC HEALER GUILD	MAGIC HEALER GUILD			
_D964AB51A7989757	magician 2	magician 2			
