// HASH_VALUE 41AC5FC657D9104D
// INDEX 0
abandon_mission	[&TSK&Du hast eine Mission aufgegeben.]

// HASH_VALUE DC877E741E9D7AFE
// INDEX 1
abandon_team_mission_refused	[&CHK& Nur Teamleiter können eine Teammission abbrechen.]

// HASH_VALUE CE03C33324045B5E
// INDEX 2
answer_bye	[Bis bald!]

// HASH_VALUE 075AF84AD546E897
// INDEX 3
answer_group_no	[Wir sind nicht interessiert.]

// HASH_VALUE 82FD03A95FCF007C
// INDEX 4
answer_kami_no	[Nein, ich bleibe lieber noch eine Weile.]

// HASH_VALUE 2D7B3E27F5D43823
// INDEX 5
answer_kami_temp_yes	[Ja, ich möchte diesen Ort hier verlassen.]

// HASH_VALUE 82FD03A95FCF007C
// INDEX 6
answer_karavan_no	[Nein, ich bleibe lieber noch eine Weile.]

// HASH_VALUE 2D7B3E27F5D43823
// INDEX 7
answer_karavan_temp_yes	[Ja, ich möchte diesen Ort hier verlassen.]

// HASH_VALUE 7B8B3800DBE99CD9
// INDEX 8
answer_next	[Erzählt mir mehr.]

// HASH_VALUE CDC5989D941493AC
// INDEX 9
answer_no	[Ich bin nicht interessiert.]

// HASH_VALUE D9624C3B6D549EB5
// INDEX 10
answer_ok	[In Ordnung.]

// HASH_VALUE 5B955F82657A0578
// INDEX 11
answer_skip	[Das stört mich nicht...]

// HASH_VALUE 54663B5BD2C43A7C
// INDEX 12
answer_thanks	[Danke!]

// HASH_VALUE E10BAD23B5A4D5BB
// INDEX 13
aura_effect_begin	[&SPL&Du beginnst die Auswirkungen der $p$ zu spüren.]

// HASH_VALUE EFFA20912759B62F
// INDEX 14
aura_effect_end	[&SPL&Die Auswirkungen der $p$ enden.]

// HASH_VALUE DDE2B7AA37E4D27C
// INDEX 15
auto_loot_level_too_low	[&ITMF&Für deine Mission brauchst du Material höherer Qualität.]

// HASH_VALUE E76ABCF275EBDDC0
// INDEX 16
auto_loot_success_pl	[&ITM&Du findest $nb$ $i.p$ der Qualität $level$ für deine Mission]

// HASH_VALUE 56D9C8BD7B8DCF1D
// INDEX 17
auto_loot_success_1	[&ITM&Du findest ein $i$ der Qualität $level$ für deine Mission]

// HASH_VALUE BE3863B4893D1C6A
// INDEX 18
avalae_city_welcomer_1_p_bc_answer_c_1	[Meisterin $trainer_c_1$ ist die Handwerks-Lehrerin von Avalae, ich markiere ihren Aufenthaltsort auf deiner Karte. ]

// HASH_VALUE 770D5D27099EA98D
// INDEX 19
avalae_city_welcomer_1_p_bc_answer_f_11	[Meister $trainer_f_1$ ist der Kampflehrer von Avalae, ich markiere seinen Aufenthaltsort auf deiner Karte. ]

// HASH_VALUE 11225F4D54064E2C
// INDEX 20
avalae_city_welcomer_1_p_bc_answer_h_11	[Meisterin $trainer_h_1$ ist die Erntelehrerin von Avalae, ich markiere ihren Aufenthaltsort auf deiner Karte. ]

// HASH_VALUE CFCC3B6AEA44491F
// INDEX 21
avalae_city_welcomer_1_p_bc_answer_m_11	[Meisterin $trainer_m_1$ ist die Magielehrerin von Avalae, ich markiere ihren Aufenthalsort auf deiner Karte.]

// HASH_VALUE FDF4C1622DDBA9E9
// INDEX 22
avalae_city_welcomer_1_p_t2_welcomer	[Ich suche bestimmte Personen in dieser Stadt.]

// HASH_VALUE FDF4C1622DDBA9E9
// INDEX 23
avendale_city_welcomer_1_p_t2_welcomer	[Ich suche bestimmte Personen in dieser Stadt.]

// HASH_VALUE 72ACD624EDE44E46
// INDEX 24
bag_full	[&CHK&Dein Inventar ist voll. Es sind $qty$ Gegenstände darin.]

// HASH_VALUE 647E11043BA5D598
// INDEX 25
boss_mainland_craftpart1a_diag1	[Wenn du mich bezahlst und mir alle Teile übergibst, dann beginne ich sofort mit der Arbeit.]

// HASH_VALUE BC50B90E685601B7
// INDEX 26
