// HASH_VALUE A575E93668996B62
// INDEX 0
abandon_mission	[&TSK&Has abandonado una misión.]

// HASH_VALUE 115AE2F9FE16AF36
// INDEX 1
abandon_team_mission_refused	[&CHK&Sólo los líderes pueden abandonar una misión del equipo.]

// HASH_VALUE 2058940820589408
// INDEX 2
answer_bye	[Adios!]

// HASH_VALUE EB607BB057654376
// INDEX 3
answer_group_no	[No estamos interesados.]

// HASH_VALUE 17EFD04C45772162
// INDEX 4
answer_kami_no	[No, yo voy a quedarme aquí]

// HASH_VALUE 49E7F83F0B82304E
// INDEX 5
answer_kami_temp_yes	[Si, quiero irme]

// HASH_VALUE 17EFD04C45772162
// INDEX 6
answer_karavan_no	[No, me quedaré aquí]

// HASH_VALUE 49E7F83F0B82304E
// INDEX 7
answer_karavan_temp_yes	[Si, quiero ir]

// HASH_VALUE 26088A921AA46CDA
// INDEX 8
answer_next	[Cuéntame más.]

// HASH_VALUE 0D01B7865CD6D875
// INDEX 9
answer_no	[No estoy interesado.]

// HASH_VALUE 68D0B43C68D0B43C
// INDEX 10
answer_ok	[Bien]

// HASH_VALUE 5AC7D348C9C59A67
// INDEX 11
answer_skip	[No me molestes...]

// HASH_VALUE D84962AD98A85E95
// INDEX 12
answer_thanks	[Gracias!]

// HASH_VALUE 54CC38B516B97D37
// INDEX 13
aura_effect_begin	[&SPL&Empiezas a sentir los efectos del poder de $p$ power.]

// HASH_VALUE D4C718CA93A9EA16
// INDEX 14
aura_effect_end	[El efecto de &SPL&$p$ ha terminado.]

// HASH_VALUE 694E87CD6AED5153
// INDEX 15
auto_loot_level_too_low	[&ITMF&Para tu misión, necesitas un material de superior calidad.]

// HASH_VALUE C14D027B9E339C8E
// INDEX 16
auto_loot_success_pl	[&ITM&Obtienes $nb$ $i.p$ de calidad $level$ para tu misión.]

// HASH_VALUE 7ED43BDC5A843768
// INDEX 17
auto_loot_success_1	[&ITM&Obtienes un $i$ de calidad  $level$ para tu misión.]

// HASH_VALUE 58EC720DB6709069
// INDEX 18
avalae_city_welcomer_1_p_bc_answer_c_1	[El $trainer_c_1$ entrena al artesano en nuestra ciudad, he puesto una marca en tu mapa.]

// HASH_VALUE C31DC0322EA7C0E8
// INDEX 19
avalae_city_welcomer_1_p_bc_answer_f_11	[El $trainer_f_1$ entrena a los luchadores de nuestra ciudad, he puesto una marca en tu mapa.]

// HASH_VALUE C3D60DA60973DCA8
// INDEX 20
avalae_city_welcomer_1_p_bc_answer_h_11	[El $trainer_h_1$ entrena a los recolectores en nuestra ciudad, he puesto una marca en tu mapa.]

// HASH_VALUE 14FD67E42759CAA6
// INDEX 21
avalae_city_welcomer_1_p_bc_answer_m_11	[El $trainer_m_1$ entrena a los magos en nuestra ciudad, he puesto una marca en tu mapa.]

// HASH_VALUE E051EA7D1A4C9CEB
// INDEX 22
avalae_city_welcomer_1_p_t2_welcomer	[Estoy buscando a alguién en la ciudad]

// HASH_VALUE E051EA7D1A4C9CEB
// INDEX 23
avendale_city_welcomer_1_p_t2_welcomer	[Estoy buscando a alguién en la ciudad.]

// HASH_VALUE C0C50D83B2B3A213
// INDEX 24
bag_full	[&CHK&Tu inventario está lleno, tienes $qty$ artículos en este.]

// HASH_VALUE B040792027459E0F
// INDEX 25
boss_mainland_craftpart1a_diag1	[Si me pagas y me entregas todas las piezas me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 26
boss_mainland_craftpart1a_diag2	[Déjame ver... He visto una de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder.. Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 27
boss_mainland_craftpart1a_mission_intro	[Restaura el plan de las botas]

// HASH_VALUE AAC95B8967D5905C
// INDEX 28
boss_mainland_craftpart1a_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 29
boss_mainland_craftpart1a_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 30
boss_mainland_craftpart1b_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 31
boss_mainland_craftpart1b_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo....\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 32
boss_mainland_craftpart1b_mission_intro	[Restaura el plan de las botas]

// HASH_VALUE AAC95B8967D5905C
// INDEX 33
boss_mainland_craftpart1b_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 34
boss_mainland_craftpart1b_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 35
boss_mainland_craftpart1c_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 36
boss_mainland_craftpart1c_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 37
boss_mainland_craftpart1c_mission_intro	[Restaura el plan de las botas]

// HASH_VALUE AAC95B8967D5905C
// INDEX 38
boss_mainland_craftpart1c_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 39
boss_mainland_craftpart1c_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 40
boss_mainland_craftpart1d_diag1	[Si me pagas y en entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 41
boss_mainland_craftpart1d_diag2	[Déjame ver...He visto uno de estos antes, pero hace mucho tiempo....\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 42
boss_mainland_craftpart1d_mission_intro	[Restaura el plan de las botas]

// HASH_VALUE AAC95B8967D5905C
// INDEX 43
boss_mainland_craftpart1d_p_mis_desc	[Realiza el pago]

