// HASH_VALUE 7C0DD08E0B74B048
// INDEX 0
abandon_mission	[&TSK&Vous avez abandonné une mission.]

// HASH_VALUE EA0BB0312AD03638
// INDEX 1
abandon_team_mission_refused	[&CHK&Seuls les chefs peuvent abandonner une mission d'équipe.]

// HASH_VALUE 2500DB4918588269
// INDEX 2
answer_bye	[Au revoir !]

// HASH_VALUE 0B6614879BDA0F66
// INDEX 3
answer_group_no_m	[Nous ne sommes pas intéressés.]

// HASH_VALUE 0B66148753D82458
// INDEX 4
answer_group_no_f	[Nous ne sommes pas intéressées.]

// HASH_VALUE 5C288A8E8244AA66
// INDEX 5
answer_kami_no	[Non, je reste ici.]

// HASH_VALUE BC6AB859CD59D405
// INDEX 6
answer_kami_temp_yes	[Oui, je veux partir.]

// HASH_VALUE 5C288A8E8244AA66
// INDEX 7
answer_karavan_no	[Non, je reste ici.]

// HASH_VALUE BC6AB859CD59D405
// INDEX 8
answer_karavan_temp_yes	[Oui, je veux partir.]

// HASH_VALUE EA92BC52A81A12BE
// INDEX 9
answer_next	[Dites-m'en plus.]

// HASH_VALUE AC46EB8639C6D34B
// INDEX 10
answer_no_f	[Je ne suis pas intéressée.]

// HASH_VALUE 5BF85C4F0D72AF99
// INDEX 11
answer_no_m	[Je ne suis pas intéressé.]

// HASH_VALUE 68D0B43C68D0B43C
// INDEX 12
answer_ok	[Ok]

// HASH_VALUE DFC5480ADB90CC60
// INDEX 13
answer_skip	[Ne venez pas m'ennuyer...]

// HASH_VALUE 82F590872063CEF7
// INDEX 14
answer_thanks	[Merci !]

// HASH_VALUE 50E26657105975D7
// INDEX 15
aura_effect_begin	[&SPL&Vous commencez à sentir les effets du pouvoir $p$.]

// HASH_VALUE 7857F6E7A22D0CDC
// INDEX 16
aura_effect_end	[&SPL&Les effets du pouvoir $p$ ont pris fin.]

// HASH_VALUE 524D2DE1496727E5
// INDEX 17
auto_loot_level_too_low	[&ITMF&Pour votre mission, vous avez besoin d'une matière de qualité supérieure.]

// HASH_VALUE 3E2B6E624E413773
// INDEX 18
auto_loot_success_pl	[&ITM&Vous obtenez $nb$ $i.p$ de qualité $level$ pour votre mission.]

// HASH_VALUE FDBA46194E554C3F
// INDEX 19
auto_loot_success_1	[&ITM&Vous obtenez $i.ia$ $i$ de qualité $level$ pour votre mission.]

// HASH_VALUE 31B53E24471B1C77
// INDEX 20
