// HASH_VALUE 48835A17757D34E5
// INDEX 0
abandon_mission	[&TSK&Вы прервали выполнение задания.]

// HASH_VALUE 61801A574C5BB670
// INDEX 1
abandon_team_mission_refused	[&CHK&Только предводитель группы может прервать выполнение группового задания.]

// HASH_VALUE FA3B30B7B6FC18D5
// INDEX 2
answer_bye	[До свидания!]

// HASH_VALUE F99E79F077DA8A2A
// INDEX 3
answer_group_no	[Нас это не интересует.]

// HASH_VALUE 83FCBDF77A2B52DF
// INDEX 4
answer_kami_no	[Нет, я останусь здесь.]

// HASH_VALUE B4881AD638AE5230
// INDEX 5
answer_kami_temp_yes	[Да, я хочу уйти.]

// HASH_VALUE 83FCBDF77A2B52DF
// INDEX 6
answer_karavan_no	[Нет, я останусь здесь.]

// HASH_VALUE B4881AD638AE5230
// INDEX 7
answer_karavan_temp_yes	[Да, я хочу уйти.]

// HASH_VALUE 73DCE8BD03CD3509
// INDEX 8
answer_next	[Расскажи подробнее.]

// HASH_VALUE 3ACC82C6715CF6E8
// INDEX 9
answer_no	[Мне это не интересно.]

// HASH_VALUE 44DE60F2442C6015
// INDEX 10
answer_ok	[Хорошо]

// HASH_VALUE B68E31EF45A999C2
// INDEX 11
answer_skip	[Оставь меня в покое...]

// HASH_VALUE 480C70A4208C9000
// INDEX 12
answer_thanks	[Спасибо!]

// HASH_VALUE DB5116E9B60E3114
// INDEX 13
aura_effect_begin	[&SPL&Вы ощущаете на себе действие $p$.]

// HASH_VALUE 0F35EB67D4B02CFB
// INDEX 14
aura_effect_end	[&SPL&Действие заклинания $p$ прекратилось.]

// HASH_VALUE EF5080A3156C8E30
// INDEX 15
auto_loot_level_too_low	[&ITMF&Для выполнения этого задания требуются материалы более высокого качества.]

// HASH_VALUE AAC785434CB56DC9
// INDEX 16
auto_loot_success_1	[&ITM& Вы получили 1 $i.onegen$ качества $level$ для выполнения вашего задания.]

// HASH_VALUE C9D686DD6006FBB8
// INDEX 17
auto_loot_success_24	[&ITM&Вы получили $nb$ $i.twogen$ качества $level$ для выполнения вашего задания.]

// HASH_VALUE 495582DD6006FBB8
// INDEX 18
auto_loot_success_pl	[&ITM&Вы получили $nb$ $i.somgen$ качества $level$ для выполнения вашего задания.]

// HASH_VALUE FD672E45534C57D0
// INDEX 19
avalae_city_welcomer_1_p_bc_answer_c_1	[Ремесленников в нашем городе обучает $trainer_c_1$. Я отметил его местонахождение на вашей карте.]

// HASH_VALUE 7BBA2A6FADC5B3F2
// INDEX 20
