// HASH_VALUE A575E93668996B62
// INDEX 0
abandon_mission	[&TSK&You have abandonned a mission.]

// HASH_VALUE 115AE2F9FE16AF36
// INDEX 1
abandon_team_mission_refused	[&CHK& only leaders can abandon a team mission.]

// HASH_VALUE 2058940820589408
// INDEX 2
answer_bye	[Bye!]

// HASH_VALUE EB607BB057654376
// INDEX 3
answer_group_no	[We're not interested.]

// HASH_VALUE 17EFD04C45772162
// INDEX 4
answer_kami_no	[No, I'll stay here]

// HASH_VALUE 49E7F83F0B82304E
// INDEX 5
answer_kami_temp_yes	[Yes, I want to leave]

// HASH_VALUE 17EFD04C45772162
// INDEX 6
answer_karavan_no	[No, I'll stay here]

// HASH_VALUE 49E7F83F0B82304E
// INDEX 7
answer_karavan_temp_yes	[Yes, I want to leave]

// HASH_VALUE 26088A921AA46CDA
// INDEX 8
answer_next	[Tell me more.]

// HASH_VALUE 0D01B7865CD6D875
// INDEX 9
answer_no	[I'm not interested.]

// HASH_VALUE 68D0B43C68D0B43C
// INDEX 10
answer_ok	[Ok]

// HASH_VALUE 5AC7D348C9C59A67
// INDEX 11
answer_skip	[Don't bother me...]

// HASH_VALUE D84962AD98A85E95
// INDEX 12
answer_thanks	[Thank you!]

// HASH_VALUE 54CC38B516B97D37
// INDEX 13
aura_effect_begin	[&SPL&You begin to feel the effects of $p$ power.]

// HASH_VALUE D4C718CA93A9EA16
// INDEX 14
aura_effect_end	[&SPL&$p$ effects have ended.]

// HASH_VALUE 694E87CD6AED5153
// INDEX 15
auto_loot_level_too_low	[&ITMF&For your mission, you need a material of higher quality.]

// HASH_VALUE C14D027B9E339C8E
// INDEX 16
auto_loot_success_pl	[&ITM&You obtain $nb$ $i.p$ of quality $level$ for your mission]

// HASH_VALUE 7ED43BDC5A843768
// INDEX 17
auto_loot_success_1	[&ITM&You obtain one $i$ of quality $level$ for your mission]

// HASH_VALUE 58EC720DB6709069
// INDEX 18
avalae_city_welcomer_1_p_bc_answer_c_1	[$trainer_c_1$ est l'entraîneur d'artisants de notre ville, je l'indique sur votre carte.]

// HASH_VALUE C31DC0322EA7C0E8
// INDEX 19
avalae_city_welcomer_1_p_bc_answer_f_11	[$trainer_f_1$ est l'entraîneur de combattants de notre ville, je l'indique sur votre carte.]

// HASH_VALUE C3D60DA60973DCA8
// INDEX 20
avalae_city_welcomer_1_p_bc_answer_h_11	[$trainer_h_1$ est l'entraîneur de récolteurs de notre ville, je l'indique sur votre carte.]

// HASH_VALUE 14FD67E42759CAA6
// INDEX 21
avalae_city_welcomer_1_p_bc_answer_m_11	[$trainer_m_1$ est l'entraîneur de magiciens de notre ville, je l'indique sur votre carte.]

// HASH_VALUE E051EA7D1A4C9CEB
// INDEX 22
avalae_city_welcomer_1_p_t2_welcomer	[Je recherche d'autres personnes dans la ville.]

// HASH_VALUE E051EA7D1A4C9CEB
// INDEX 23
avendale_city_welcomer_1_p_t2_welcomer	[Je recherche d'autres personnes dans la ville.]

// HASH_VALUE C0C50D83B2B3A213
// INDEX 24
bag_full	[&CHK&Your inventory is full, you have $qty$ items on it.]

// HASH_VALUE 5DDF8AFE447C930C
// INDEX 25
boss_mainland_craftpart1a_diag1	[Très bien.\n
	Donnez moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrais au travail immédiatement.]

// HASH_VALUE CE582BECA55A745B
// INDEX 26
boss_mainland_craftpart1a_diag2	[Laissez moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	 Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 27
boss_mainland_craftpart1a_mission_intro	[Restaurer le plan des bottes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 28
boss_mainland_craftpart1a_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 29
boss_mainland_craftpart1a_p_mis_title	[Restauration]

// HASH_VALUE 5DDF8AFE447C930C
// INDEX 30
boss_mainland_craftpart1b_diag1	[Très bien.\n
	Donnez moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrais au travail immédiatement.]

// HASH_VALUE CE582BECA55A745B
// INDEX 31
boss_mainland_craftpart1b_diag2	[Laissez moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	 Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 32
boss_mainland_craftpart1b_mission_intro	[Restaurer le plan des bottes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 33
boss_mainland_craftpart1b_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 34
boss_mainland_craftpart1b_p_mis_title	[Restauration]

// HASH_VALUE 5DDF8AFE447C930C
// INDEX 35
boss_mainland_craftpart1c_diag1	[Très bien.\n
	Donnez moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrais au travail immédiatement.]

// HASH_VALUE CE582BECA55A745B
// INDEX 36
boss_mainland_craftpart1c_diag2	[Laissez moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	 Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 37
boss_mainland_craftpart1c_mission_intro	[Restaurer le plan des bottes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 38
boss_mainland_craftpart1c_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 39
boss_mainland_craftpart1c_p_mis_title	[Restauration]

// HASH_VALUE 5DDF8AFE447C930C
// INDEX 40
boss_mainland_craftpart1d_diag1	[Très bien.\n
	Donnez moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrais au travail immédiatement.]

// HASH_VALUE CE582BECA55A745B
// INDEX 41
boss_mainland_craftpart1d_diag2	[Laissez moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	 Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]
