*HASH_VALUE	creature ID	name	named	namedda	nameda	iaa	ia	iag	da	dag	daa	dad	p	pd	pia	pda	
_8CED8A928EDD50F3	caaga1	Erkrankter Baldusa	Erkrankter Baldusa	Erkrankte Baldusa	Erkrankten Baldusa	einen	ein	eines	der	des	den	dem	Erkrankte Baldusas	Erkrankten Baldusas	Erkrankten Baldusas	die	
_BC1BDBDE266BBAF0	caaga2	Verfaulender Baldusa	Verfaulender Baldusa	Verfaulende Baldusa	Verfaulenden Baldusa	einen	ein	eines	der	des	den	dem	VerFaulede Baldusas	Verfaulenden Baldusas	Verfaulenden Baldusas	die	
_E1565BA1DF331C80	caaga3	Verseuchter Baldusa	Verseuchter Baldusa	Verseuchte Baldusa	Verseuchten Baldusa	einen	ein	eines	der	des	den	dem	Verseuchte Baldusas	Verseuchten Baldusas	Verseuchten Baldusas	die	
_42192454C467CEC5	caaga4	Infizierter Baldusa	Infizierter Baldusa	Infizierte Baldusa	Infizierten Baldusa	einen	ein	eines	der	des	den	dem	Infizierte Baldusas	Infizierten Baldusas	Infizierten Baldusas	die	
_42192454C467C2C6	caagb1	Widerlicher Baldusa	Widerlicher Baldusa	Widerliche Baldusa	Widerlichen Baldusa	einen	ein	eines	der	des	den	dem	Widerliche Baldusas	Widerlichen Baldusas	Widerlichen Baldusas	die	
_A38B63EFD41E9DC3	caagb2	Stinkender Baldusa	Stinkender Baldusa	Stinkende Baldusa	Stinkenden Baldusa	einen	ein	eines	der	des	den	dem	Stinkende Baldusas	Stinkenden Baldusas	Stinkenden Baldusas	die	
_DC668F985893186D	caagb3	Krankhafter Baldusa	Krankhafter Baldusa	Krankhafte Baldusa	Krankhaften Baldusa	einen	ein	eines	der	des	den	dem	Krankhafte Baldusas	Krankhaften Baldusas	Krankhaften Baldusas	die	
_8CEDC2988A9B5CF4	caagb4	Vergifteter Baldusa	Vergifteter Baldusa	Vergiftete Baldusa	Vergifteten Baldusa	einen	ein	eines	der	des	den	dem	Vergiftete Baldusas	Vergifteten Baldusas	Vergifteten Baldusas	die	
_8CEDC2988A9B50F5	caagc1	Gequälter Baldusa	Gequälter Baldusa	Gequälte Baldusa	Gequälten Baldusa	einen	ein	eines	der	des	den	dem	Gequälte Baldusas	Gequälten Baldusas	Gequälten Baldusas	die	
_9DF6839B5D83E86C	caagc2	Kranker Baldusa	Kranker Baldusa	Kranke Baldusa	Kranken Baldusa	einen	ein	eines	der	des	den	dem	Kranke Baldusas	Kranken Baldusas	Kranken Baldusas	die	
_74C54FD25C4FC56D	caagc3	Fauler Baldusa	Fauler Baldusa	Faule Baldusa	Faulen Baldusa	einen	ein	eines	der	des	den	dem	Faule Baldusas	Faulen Baldusas	Faulen Baldusas	die	
_B2167FD29AA0F96D	caagc4	Virulenter Baldusa	Virulenter Baldusa	Virulente Baldusa	Virulenten Baldusa	einen	ein	eines	der	des	den	dem	Virulente Baldusas	Virulenten Baldusas	Virulenten Baldusas	die	
_B2167FD29AA0ED6E	caagd1	Verletzter Baldusa	Verletzter Baldusa	Verletzte Baldusa	Verletzten Baldusa	einen	ein	eines	der	des	den	dem	Verletzte Baldusas	Verletzten Baldusas	Verletzten Baldusas	die	
_37BC9FCA45E8E1DF	caagd2	Eiternder Baldusa	Eiternder Baldusa	Eiternde Baldusa	Eiternden Baldusa	einen	ein	eines	der	des	den	dem	Eiternde Baldusas	Eiternden Baldusas	Eiternden Baldusas	die	
_E0D6F246D490E129	caagd3	Schädlicher Baldusa	Schädlicher Baldusa	Schädliche Baldusa	Schädlichen Baldusa	einen	ein	eines	der	des	den	dem	Schädliche Baldusas	Schädlichen Baldusas	Schädlichen Baldusas	die	
_B1196F19BF8C9EE4	caagd4	Gieriger Baldusa	Gieriger Baldusa	Gierige Baldusa	Gierigen Baldusa	einen	ein	eines	der	des	den	dem	Gierige Baldusas	Gierigen Baldusas	Gierigen Baldusas	die	
_B1196F19BF8C92E5	caage1	Pustelübersäter Baldusa	Pustelübersäter Baldusa	Pustelübersäte Baldusa	Pustelübersäten Baldusa	einen	ein	eines	der	des	den	dem	Pustelübersäte Baldusas	Pustelübersäten Baldusas	Pustelübersäten Baldusas	die	
_F9CB3B8674282EC2	caage2	Erschöpfter Baldusa	Erschöpfter Baldusa	Erschöpfte Baldusa	Erschöpften Baldusa	einen	ein	eines	der	des	den	dem	Erschöpfte Baldusas	Erschöpften Baldusas	Erschöpften Baldusas	die	
_1F9553A55873E463	caage3	Schäumender Baldusa	Schäumender Baldusa	Schäumende Baldusa	Schäumenden Baldusa	einen	ein	eines	der	des	den	dem	Schäumende Baldusas	Schäumenden Baldusas	Schäumenden Baldusas	die	
_62956BA21DB40874	caage4	Rebellischer Baldusa	Rebellischer Baldusa	Rebellische Baldusa	Rebellischen Baldusa	einen	ein	eines	der	des	den	dem	Rebellische Baldusas	Rebellischen Baldusas	Rebellischen Baldusas	die	
_62956BA21DB4FC75	caagf1	Wahnsinniger Baldusa	Wahnsinniger Baldusa	Wahnsinnige Baldusa	Wahnsinnigen Baldusa	einen	ein	eines	der	des	den	dem	Wahnsinnige Baldusas	Wahnsinnigen Baldusas	Wahnsinnigen Baldusas	die	
_6DFB97D686D38AA4	caagf2	Wutschnaubender Baldusa	Wutschnaubender Baldusa	Wutschnaubende Baldusa	Wutschnaubenden Baldusa	einen	ein	eines	der	des	den	dem	Wutschnaubende Baldusas	Wutschnaubenden Baldusas	Wutschnaubenden Baldusas	die	
_B24547D69ACFBD74	caagf3	Teuflischer Baldusa	Teuflischer Baldusa	Teuflische Baldusa	Teuflischen Baldusa	einen	ein	eines	der	des	den	dem	Teuflische Baldusas	Teuflischen Baldusas	Teuflischen Baldusas	die	
_CEEDD2888E5B50F3	caala1	Kleiner Baldusa	Kleiner Baldusa	Kleine Baldusa	Kleinen Baldusa	einen	ein	eines	der	des	den	dem	Kleine Baldusas	Kleinen Baldusas	Kleinen Baldusas	die	
_77778BCE1D01FD67	caala2	Primitiver Baldusa	Primitiver Baldusa	Primitive Baldusa	Primitiven Baldusa	einen	ein	eines	der	des	den	dem	Primitive Baldusas	Primitiven Baldusas	Primitiven Baldusas	die	
_CEEDCA86843B58F3	caala3	Zahmer Baldusa	Zahmer Baldusa	Zahme Baldusa	Zahmen Baldusa	einen	ein	eines	der	des	den	dem	Zahme Baldusas	Zahmen Baldusas	Zahmen Baldusas	die	
_9DD60237559F9526	caala4	Schneller Baldusa	Schneller Baldusa	Schnelle Baldusa	Schnellen Baldusa	einen	ein	eines	der	des	den	dem	Schnelle Baldusas	Schnellen Baldusas	Schnellen Baldusas	die	
_4F063E973D8C5912	caapa1	Kleiner Baldusa	Kleiner Baldusa	Kleine Baldusa	Kleinen Baldusa	einen	ein	eines	der	des	den	dem	Kleine Baldusas	Kleinen Baldusas	Kleinen Baldusas	die	
_F42CABC60CA316AE	caapa2	Primitiver Baldusa	Primitiver Baldusa	Primitive Baldusa	Primitiven Baldusa	einen	ein	eines	der	des	den	dem	Primitive Baldusas	Primitiven Baldusas	Primitiven Baldusas	die	
_A1F6264FD790B51F	caapa3	Zahmer Baldusa	Zahmer Baldusa	Zahme Baldusa	Zahmen Baldusa	einen	ein	eines	der	des	den	dem	Zahme Baldusas	Zahmen Baldusas	Zahmen Baldusas	die	
_7EFB4376F4875AC7	caapa4	Schneller Baldusa	Schneller Baldusa	Schnelle Baldusa	Schnellen Baldusa	einen	ein	eines	der	des	den	dem	Schnelle Baldusas	Schnellen Baldusas	Schnellen Baldusas	die	
_7EFB4376F4874EC8	caapb1	Schleimiger Baldusa	Schleimiger Baldusa	Schleimige Baldusa	Schleimigen Baldusa	einen	ein	eines	der	des	den	dem	Schleimige Baldusas	Schleimigen Baldusas	Schleimigen Baldusas	die	
_B4A557DE592FC978	caapb2	Gewöhnlicher Baldusa	Gewöhnlicher Baldusa	Gewöhnliche Baldusa	Gewöhnlichen Baldusa	einen	ein	eines	der	des	den	dem	Gewöhnliche Baldusas	Gewöhnlichen Baldusas	Gewöhnlichen Baldusas	die	
_E4652B9BDD93E06C	caapb3	Trübseliger Baldusa	Trübseliger Baldusa	Trübselige Baldusa	Trübseligen Baldusa	einen	ein	eines	der	des	den	dem	Trübselige Baldusas	Trübseligen Baldusas	Trübseligen Baldusas	die	
_9C97E64F552F9124	caapb4	Alpha-Baldusa	Alpha-Baldusa	Alpha-Baldusa	Alpha-Baldusa	einen	ein	eines	der	des	den	dem	Alpha-Baldusas	Alpha-Baldusas	Alpha-Baldusas	die	
_9C97E64F552F8525	caapc1	Ausgewachsener Baldusa	Ausgewachsener Baldusa	Ausgewachsene Baldusa	Ausgewachsenen Baldusa	einen	ein	eines	der	des	den	dem	Ausgewachsene Baldusas	Ausgewachsenen Baldusas	Ausgewachsenen Baldusas	die	
_60F57F9419A2E875	caapc2	Wehrhafter Baldusa	Wehrhafter Baldusa	Wehrhafte Baldusa	Wehrhaften Baldusa	einen	ein	eines	der	des	den	dem	Wehrhafte Baldusas	Wehrhaften Baldusas	Wehrhaften Baldusas	die	
_EABADA7B72874EB0	caapc3	Umherstreifender Baldusa	Umherstreifender Baldusa	Umherstreifende Baldusa	Umherstreifenden Baldusa	einen	ein	eines	der	des	den	dem	Umherstreifende Baldusas	Umherstreifenden Baldusas	Umherstreifenden Baldusas	die	
_75D677E71A60F182	caapc4	Ruhender Baldusa	Ruhender Baldusa	Ruhende Baldusa	Ruhenden Baldusa	einen	ein	eines	der	des	den	dem	Ruhende Baldusas	Ruhenden Baldusas	Ruhenden Baldusas	die	
_75D677E71A60E583	caapd1	Lauernder Baldusa	Lauernder Baldusa	Lauernde Baldusa	Lauernden Baldusa	einen	ein	eines	der	des	den	dem	Lauernde Baldusas	Lauernden Baldusas	Lauernden Baldusas	die	
_E49557A69B62E870	caapd2	Herumtreibender Baldusa	Herumtreibender Baldusa	Herumtreibende Baldusa	Herumtreibenden Baldusa	einen	ein	eines	der	des	den	dem	Herumtreibende Baldusas	Herumtreibenden Baldusas	Herumtreibenden Baldusas	die	
_B51B4BCB05637296	caapd3	Wütender Baldusa	Wütender Baldusa	Wütende Baldusa	Wütenden Baldusa	einen	ein	eines	der	des	den	dem	Wütende Baldusas	Wütenden Baldusas	Wütenden Baldusas	die	
_A4C60634958FE52A	caapd4	Wilder Baldusa	Wilder Baldusa	Wilde Baldusa	Wilden Baldusa	einen	ein	eines	der	des	den	dem	Wilde Baldusas	Wilden Baldusas	Wilden Baldusas	die	
_A4C60634958FD92B	caape1	Riesiger Baldusa	Riesiger Baldusa	Riesige Baldusa	Riesigen Baldusa	einen	ein	eines	der	des	den	dem	Riesige Baldusas	Riesigen Baldusas	Riesigen Baldusas	die	
_DE66F24AD4D08923	caape2	Heißhungriger Baldusa	Heißhungriger Baldusa	Heißhungrige Baldusa	Heißhungrigen Baldusa	einen	ein	eines	der	des	den	dem	Heißhungrige Baldusas	Heißhungrigen Baldusas	Heißhungrigen Baldusas	die	
_2DE7B3C877F266AF	caape3	Ordinärer Baldusa	Ordinärer Baldusa	Ordinäre Baldusa	Ordinären Baldusa	einen	ein	eines	der	des	den	dem	Ordinäre Baldusas	Ordinären Baldusas	Ordinären Baldusas	die	
_0979A474C269A6C7	caape4	Angriffslustiger Baldusa	Angriffslustiger Baldusa	Angriffslustige Baldusa	Angriffslustigen Baldusa	einen	ein	eines	der	des	den	dem	Angriffslustige Baldusas	Angriffslustigen Baldusas	Angriffslustigen Baldusas	die	
_0979A474C2699AC8	caapf1	Erschreckender Baldusa	Erschreckender Baldusa	Erschreckende Baldusa	Erschreckenden Baldusa	einen	ein	eines	der	des	den	dem	Erschreckende Baldusas	Erschreckenden Baldusas	Erschreckenden Baldusas	die	
_FA6C0788AE87F2D1	caapf2	Scheußlicher Baldusa	Scheußlicher Baldusa	Scheußliche Baldusa	Scheußlichen Baldusa	einen	ein	eines	der	des	den	dem	Scheußliche Baldusas	Scheußlichen Baldusas	Scheußlichen Baldusas	die	
_33C57BDCD84FF17A	caapf3	Bedrohlicher Baldusa	Bedrohlicher Baldusa	Bedrohliche Baldusa	Bedrohlichen Baldusa	einen	ein	eines	der	des	den	dem	Bedrohliche Baldusas	Bedrohlichen Baldusas	Bedrohlichen Baldusas	die	
_F2E66FE09A60DD79	cabda1	Kleiner Prakker	Kleiner Prakker	Kleine Prakker	Kleinen Prakker	einen	ein	eines	der	des	den	dem	Kleine Prakker	Kleinen Prakker	Kleinen Prakkers	die	
_1ED87EDB61811462	cabda2	Primitiver Prakker	Primitiver Prakker	Primitive Prakker	Primitiven Prakker	einen	ein	eines	der	des	den	dem	Primitive Prakker	Primitiven Prakker	Primitiven Prakkers	die	
_D4869B852482D483	cabda3	Zahmer Prakker	Zahmer Prakker	Zahme Prakker	Zahmen Prakker	einen	ein	eines	der	des	den	dem	Zahme Prakker	Zahmen Prakker	Zahmen Prakkers	die	
_5C75AE4F16B01118	cabda4	Schneller Prakker	Schneller Prakker	Schnelle Prakker	Schnellen Prakker	einen	ein	eines	der	des	den	dem	Schnelle Prakker	Schnellen Prakker	Schnellen Prakkers	die	
_5C75AE4F16B00519	cabdb1	Schleimiger Prakker	Schleimiger Prakker	Schleimige Prakker	Schleimigen Prakker	einen	ein	eines	der	des	den	dem	Schleimige Prakker	Schleimigen Prakker	Schleimigen Prakkers	die	
_57966793A372EC78	cabdb2	Gewöhnlicher Prakker	Gewöhnlicher Prakker	Gewöhnliche Prakker	Gewöhnlichen Prakker	einen	ein	eines	der	des	den	dem	Gewöhnliche Prakker	Gewöhnlichen Prakker	Gewöhnlichen Prakkers	die	
_5C35D3942164B484	cabdb3	Trübseliger Prakker	Trübseliger Prakker	Trübselige Prakker	Trübseligen Prakker	einen	ein	eines	der	des	den	dem	Trübselige Prakker	Trübseligen Prakker	Trübseligen Prakkers	die	
_D4FD0A6E7E1D0416	cabdb4	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	Alpha-Prakker	einen	ein	eines	der	des	den	dem	Alpha-Prakker	Alpha-Prakker	Alpha-Prakkers	die	
_D4FD0A6E7E1DF817	cabdc1	Ausgewachsener Prakker	Ausgewachsener Prakker	Ausgewachsene Prakker	Ausgewachsenen Prakker	einen	ein	eines	der	des	den	dem	Ausgewachsene Prakker	Ausgewachsenen Prakker	Ausgewachsenen Prakkers	die	
