*HASH_VALUE	creature ID	name	ia	da	p	pia	pda
_3367B92D749650F3	caaga1	Impure Baldusa	an	the	Impure Baldusas		the
_9F1BDB790C242588	caaga2	Blighted Baldusa	a	the	Blighted Baldusas		the
_E156C639C2DD7B0C	caaga3	Contaminated Baldusa	a	the	Contaminated Baldusas		the
_E99353EFAA20CEC5	caaga4	Infected Baldusa	an	the	Infected Baldusas		the
_E99353EFAA20C2C6	caagb1	Nauseous Baldusa	a	the	Nauseous Baldusas		the
_8944CE87B71E9D5E	caagb2	Stinking Baldusa	a	the	Stinking Baldusas		the
_DC66FA303B3D77F9	caagb3	Morbid Baldusa	a	the	Morbid Baldusas		the
_3367F13370545CF4	caagb4	Poisoned Baldusa	a	the	Poisoned Baldusas		the
_3367F133705450F5	caagc1	Plagued Baldusa	a	the	Plagued Baldusas		the
_9DF6EE33402D47F8	caagc2	Sickly Baldusa	a	the	Sickly Baldusas		the
_1B3F7E6D4208C56D	caagc3	Putrescent Baldusa	a	the	Putrescent Baldusas		the
_5990AE6D8059F96D	caagc4	Virulent Baldusa	a	the	Virulent Baldusas		the
_5990AE6D8059ED6E	caagd1	Ravaged Baldusa	a	the	Ravaged Baldusas		the
_DE36CECA4592406B	caagd2	Festering Baldusa	a	the	Festering Baldusas		the
_C68FF2467B0A10C4	caagd3	Pestiferous Baldusa	a	the	Pestiferous Baldusas		the
_B119DAB1A236FD70	caagd4	Raving Baldusa	a	the	Raving Baldusas		the
_B119DAB1A236F171	caage1	Pustulous Baldusa	a	the	Pustulous Baldusas		the
_DF843B861BA25D5D	caage2	Seeping Baldusa	a	the	Seeping Baldusas		the
_1F95BE3D3B1D43EF	caage3	Foaming Baldusa	a	the	Foaming Baldusas		the
_6295D63A005E6700	caage4	Revolting Baldusa	a	the	Revolting Baldusas		the
_6295D63A005E5B01	caagf1	Demented Baldusa	a	the	Demented Baldusas		the
_50A5F66286D3F53C	caagf2	Frenzied Baldusa	a	the	Frenzied Baldusas		the
_59BF76718088BD74	caagf3	Fiendish Baldusa	a	the	Fiendish Baldusas		the
_75670123741450F3	caala1	Little Baldusa	a	the	Little Baldusas		the
_1EF1BA6903BAFD67	caala2	Primitive Baldusa	a	the	Primitive Baldusas		the
_7567F9216AF458F3	caala3	Appeased Baldusa	an	the	Appeased Baldusas		the
_838F0237FC19C4C1	caala4	Rapid Baldusa	a	the	Rapid Baldusas		the
_32B09D233D8CC4AA	caapa1	Little Baldusa	a	the	Little Baldusas		the
_D7D60A520CA38146	caapa2	Primitive Baldusa	a	the	Primitive Baldusas		the
_87AF264F7E0AE4BA	caapa3	Appeased Baldusa	an	the	Appeased Baldusas		the
_64B443769B018962	caapa4	Rapid Baldusa	a	the	Rapid Baldusas		the
_64B443769B017D63	caapb1	Slimy Baldusa	a	the	Slimy Baldusas		the
_5B1F86793FE8C978	caapb2	Common Baldusa	a	the	Common Baldusas		the
_E4659633C03D3FF8	caapb3	Feeding Baldusa	a	the	Feeding Baldusas		the
_8250E64FFCA9C0BF	caapb4	Adult Baldusa	an	the	Adult Baldusas		the
_8250E64FFCA9B4C0	caapc1	Fully Grown Baldusa	a	the	Fully Grown Baldusas		the
_60F5EA2CFC4C4701	caapc2	Defensive Baldusa	a	the	Defensive Baldusas		the
_D073DA7B19017D4B	caapc3	Scouring Baldusa	a	the	Scouring Baldusas		the
_1C50A6820019F182	caapc4	Chilling Baldusa	a	the	Chilling Baldusas		the
_1C50A6820019E583	caapd1	Lurking Baldusa	a	the	Lurking Baldusas		the
_E495C23E7E0C47FC	caapd2	Prowling Baldusa	a	the	Prowling Baldusas		the
_98C5AA570563DD2E	caapd3	Enraged Baldusa	an	the	Enraged Baldusas		the
_8A7F06343C0914C5	caapd4	Wild Baldusa	a	the	Wild Baldusas		the
_8A7F06343C0908C6	caape1	Humongous Baldusa	a	the	Humongous Baldusas		the
_C41FF24A7B4AB8BE	caape2	Ravenous Baldusa	a	the	Ravenous Baldusas		the
_1091125477F2D147	caape3	Mean Baldusa	a	the	Mean Baldusas		the
_B0F3D30FA822A6C7	caape4	Attacking Baldusa	an	the	Attacking Baldusas		the
_B0F3D30FA8229AC8	caapf1	Terryfying Baldusa	a	the	Terryfying Baldusas		the
_E02507885501216C	caapf2	Atrocious Baldusa	an	the	Atrocious Baldusas		the
_DA3FAA77BE08F17A	caapf3	Sinister Baldusa	a	the	Sinister Baldusas		the
_99609E7B8019DD79	cabda1	Little Prakker	a	the	Little Prakkers		the
_1E82DD6708FB4362	cabda2	Primitive Prakker	a	the	Primitive Prakkers		the
_D486061D072C330F	cabda3	Appeased Prakker	an	the	Appeased Prakkers		the
_422EAE4FBD2A40B3	cabda4	Rapid Prakker	a	the	Rapid Prakkers		the
_422EAE4FBD2A34B4	cabdb1	Slimy Prakker	a	the	Slimy Prakkers		the
_5796D22B861C4B04	cabdb2	Common Prakker	a	the	Common Prakkers		the
_5C353E2C040E1310	cabdb3	Feeding Prakker	a	the	Feeding Prakkers		the
_7B77390964D60416	cabdb4	Adult Prakker	an	the	Adult Prakkers		the
_7B77390964D6F817	cabdc1	Fully Grown Prakker	a	the	Fully Grown Prakkers		the
_07BFAE673BAA6CAE	cabdc2	Defensive Prakker	a	the	Defensive Prakkers		the
_0590765F3B2A78BB	cabdc3	Scouring Prakker	a	the	Scouring Prakkers		the
_9B60B26C8219FD6C	cabdc4	Chilling Prakker	a	the	Chilling Prakkers		the
_9B60B26C8219F16D	cabdd1	Lurking Prakker	a	the	Lurking Prakkers		the
_85FEBE58BD1A5CB9	cabdd2	Prowling Prakker	a	the	Prowling Prakkers		the
_5DE55F8A9DAF393E	cabdd3	Enraged Prakker	an	the	Enraged Prakkers		the
_96B09E747D69E975	cabdd4	Wild Prakker	a	the	Wild Prakkers		the
_96B09E747D69DD76	cabde1	Humongous Prakker	a	the	Humongous Prakkers		the
_5671DA7F3D2A1D81	cabde2	Ravenous Prakker	a	the	Ravenous Prakkers		the
_5935562A838D231D	cabde3	Mean Prakker	a	the	Mean Prakkers		the
_995627A559D1155D	cabde4	Attacking Prakker	an	the	Attacking Prakkers		the
_995627A559D1095E	cabdf1	Terryfying Prakker	a	the	Terryfying Prakkers		the
_59C1827A407AC57D	cabdf2	Atrocious Prakker	an	the	Atrocious Prakkers		the
_9BB1CE71826A1574	cabdf3	Sinister Prakker	a	the	Sinister Prakkers		the
_9444D26305F4B934	cabfa1	Little Prakker	a	the	Little Prakkers		the
_F3201503B98E44B8	cabfa2	Primitive Prakker	a	the	Primitive Prakkers		the
_853FC2683CAA3CB3	cabfa3	Appeased Prakker	an	the	Appeased Prakkers		the
_FB77E1096E760415	cabfa4	Rapid Prakker	a	the	Rapid Prakkers		the
_FB77E1096E76F816	cabfb1	Slimy Prakker	a	the	Slimy Prakkers		the
_FB7739056814FC16	cabfb2	Common Prakker	a	the	Common Prakkers		the
_EECF21143B1E48B9	cabfb3	Feeding Prakker	a	the	Feeding Prakkers		the
_FB77A90B6A140416	cabfb4	Adult Prakker	an	the	Adult Prakkers		the
_FB77A90B6A14F817	cabfc1	Fully Grown Prakker	a	the	Fully Grown Prakkers		the
_87BFAE673BAA6CAE	cabfc2	Defensive Prakker	a	the	Defensive Prakkers		the
_FB77390B6A560017	cabfc3	Scouring Prakker	a	the	Scouring Prakkers		the
_DD70CE6C44290D6D	cabfd1	Lurking Prakker	a	the	Lurking Prakkers		the
_FB77E111ECD6FC18	cabfd2	Prowling Prakker	a	the	Prowling Prakkers		the
_5776DE2088AC230C	cabfd3	Enraged Prakker	an	the	Enraged Prakkers		the
_D9A1F27E405A3D7F	cabfd4	Wild Prakker	a	the	Wild Prakkers		the
_D9A1F27E405A3180	cabfe1	Humongous Prakker	a	the	Humongous Prakkers		the
_3000611AF88D44BC	cabfe2	Ravenous Prakker	a	the	Ravenous Prakkers		the
_898FDE5CBD0B78BE	cabfe3	Mean Prakker	a	the	Mean Prakkers		the
_C5A0A6693ABA40BD	cabfe4	Attacking Prakker	an	the	Attacking Prakkers		the
_C5A0A6693ABA34BE	cabff1	Terryfying Prakker	a	the	Terryfying Prakkers		the
_AD832BD31C40FCFE	cabff2	Atrocious Prakker	an	the	Atrocious Prakkers		the
_B200E110F88D48BD	cabff3	Sinister Prakker	a	the	Sinister Prakkers		the
_36E563D1A42012E7	cabja1	Little Prakker	a	the	Little Prakkers		the
_5B563389DE514D6D	cabja2	Primitive Prakker	a	the	Primitive Prakkers		the
_FC7771F766140015	cabja3	Appeased Prakker	an	the	Appeased Prakkers		the
_C32EAE4FBD2A40B3	cabja4	Rapid Prakker	a	the	Rapid Prakkers		the
