*HASH_VALUE	creature ID	name	ia	da	p	pia	pda
_3367B92D749650F3	caaga1	Baldusa Impura	una	la	Baldusas Impuras		las
_9F1BDB790C242588	caaga2	Baldusa Arruinada	una	la	Baldusas Arruinadas		las
_E156C639C2DD7B0C	caaga3	Baldusa Contaminada	una	la	Baldusas Contaminadas		las
_E99353EFAA20CEC5	caaga4	Baldusa Infectada	una	la	Baldusas Infectadas		las
_E99353EFAA20C2C6	caagb1	Baldusa Nauseabunda	una	la	Baldusas Nauseabundas		las
_8944CE87B71E9D5E	caagb2	Baldusa Maloliente	una	la	Baldusas Malolientes		las
_DC66FA303B3D77F9	caagb3	Baldusa Mórbida	una	la	Baldusas Mórbidas		las
_3367F13370545CF4	caagb4	Baldusa Envenenada	una	la	Baldusas Envenenadas		las
_3367F133705450F5	caagc1	Baldusa Plagada	una	la	Baldusas Plagadas		las
_9DF6EE33402D47F8	caagc2	Baldusa Enferma	una	la	Baldusas Enfermas		las
_1B3F7E6D4208C56D	caagc3	Baldusa Putrefacta	una	la	Baldusas Putrefactas		las
_5990AE6D8059F96D	caagc4	Baldusa Virulenta	una	la	Baldusas Virulentas		las
_5990AE6D8059ED6E	caagd1	Baldusa Devastada	una	la	Baldusas Devastadas		las
_DE36CECA4592406B	caagd2	Baldusa Ulcerada	una	la	Baldusas Ulceradas		las
_C68FF2467B0A10C4	caagd3	Baldusas Pestíferas	una	la	Baldusas Pestíferas		las
_B119DAB1A236FD70	caagd4	Baldusa Delirante	una	la	Baldusas Delirantes		las
_B119DAB1A236F171	caage1	Baldusa Pustulosa	una	la	Baldusas Pustulosas		las
_DF843B861BA25D5D	caage2	Baldusa Filtrante	una	la	Baldusas Filtrantes		las
_1F95BE3D3B1D43EF	caage3	Baldusa Espumosa	una	la	Baldusas Espumosas		las
_6295D63A005E6700	caage4	Baldusa Repugnante	una	la	Baldusas Repugnantes		las
_6295D63A005E5B01	caagf1	Baldusa Demente	una	la	Baldusas Dementes		las
_50A5F66286D3F53C	caagf2	Baldusa Frenética	una	la	Baldusas Frenéticas		las
_59BF76718088BD74	caagf3	Baldusa Diabólica	una	la	Baldusas Diabólicas		las
_75670123741450F3	caala1	Baldusa Pequeña	una	la	Baldusas Pequeñas		las
_1EF1BA6903BAFD67	caala2	Baldusa Primitiva	una	la	Baldusas Primitivas		las
_7567F9216AF458F3	caala3	Baldusa Apaciguada	una	la	Baldusas Apaciguadas		las
_838F0237FC19C4C1	caala4	Baldusa Rápida	una	la	Baldusas Rápidas		las
_32B09D233D8CC4AA	caapa1	Baldusa Pequeña	una	la	Baldusas Pequeñas		las
_D7D60A520CA38146	caapa2	Baldusa Primitiva	una	la	Baldusas Primitivas		las
_87AF264F7E0AE4BA	caapa3	Baldusa Apaciguada	una	la	Baldusas Apaciguadas		las
_64B443769B018962	caapa4	Baldusa Rápida	una	la	Baldusas Rápidas		las
_64B443769B017D63	caapb1	Baldusa limosa	una	la	Balbusas Limosas		las
_5B1F86793FE8C978	caapb2	Baldusa Común	una	la	Baldusas Comunes		las
_E4659633C03D3FF8	caapb3	Baldusas para Alimento	una	la	Baldusas para Alimento		las
_8250E64FFCA9C0BF	caapb4	Baldusa Adulta	una	la	Baldusas Adultas		las
_8250E64FFCA9B4C0	caapc1	Baldusas plenamente desarrolladas	una	la	Baldusas plenamente desarrolladas		las
_60F5EA2CFC4C4701	caapc2	Baldusa Defensiva	una	la	Baldusas Defensivas		las
_D073DA7B19017D4B	caapc3	Baldusa Arruinada	una	la	Baldusas Arruinadas		las
_1C50A6820019F182	caapc4	Baldusa Fría	una	la	Baldusas Frías		las
_1C50A6820019E583	caapd1	Baldusas al Acecho	una	la	Baldusas al Acecho		las
_E495C23E7E0C47FC	caapd2	Baldusa Merodeando	una	la	Baldusas Merodeando		las
_98C5AA570563DD2E	caapd3	Baldusa Enfurecida	una	la	Baldusas Enfurecidas		las
_8A7F06343C0914C5	caapd4	Baldusa Salvaje	una	la	Baldusas Salvajes		las
_8A7F06343C0908C6	caape1	Baldusa Gigantesca	una	la	Baldusas Gigantescas		las
_C41FF24A7B4AB8BE	caape2	Baldusa Voraz	una	la	Baldusas Voraces		las
_1091125477F2D147	caape3	Baldusa Mala	una	la	Baldusas Malas		las
_B0F3D30FA822A6C7	caape4	Baldusa al Ataque	una	la	Baldusas al Ataque		las
