*HASH_VALUE	creature ID	name	ia	da	p	pia	pda	cc	pr
_3367B92D749650F3	caaga1	Baldusa impur	un	le	Baldusas impurs	des	les	du	au
_9F1BDB790C242588	caaga2	Baldusa pourri	un	le	Baldusas pourris	des	les	du	au
_E156C639C2DD7B0C	caaga3	Baldusa contaminé	un	le	Baldusas contaminés	des	les	du	au
_E99353EFAA20CEC5	caaga4	Baldusa infecté	un	le	Baldusas infectés	des	les	du	au
_E99353EFAA20C2C6	caagb1	Baldusa écœurant	un	le	Baldusas écœurants	des	les	du	au
_8944CE87B71E9D5E	caagb2	Baldusa puant	un	le	Baldusas puants	des	les	du	au
_DC66FA303B3D77F9	caagb3	Baldusa morbide	un	le	Baldusas morbides	des	les	du	au
_3367F13370545CF4	caagb4	Baldusa empoisonné	un	le	Baldusas empoisonnés	des	les	du	au
_3367F133705450F5	caagc1	Baldusa souffrant	un	le	Baldusas souffrants	des	les	du	au
_9DF6EE33402D47F8	caagc2	Baldusa fiévreux	un	le	Baldusas fiévreux	des	les	du	au
_1B3F7E6D4208C56D	caagc3	Baldusa putréfié	un	le	Baldusas putréfiés	des	les	du	au
_5990AE6D8059F96D	caagc4	Baldusa venimeux	un	le	Baldusas venimeux	des	les	du	au
_5990AE6D8059ED6E	caagd1	Baldusa ravagé	un	le	Baldusas ravagés	des	les	du	au
_DE36CECA4592406B	caagd2	Baldusa poisseux	un	le	Baldusas poisseux	des	les	du	au
_C68FF2467B0A10C4	caagd3	Baldusa pestilentiel	un	le	Baldusas pestilentiels	des	les	du	au
_B119DAB1A236FD70	caagd4	Baldusa délirant	un	le	Baldusas délirants	des	les	du	au
_B119DAB1A236F171	caage1	Baldusa pustuleux	un	le	Baldusas pustuleux	des	les	du	au
_DF843B861BA25D5D	caage2	Baldusa suintant	un	le	Baldusas suintants	des	les	du	au
_1F95BE3D3B1D43EF	caage3	Baldusa écumant	un	le	Baldusas écumants	des	les	du	au
_6295D63A005E6700	caage4	Baldusa répugnant	un	le	Baldusas répugnants	des	les	du	au
_6295D63A005E5B01	caagf1	Baldusa dément	un	le	Baldusas déments	des	les	du	au
_50A5F66286D3F53C	caagf2	Baldusa frénétique	un	le	Baldusas frénétiques	des	les	du	au
_59BF76718088BD74	caagf3	Baldusa démoniaque	un	le	Baldusas démoniaques	des	les	du	au
