*HASH_VALUE	creature ID	name	p	creagen	screagen
_3367B92D749650F3	caaga1	Мерзкая бальдуза	Мерзкие бальдузы	Мерзких бальдуз	Мерзкую бальдузу
_9F1BDB790C242588	caaga2	Больная бальдуза	Больные бальдузы	Больных бальдуз	Больную бальдузу
_E156C639C2DD7B0C	caaga3	Прокаженная бальдуза	Прокаженные бальдузы	Прокаженных бальдуз	Прокаженную бальдузу
_E99353EFAA20CEC5	caaga4	Зараженная бальдуза	Зараженные бальдузы	Зараженных бальдуз	Зараженную бальдузу
_E99353EFAA20C2C6	caagb1	Тошнотворная бальдуза	Тошнотворные бальдузы	Тошнотворных бальдуз	Тошнотворную бальдузу
_8944CE87B71E9D5E	caagb2	Смердящая бальдуза	Смердящие бальдузы	Смердящих бальдуз	Смердящую бальдузу
_DC66FA303B3D77F9	caagb3	Болезненная бальдуза	Болезненные бальдузы	Болезненных бальдуз	Болезненную бальдузу
_3367F13370545CF4	caagb4	Отравленная бальдуза	Отравленные бальдузы	Отравленных бальдуз	Отравленную бальдузу
_3367F133705450F5	caagc1	Чумная бальдуза	Чумные бальдузы	Чумных бальдуз	Чумную бальдузу
_9DF6EE33402D47F8	caagc2	Хилая бальдуза	Хилые бальдузы	Хилых бальдуз	Хилую бальдузу
_1B3F7E6D4208C56D	caagc3	Гниющая бальдуза	Гниющие бальдузы	Гниющих бальдуз	Гниющую бальдузу
_5990AE6D8059F96D	caagc4	Губительная бальдуза	Губительные бальдузы	Губительных бальдуз	Губительную бальдузу
_5990AE6D8059ED6E	caagd1	Порченая бальдуза	Порченые бальдузы	Порченых бальдуз	Порченую бальдузу
_DE36CECA4592406B	caagd2	Гнойная бальдуза	Гнойные бальдузы	Гнойных бальдуз	Гнойную бальдузу
_C68FF2467B0A10C4	caagd3	Пагубная бальдуза	Пагубные бальдузы	Пагубных бальдуз	Пагубную бальдузу
_B119DAB1A236FD70	caagd4	Бесноватая бальдуза	Бесноватые бальдузы	Бесноватых бальдуз	Бесноватую бальдузу
_B119DAB1A236F171	caage1	Прыщавая бальдуза	Прыщавые бальдузы	Прыщавых бальдуз	Прыщавую бальдузу
_DF843B861BA25D5D	caage2	Облезающая бальдуза	Облезающие бальдузы	Облезающих бальдуз	Облезающую бальдузу
_1F95BE3D3B1D43EF	caage3	Бешеная бальдуза	Бешеные бальдузы	Бешеных бальдуз	Бешеную бальдузу
_6295D63A005E6700	caage4	Отвратительная бальдуза	Отвратительные бальдузы	Отвратительных бальдуз	Отвратительную бальдузу
_6295D63A005E5B01	caagf1	Безумная бальдуза	Безумные бальдузы	Безумных бальдуз	Безумную бальдузу
_50A5F66286D3F53C	caagf2	Озверевшая бальдуза	Озверевшие бальдузы	Озверевших бальдуз	Озверевшую бальдузу
_59BF76718088BD74	caagf3	Демоническая бальдуза	Демонические бальдузы	Демонических бальдуз	Демоническую бальдузу
_75670123741450F3	caala1	Мелкая бальдуза	Мелкие бальдузы	Мелких бальдуз	Мелкую бальдузу
_1EF1BA6903BAFD67	caala2	Примитивная бальдуза	Примитивные бальдузы	Примитивных бальдуз	Примитивную бальдузу
