*HASH_VALUE	creature ID	name	ia	da	p	pia	pda
_3367B92D749650F3	caaga1	Pure Baldusa	a	the	Pure Baldusas		the
_9F1BDB790C242588	caaga2	Unpolluted Baldusa	an	the	Unpolluted Baldusas		the
_E156C639C2DD7B0C	caaga3	Corrupt Baldusa	a	the	Corrupt Baldusas		the
_E99353EFAA20CEC5	caaga4	Contaminated Baldusa	a	the	Contaminated Baldusas		the
_E99353EFAA20C2C6	caagb1	Contaminated Baldusa	a	the	Contaminated Baldusas		the
_8944CE87B71E9D5E	caagb2	Infected Baldusa	an	the	Infected Baldusas		the
_DC66FA303B3D77F9	caagb3	Tainted Baldusa	a	the	Tainted Baldusas		the
_3367F13370545CF4	caagb4	Foul Baldusa	a	the	Foul Baldusas		the
_3367F133705450F5	caagc1	Foul Baldusa	a	the	Foul Baldusas		the
_9DF6EE33402D47F8	caagc2	Sullied Baldusa	a	the	Sullied Baldusas		the
_1B3F7E6D4208C56D	caagc3	Blighted Baldusa	a	the	Blighted Baldusas		the
_5990AE6D8059F96D	caagc4	Poisoned Baldusa	a	the	Poisoned Baldusas		the
_5990AE6D8059ED6E	caagd1	Poisoned Baldusa	a	the	Poisoned Baldusas		the
_DE36CECA4592406B	caagd2	Obnoxious Baldusa	an	the	Obnoxious Baldusas		the
_C68FF2467B0A10C4	caagd3	Sickly Baldusa	a	the	Sickly Baldusas		the
_B119DAB1A236FD70	caagd4	Pestiferous Baldusa	a	the	Pestiferous Baldusas		the
_B119DAB1A236F171	caage1	Pestiferous Baldusa	a	the	Pestiferous Baldusas		the
_DF843B861BA25D5D	caage2	Putrescent Baldusa	a	the	Putrescent Baldusas		the
_1F95BE3D3B1D43EF	caage3	Ravaged Baldusa	a	the	Ravaged Baldusas		the
_6295D63A005E6700	caage4	Viscous Baldusa	a	the	Viscous Baldusas		the
_6295D63A005E5B01	caagf1	Viscous Baldusa	a	the	Viscous Baldusas		the
_50A5F66286D3F53C	caagf2	Festering Baldusa	a	the	Festering Baldusas		the
_59BF76718088BD74	caagf3	Demented Baldusa	a	the	Demented Baldusas		the
_75670123741450F3	caala1	Dumn Baldusa	a	the	Dumn Baldusas		the
_1EF1BA6903BAFD67	caala2	Tranquil Baldusa	a	the	Tranquil Baldusas		the
_7567F9216AF458F3	caala3	Calm Baldusa	a	the	Calm Baldusas		the
_838F0237FC19C4C1	caala4	Docile Baldusa	a	the	Docile Baldusas		the
_32B09D233D8CC4AA	caapa1	Murky Baldusa	a	the	Murky Baldusas		the
_D7D60A520CA38146	caapa2	Nocturnal Baldusa	a	the	Nocturnal Baldusas		the
_87AF264F7E0AE4BA	caapa3	Sullen Baldusa	a	the	Sullen Baldusas		the
_64B443769B018962	caapa4	Lugubrious Baldusa	a	the	Lugubrious Baldusas		the
_64B443769B017D63	caapb1	Lugubrious Baldusa	a	the	Lugubrious Baldusas		the
_5B1F86793FE8C978	caapb2	Dreadful Baldusa	a	the	Dreadful Baldusas		the
_E4659633C03D3FF8	caapb3	Doleful Baldusa	a	the	Doleful Baldusas		the
_8250E64FFCA9C0BF	caapb4	Morbid Baldusa	a	the	Morbid Baldusas		the
_8250E64FFCA9B4C0	caapc1	Morbid Baldusa	a	the	Morbid Baldusas		the
_60F5EA2CFC4C4701	caapc2	Leering Baldusa	a	the	Leering Baldusas		the
_D073DA7B19017D4B	caapc3	Prime Root Baldusa	a	the	Prime Root Baldusas		the
_1C50A6820019F182	caapc4	Grunting Baldusa	a	the	Grunting Baldusas		the
_1C50A6820019E583	caapd1	Grunting Baldusa	a	the	Grunting Baldusas		the
_E495C23E7E0C47FC	caapd2	Howling Baldusa	a	the	Howling Baldusas		the
_98C5AA570563DD2E	caapd3	Malignant Baldusa	a	the	Malignant Baldusas		the
_8A7F06343C0914C5	caapd4	Clammy Baldusa	a	the	Clammy Baldusas		the
_8A7F06343C0908C6	caape1	Clammy Baldusa	a	the	Clammy Baldusas		the
_C41FF24A7B4AB8BE	caape2	Wicked Baldusa	a	the	Wicked Baldusas		the
_1091125477F2D147	caape3	Dark-eyed Baldusa	a	the	Dark-eyed Baldusas		the
_B0F3D30FA822A6C7	caape4	Bloodthirsty Baldusa	a	the	Bloodthirsty Baldusas		the
_B0F3D30FA8229AC8	caapf1	Bloodthirsty Baldusa	a	the	Bloodthirsty Baldusas		the
