*HASH_VALUE	faction	name	da	ia	member	mda	mia
_A0EC3CB6728A80B6	fyros	Fyros	el	un	Fyros	los	unos
_E10CC4B36E98C09E	matis	Matis	el	un	Matis	los	unos
_2DCA2CC01F48D0B6	tryker	Tryker	el	un	Tryker	los	unos
_224BC0AE0EA920A2	zorai	Zoraï	el	un	Zoraïs	los	unos
_A7882077E757D4B4	bandit	Bandido	el	un	Bandidos	los	unos
_AC0AD4AB2947CC7C	civil	Civil	el	un	Civiles	los	unos
_6388290BE32850A7	black_kami	Merodeador	la	un	Merodeador	la	unos
_2BF98095A426C07F	degen	Degenerado	el	un	Degenerados	los	unos
_2A9A98AAE9E7B874	fauna	Fauna	la	una	Fauna	la	una
_A8F93F8ED3E7C6CD	fauna_carnivore	Carnívoro	el	un	Carnívoros	los	unos
_A9890F92163796CD	fauna_herbivore	Herbívoro	el	un	Herbívoros	los	unos
_2B7ABCB32B36E474	flora	Flora	la	una	Flora	la	una
_58767495AA0A0894	goo	Goo	el	un	Goo	el	un
_64584C9E66D83075	kami	Kami	el	un	Kami	los	unos
_2059C0A2A31898AB	karavan	Karavan	la	un	Karavan	la	unos
_2C0AD4B1ABA7EC86	kitin	Kitin	el	unos	Kitins	los 	unos
_A85CA3F578D722AB	tribe_ancient_dryads	Dríadas Antiguos	los	unos	Dríadas Antiguos	los	unos
_7C0E65967AB061E7	tribe_antikamis	Antikamis	los	unos	Antikamis	los	unos
_EA5025FB69C9F0B1	tribe_barkers	Descortezadores	los	unos	Descortezadores	los	unos
_D4B097EF96E6E67A	tribe_beachcombers	Raqueros	los	unos	Raqueros	los	unos
_55E23F9137476662	tribe_black_circle	Círculo Negro	los	unos	Circulo Negro	los	unos
_2335A26F01B5D68B	tribe_cholorogoos	Clorogoos	los	unos	Clorogoos	los	unos
_1E767658BC34C67F	tribe_cockroaches	Cucarachas	los	unos	Cucarachas	los	unos
_E8A578485AA340D4	tribe_company_of_the_eternal_tree	Compañía del Árbol Eterno	la	unos	Compañía del Árbol Eterno	la	unos
_83BEF92D6C48E01E	tribe_corsair	Corsarios	los	unos	Corsarios	los	unos
_6769CCCA2D0A5CA7	tribe_cute	Cuzans	los	unos	Cuzans	los	unos
_694BCB10D6E4515B	tribe_darkening_sap	Oscurecedores de Savia 	los	unos	Oscurecedores de Savia	los	unos
_2126A262C4C30D2F	tribe_dune_riders	Jinetes de las Dunas	los	unos	Jinetes de las Dunas	los	unos
_E536CE73C206A68B	tribe_ecowarriors	Ecoguerreros	los	unos	Ecoguerreros	los	unos
_9BA60676076C3DEE	tribe_firebrands	Instigadores	los	unos	Instigadores	los	unos
_225B4E15B7DC079F	tribe_first_deserter	Primeros Desertores	los	unos	Primeros Desertores	los	unos
_C23F69132AF97CA3	tribe_frahar	Fraiders	los	unos	Fraiders	los	unos
