*HASH_VALUE	item ID	name	named	nameda	p	pd	pia	pda	ia	da	description
_108D5B88207F7D6F	barman_bottle	Barmannsflasche	Barmannsflasche	Barmannsflasche	Barmannsflaschen	Barmannsflaschen	eine	die	eine	die	
_719D75E0E9FAF0F4	big_barrel	großes Fass	große Fass	große Fass	große Fässer	großen Fässer	ein	die	ein	das	
_AAF8ADB6F06BA817	big_living_sculpture	große lebende Skulptur	große lebende Skulptur	große lebende Skulptur	große lebende Skulpturen	großen lebenden Skulpturen	eine	die	eine	die	
_C53473989DD38D80	black_medicine	schwarze Medizin	schwarze Medizin	schwarze Medizin	schwarze Medizinen	schwarzen Medizinen	eine	die	eine	die	
_095D69DC159A2000	blood_vial	Blut-Flakon	Blut-Flakon	Blut-Flakon	Blut-Flakons	Blut-Flakons	ein	die	ein	das	
_A131A17CC3622A69	blue_medicine	blaue Medizin	blaue Medizin	blaue Medizin	blaue Medizinen	blauen Medizinen	eine	die	eine	die	
_387D063C9F8B2F9A	botanist_letter	Botaniker-Brief	Botaniker-Brief	Botaniker-Brief	Botaniker-Briefe	Botaniker-Briefe	einen	die	ein	der	
_9C281F7594E74586	botanist_vial	Botaniker-Flakon	Botaniker-Flakon	Botaniker-Flakon	Botaniker-Flakons	Botaniker-Flakons	ein	die	ein	das	
_6E7AE080AAA7CCAD	bottle	Flasche	Flasche	Flasche	Flaschen	Flaschen	eine	die	eine	die	
_29FA4C81EB47209E	casket	Schatulle	Schatulle	Schatulle	Schatullen	Schatullen	eine	die	eine	die	
_BBECE763FBDA4FB3	crystalized_spell	kristallisierter Zauber	kristallisierte Zauber	kristallisierten Zauber	kristallisierte Zauber	kristallisierten Zauber	einen	die	ein	der	
_5C103DC5358D1E61	cure_expert_letter	Heilerbrief	Heilerbrief	Heilerbrief	Heilerbriefe	Heilerbriefe	einen	die	ein	der	
_265C0F99DC8713C2	fv_arrowhead	seltsame Pfeilspitze	seltsame Pfeilspitze	seltsame Pfeilspitze	seltsame Pfeilspitzen	seltsamen Pfeilspitzen	eine	die	eine	die	
_C4ED4DE60E405F1D	fv_seal1	Bergarbeiter-Siegel	Bergarbeiter-Siegel	Bergarbeiter-Siegel	Bergarbeiter-Siegel	Bergarbeiter-Siegel	ein	die	ein	das	
_E86A8EB0119EB7CA	fy_cheveux_long01	langer Fyros-Haarschnitt	lange Fyros-Haarschnitt	langen Fyros-Haarschnitt	lange Fyros-Haarschnitte	langen Fyros-Haarschnitte	einen	die	ein	der	
_08ED1BECA63BB6A3	fy_cheveux_medium01	mittellanger Fyros-Haarschnitt	mittellange Fyros-Haarschnitt	mittellangen Fyros-Haarschnitt	mittellange Fyros-Haarschnitte	mittellangen Fyros-Haarschnitte	einen	die	ein	der	
_EB1DCF4259795BA3	fy_cheveux_shave01	rasierter Fyros-Haarschnitt	rasierte Fyros-Haarschnitt	rasierten Fyros-Haarschnitt	rasierte Fyros-Haarschnitte	rasierten Fyros-Haarschnitte	einen	die	ein	der	
_2B173132EAEC8EFA	fy_cheveux_short01	kurzer Fyros-Haarschnitt	kurze Fyros-Haarschnitt	kurzen Fyros-Haarschnitt	kurze Fyros-Haarschnitte	kurzen Fyros-Haarschnitte	einen	die	ein	der	
_877F6110A184F0D1	fy_visage	Fyros-Maske	Fyros-Maske	Fyros-Maske	Fyros-Masken	Fyros-Masken	eine	die	eine	die	
_0DA85C68D7243322	goo_swarmplants_fiber	Goo-Shooki-Faser	Goo-Shooki-Faser	Goo-Shooki-Faser	Goo-Shooki-Fasern	Goo-Shooki-Fasern	eine	die	eine	die	
_50837C60DDD54337	goo_swarmplants_fruit	Stück einer Goo-Shooki-Frucht	Stück einer Goo-Shooki-Frucht	Stück einer Goo-Shooki-Frucht	Stücke einer Goo-Shooki-Frucht	Stückchen einer Goo-Shooki-Frucht	eine	die	eine	die	
_07E1F360B1AB936E	goo_vampignon_fungus	Goo-Vampignon-Fungus	Goo-Vampignon-Fungus	Goo-Vampignon-Fungus	Goo-Vampignon-Fungi	Goo-Vampignon-Fungi	ein	die	der	ein	
_AF317BF35957C6A6	goo_varinx_blood	Fläschchen Goo-Varinx-Blut	Fläschchen Goo-Varinx-Blut	Fläschchen-Goo-Varinx-Blut	Fläschchen Goo-Varinx-Blut	Fläschchen Goo-Varinx-Blut	ein	die	ein	das	
_511564B194595F6C	goo_yber_sticky_glands	Goo-Yber-Klebdrüse	Goo-Yber-Klebdrüse	Goo-Yber-Klebdrüse	Goo-Yber-Klebdrüsen	Goo-Yber-Klebdrüsen	eine	die	ein	die	
_E7BEF850FC164ED3	green_liquid_vial	Nexuskristall	Nexuskristall	Nexuskristall	Nexuskristalle	Nexuskristalle	einen	die	ein	der	
_C7E4ABA61E238D86	green_medicine	grüne Medizin	grüne Medizin	grüne Medizin	grüne Medizinen	grünen Medizinen	eine	die	eine	die	
_C035657CDDA5C56C	guard_scroll	Wächterbrief	Wächterbrief	Wächterbrief	Wächterbriefe	Wächterbriefe	einen	die	ein	der	
_90CA0A490DD942DA	heavy_armors_acreditation	schwere-Rüstungs-Akkreditierung	schwere-Rüstungs Akkreditierung	schwere Rüstungs Akkreditierung	schwere-Rüstungs-Akkreditierungen	schwere-Rüstungs-Akkreditierungen	eine	die	eine	die	
_7BFC96297B81110A	heavy_conch	schwere Muschelschale	schwere Muschelschale	schwere Muschelschale	schwere Muschelschalen	schweren Muschelschalen	eine	die	eine	die	
_9331326A3B23E68B	heavy_package	schweres Paket	schwere Paket	schwere Paket	schwere Pakete	schweren Pakete	ein	die	ein	das	
_DBB8348E5856807B	iccm1bm	Einhand-Streitkolben	Einhand-Streitkolben	Einhand-Streitkolben	Einhand-Streitkolben	Einhand-Streitkolben	einen	die	ein	der	Einhand-Streitkolben in Basis-Qualität
_65E88895232AEB65	iccm1bs	Einhand-Stab	Einhand-Stab	Einhand-Stab	Einhand-Stäbe	Einhand-Stäbe	einen	die	ein	der	Einhand-Stäbe in Basis-Qualität
_E718DCA3538A686D	iccm1pd	Einhand-Dolch	Einhand-Dolch	Einhand-Dolch	Einhand-Dolche	Einhand-Dolche	einen	die	ein	der	Einhand-Dolche in Basis-Qualität
_6488707B620B2364	iccm1ps	Einhand-Lanze	Einhand-Lanze	Einhand-Lanze	Einhand-Lanzen	Einhand-Lanzen	eine	die	eine	die	Einhand-Lanzen in Basis-Qualität
_EACAB3B39EB6E83F	iccm1sa	Einhand-Axt	Einhand-Axt	Einhand-Axt	Einhand-Äxte	Einhand-Äxte	eine	die	eine	die	Einhand-Äxte in Basis-Qualität
_E889CC98233B2F63	iccm1ss	Einhand-Schwert	Einhand-Schwert	Einhand-Schwert	Einhand-Schwerter	Einhand-Schwerter	ein	die	ein	das	Einhand-Schwerter in Basis-Qualität
_94484CBE5F399830	iccm2bm	Zweihand-Streitkolben	Zweihand-Streitkolben	Zweihand-Streitkolben	Zweihand-Streitkolben	Zweihand-Streitkolben	einen	die	ein	der	Zweihand-Streitkolben in Basis-Qualität
_1BB8749EDCB8C48A	iccm2pp	Zweihand-Pike	Zweihand-Pike	Zweihand-Pike	Zweihand-Piken	Zweihand-Piken	eine	die	eine	die	Einhand-Piken in Basis-Qualität
_5258C88DCD380856	iccm2sa	Zweihand-Axt	Zweihand-Axt	Zweihand-Axt	Zweihand-Äxte	Zweihand-Äxte	eine	die	eine	die	Zweihand-Äxte in Basis-Qualität
_5A7EEC172669A459	iccm2ss	Zweihand-Schwert	Zweihand-Schwert	Zweihand-Schwert	Zweihand-Schwerter	Zweihand-Schwerter	ein	die	ein	das	Zweihand-Schwerter in Basis-Qualität
_436DBB1E358B5F58	iccp1bb	Zertrümmernde Bogenpistolen-Munition	Zertrümmernde Bogenpistolen-Munition	Zertrümmernde Bogenpistolen-Munition	Zertrümmernde Bogenpistolen-Munition	Zertrümmernde Bogenpistolen-Munition	eine	die	eine	die	Bogenpistolen-Munition in Basis-Qualität
_3F3DF30D366B0F6A	iccp1bp	Durchbohrende Bogenpistolen-Munition	Durchbohrende Bogenpistolen-Munition	Durchbohrende Bogenpistolen-Munition	Durchbohrende Bogenpistolen-Munition	Durchbohrende Bogenpistolen-Munition	eine	die	eine	die	Bogenpistolen-Munition n Basis-Qualität
_3E6DFF12765B2F6E	iccp1bs	Zerschneidende Bogenpistolen-Munition	Zerschneidende Bogenpistolen-Munition	Zerschneidende Bogenpistolen-Munition	Zerschneidende Bogenpistolen-Munition	Zerschneidende Bogenpistolen-Munition	eine	die	eine	die	Bogenpistolen-Munition in Basis-Qualität
_FD5B2B31FCE6C3A3	iccp1gb	Zertrümmernde Granate	Zertrümmernde Granate	Zertrümmernde Granate	Zertrümmernde Granaten	Zertrümmernden Granaten	eine	die	eine	die	Granate in Basis-Qualität
_B99BDF3C80C7C392	iccp1gp	Durchbohrende Granate	Durchbohrende Granate	Durchbohrende Granate	Durchbohrende Granaten	Durchbohrenden Granaten	eine	die	eine	die	Granate in Basis-Qualität
_3B6BDB4240F7C397	iccp1gs	Zerschneidende Granate	Zerschneidende Granate	Zerschneidende Granate	chneidende Granaten	Zerschneidenden Granaten	eine	die	eine	die	Granate in Basis-Qualität
_FB3E03FFFEC831C1	iccp1pb	Zertrümmernde Pistolen-Munition	Zertrümmernde Pistolen-Munition	Zertrümmernde Pistolen-Munition	Zertrümmernde Pistolen-Munition	Zertrümmernde Pistolen-Munition	eine	die	eine	die	Pistolen-Munition in Basis-Qualität
_FB1C23DF7C6B31C1	iccp1pp	Durchbohrende Pistolen-Munition	Durchbohrende Pistolen-Munition	Durchbohrende Pistolen-Munition	Durchbohrende Pistolen-Munition	Durchbohrende Pistolen-Munition	eine	die	eine	die	Pistolen-Munition in Basis-Qualität
_FBBC2BD7FEFB31C1	iccp1ps	Zerschneidende Pistolen-Munition	Zerschneidende Pistolen-Munition	Zerschneidende Pistolen-Munition	Zerschneidende Pistolen-Munition	Zerschneidende Pistolen-Munition	eine	die	eine	die	Pistolen-Munition in Basis-Qualität
_FABC80E00B5310AA	iccp2ab	Zertrümmernde Automatikgewehr-Munition	Zertrümmernde Automatikgewehr-Munition	Zertrümmernde Automatikgewehr-Munition	Zertrümmernde Automatikgewehr-Munition	Zertrümmernde Automatikgewehr-Munition	eine	die	eine	die	Automatikgewehr-Munition in Basis-Qualität
_399D80CF0C2214A8	iccp2ap	Durchbohrende Automatikgewehr-Munition	Durchbohrende Automatikgewehr-Munition	Durchbohrende Automatikgewehr-Munition	Durchbohrende Automatikgewehr-Munition	Durchbohrende Automatikgewehr-Munition	eine	die	eine	die	Automatikgewehr-Munition in Basis-Qualität
_FACD80D44C6224A7	iccp2as	Zerschneidende Automatikgewehr-Munition	Zerschneidende Automatikgewehr-Munition	Zerschneidende Automatikgewehr-Munition	Zerschneidende Automatikgewehr-Munition	Zerschneidende Automatikgewehr-Munition	eine	die	eine	die	Automatikgewehr-Munition in Basis-Qualität
_B4A6DBDA1D4C77CF	iccp2bb	Zertrümmernde Bogengewehr-Munition	Zertrümmernde Bogengewehr-Munition	Zertrümmernde Bogengewehr-Munition	Zertrümmernde Bogengewehr-Munition	Zertrümmernde Bogengewehr-Munition	eine	die	eine	die	Bogengewehr-Munition in Basis-Qualität
_F486CFE81D1C87AE	iccp2bp	Durchbohrende Bogengewehr-Munition	Durchbohrende Bogengewehr-Munition	Durchbohrende Bogengewehr-Munition	Durchbohrende Bogengewehr-Munition	Durchbohrende Bogengewehr-Munition	eine	die	eine	die	Bogengewehr-Munition in Basis-Qualität
_F576DBEB1D9C8BAF	iccp2bs	Zerschneidende Bogengewehr-Munition	Zerschneidende Bogengewehr-Munition	Zerschneidende Bogengewehr-Munition	Zerschneidende Bogengewehr-Munition	Zerschneidende Bogengewehr-Munition	eine	die	eine	die	Bogengewehr-Munition in Basis-Qualität
_B285FBD9DE3D6BCD	iccp2lb	Zertrümmernde Granatenwerfer-Munition	Zertrümmernde Granatenwerfer-Munition	Zertrümmernde Granatenwerfer-Munition	Zertrümmernde Granatenwerfer-Munition	Zertrümmernde Granatenwerfer-Munition	eine	die	eine	die	Granatenwerfer-Munition in Basis-Qualität
_F265EFE7DE0D7BAC	iccp2lp	Durchbohrende Granatenwerfer-Munition	Durchbohrende Granatenwerfer-Munition	Durchbohrende Granatenwerfer-Munition	Durchbohrende Granatenwerfer-Munition	Durchbohrende Granatenwerfer-Munition	eine	die	eine	die	Granatenwerfer-Munition in Basis-Qualität
_F355FBEADE8D7FAD	iccp2ls	Zerschneidende Granatenwerfer-Munition	Zerschneidende Granatenwerfer-Munition	Zerschneidende Granatenwerfer-Munition	Zerschneidende Granatenwerfer-Munition	Zerschneidende Granatenwerfer-Munition	eine	die	eine	die	Granatenwerfer-Munition in Basis-Qualität
_676ADBF69C529D83	iccp2rb	Zertrümmernde Gewehr-Munition	Zertrümmernde Gewehr-Munition	Zertrümmernde Gewehr-Munition	Zertrümmernde Gewehr-Munition	Zertrümmernde Gewehr-Munition	eine	die	eine	die	Gewehr-Munition in Basis-Qualität
_676A97E99902C991	iccp2rp	Durchbohrende Gewehr-Munition	Durchbohrende Gewehr-Munition	Durchbohrende Gewehr-Munition	Durchbohrende Gewehr-Munition	Durchbohrende Gewehr-Munition	eine	die	eine	die	Gewehr-Munition in Basis-Qualität
