*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_108D5B88207F7D6F	barman_bottle	Botella del Tabernero	una	la	Botellas del Tabernero		las	
_719D75E0E9FAF0F4	big_barrel	Barril Grande	un	el	Barriles Grandes		los	
_AAF8ADB6F06BA817	big_living_sculpture	Gran Escultura Viviente	una	la	Grandes Esculturas Vivientes		las	
_C53473989DD38D80	black_medicine	Medicina Negra	una	la	Medicinas Negras		las	
_095D69DC159A2000	blood_vial	Ampollas de Sangre	una	la	Ampollas de Sangre		las	
_A131A17CC3622A69	blue_medicine	Medicina Azul	una	la	Medicinas Azules		las	
_387D063C9F8B2F9A	botanist_letter	Carta del Botánico	una	la	Cartas del Botánico		las	
_9C281F7594E74586	botanist_vial	Ampolla del Botánico	una	la	Ampollas del Botánico		las	
_6E7AE080AAA7CCAD	bottle	Botella	una	la	Botellas		las	
_29FA4C81EB47209E	casket	Cofre	un	el	Cofres		los	
_BBECE763FBDA4FB3	crystalized_spell	Hechizo Cristalizado	un	el	Hechizos Cristalizados	unos	los	
_5C103DC5358D1E61	cure_expert_letter	Carta del Experto en Curación	una	la	Cartas del Experto en Curación		las	
_265C0F99DC8713C2	fv_arrowhead	Punta de Flecha Extraña	una	la	Puntas de Flecha Extrañas		las	
_C4ED4DE60E405F1D	fv_seal1	Sello del minero	uno	el	Sellos del Minero	unos	los	
_E86A8EB0119EB7CA	fy_cheveux_long01	Cabello Largo de Fyros	un	el	Cabellos Largos de Fyros		los	
_08ED1BECA63BB6A3	fy_cheveux_medium01	Cabello Mediano de Fyros	un	el	Cabellos Medianos de Fyros		los	
_EB1DCF4259795BA3	fy_cheveux_shave01	Cabello Afeitado de Fyros	un	el	Cabellos Afeitados de Fyros		los	
_2B173132EAEC8EFA	fy_cheveux_short01	Cabello Corto de Fyros	un	el	Cabellos Cortos de Fyros		los	
_877F6110A184F0D1	fy_visage	Mascara de Fyros	una	la	Mascaras de Fyros		las	
_0DA85C68D7243322	goo_swarmplants_fiber	Fibra de Shooki Goo	una	la	Fibras de Shookis Goo		las	
_50837C60DDD54337	goo_swarmplants_fruit	Pieza de Fruta de Shooki Goo	una	la	Piezas de Frutas de Shooki Goo		las	
_07E1F360B1AB936E	goo_vampignon_fungus	Hongo Vampignon Goo	un	el	Hongos Vampignon Goo		los	
