*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_108D5B88207F7D6F	barman_bottle	Bouteille de barman	une	la	Bouteilles de barman	des	les	
_719D75E0E9FAF0F4	big_barrel	Grand tonneau	un	le	Grands tonneaux	des	les	
_AAF8ADB6F06BA817	big_living_sculpture	Grande sculpture vivante	une	la	Grandes sculptures vivantes	des	les	
_C53473989DD38D80	black_medicine	Médicament noir	un	le	Médicaments noirs	des	les	
_095D69DC159A2000	blood_vial	Ampoule de sang	une	l'	Ampoules de sang	des	les	
_A131A17CC3622A69	blue_medicine	Médicament bleu	un	le	Médicaments bleus	des	les	
_387D063C9F8B2F9A	botanist_letter	Missive de botaniste	une	la	Missives de botaniste	des	les	
_9C281F7594E74586	botanist_vial	Ampoule de botaniste	une	l'	Ampoules de botaniste	des	les	
_6E7AE080AAA7CCAD	bottle	Bouteille	une	la	Bouteilles	des	les	
_29FA4C81EB47209E	casket	Coffret	un	le	Coffrets	des	les	
_BBECE763FBDA4FB3	crystalized_spell	Sort cristallisé	un	le	Sorts cristallisés	des	les	
_5C103DC5358D1E61	cure_expert_letter	Missive d'expert en guérison	une	la	Missives d'expert en guérison	des	les	
_265C0F99DC8713C2	fv_arrowhead	Pointe de flèche étrange	une	la	Pointes de flèches étranges	des	les	
_C4ED4DE60E405F1D	fv_seal1	Sceau de mineur	un	le	Sceaux de mineur	des	les	
_E86A8EB0119EB7CA	fy_cheveux_long01	Cheveu long de Fyros	un	le	Cheveux longs de Fyros	des	les	
_08ED1BECA63BB6A3	fy_cheveux_medium01	Cheveu mi-long de Fyros	un	le	Cheveux mi-longs de Fyros	des	les	
_EB1DCF4259795BA3	fy_cheveux_shave01	Cheveu rasé de Fyros	un	le	Cheveux rasés de Fyros	des	les	
_2B173132EAEC8EFA	fy_cheveux_short01	Cheveu court de Fyros	un	le	Cheveux courts de Fyros	des	les	
_877F6110A184F0D1	fy_visage	Masque de Fyros	un	le	Masques de Fyros	des	les	
_0DA85C68D7243322	goo_swarmplants_fiber	Fibre de shooki à goo	une	la	Fibres de shooki à goo	des	les	
_50837C60DDD54337	goo_swarmplants_fruit	Morceau de fruit de shooki à goo	un	le	Morceaux de fruit de shooki à goo	des	les	
_07E1F360B1AB936E	goo_vampignon_fungus	Champignon de vampignon à goo	un	le	Champignons de vampignon à goo	des	les	
_AF317BF35957C6A6	goo_varinx_blood	Sang de varinx à goo	du	le	Sang de varinx à goo	du	le	
_511564B194595F6C	goo_yber_sticky_glands	Glande puante / yber à goo	une	la	Glandes puantes / yber à Goo	des	les	
_E7BEF850FC164ED3	green_liquid_vial	Cristal brut du Nexus	un	le	Cristal brut du Nexus	des	les	
_C7E4ABA61E238D86	green_medicine	Médicament vert	un	le	Médicaments verts	des	les	
_C035657CDDA5C56C	guard_scroll	Rouleau de garde	un	le	Rouleaux de garde	des	les	
_90CA0A490DD942DA	heavy_armors_acreditation	Habilitation d'armure lourde	une	l'	Habilitations d'armures lourdes	des	les	
_7BFC96297B81110A	heavy_conch	Conch lourd	un	le	Conchs lourds	des	les	
_9331326A3B23E68B	heavy_package	Paquet lourd	un	le	Paquets lourds	des	les	
_DBB8348E5856807B	iccm1bm	Massue	une	la	Massues	des	les	
_65E88895232AEB65	iccm1bs	Bâton	un	le	Bâtons	des	les	
_E718DCA3538A686D	iccm1pd	Dague	une	la	Dagues	des	les	
_6488707B620B2364	iccm1ps	Lance	une	la	Lances	des	les	
_EACAB3B39EB6E83F	iccm1sa	Hache	une	la	Haches	des	les	
_E889CC98233B2F63	iccm1ss	Épée	une	l'	Épées	des	les	
_94484CBE5F399830	iccm2bm	Massue à deux mains	une	la	Massues à deux mains	des	les	
_1BB8749EDCB8C48A	iccm2pp	Pique	une	la	Piques	des	les	
_5258C88DCD380856	iccm2sa	Hache à deux mains	une	la	Haches à deux mains	des	les	
_5A7EEC172669A459	iccm2ss	Épée à deux mains	une	l'	Épées à deux mains	des	les	
_436DBB1E358B5F58	iccp1bb	Munition contondante pour pistolet-arbalète	une	la	Munitions contondantes pour pistolets-arbalètes	des	les	
_3F3DF30D366B0F6A	iccp1bp	Munition perforante pour pistolet-arbalète	une	la	Munitions perforantes pour pistolets-arbalètes	des	les	
_3E6DFF12765B2F6E	iccp1bs	Munition tranchante pour pistolet-arbalète	une	la	Munitions tranchantes pour pistolets-arbalètes	des	les	
_FD5B2B31FCE6C3A3	iccp1gb	Munition contondante pour grenade	une	la	Munitions contondantes pour grenades	des	les	
_B99BDF3C80C7C392	iccp1gp	Munition perforante pour grenade	une	la	Munitions perforantes pour grenades	des	les	
_3B6BDB4240F7C397	iccp1gs	Munition tranchante pour grenade	une	la	Munitions tranchantes pour grenades	des	les	
_FB3E03FFFEC831C1	iccp1pb	Munition contondante pour pistolet	une	la	Munitions contondantes pour pistolets	des	les	
_FB1C23DF7C6B31C1	iccp1pp	Munition perforante pour pistolet	une	la	Munitions perforantes pour pistolets	des	les	
_FBBC2BD7FEFB31C1	iccp1ps	Munition tranchante pour pistolet	une	la	Munitions tranchantes pour pistolets	des	les	
_FABC80E00B5310AA	iccp2ab	Munition contondante pour mitrailleuse	une	la	Munitions contondantes pour mitrailleuses	des	les	
_399D80CF0C2214A8	iccp2ap	Munition perforante pour mitrailleuse	une	la	Munitions perforantes pour mitrailleuses	des	les	
_FACD80D44C6224A7	iccp2as	Munition tranchante pour mitrailleuse	une	la	Munitions tranchantes pour mitrailleuses	des	les	
_B4A6DBDA1D4C77CF	iccp2bb	Munition contondante pour fusil-arbalète	une	la	Munitions contondantes pour fusils-arbalètes	des	les	
_F486CFE81D1C87AE	iccp2bp	Munition perforante pour fusil-arbalète	une	la	Munitions perforantes pour fusils-arbalètes	des	les	
_F576DBEB1D9C8BAF	iccp2bs	Munition tranchante pour fusil-arbalète	une	la	Munitions tranchantes pour fusils-arbalètes	des	les	
_B285FBD9DE3D6BCD	iccp2lb	Munition contondante pour lance-grenades	une	la	Munitions contondantes pour lance-grenades	des	les	
_F265EFE7DE0D7BAC	iccp2lp	Munition perforante pour lance-grenades	une	la	Munitions perforantes pour lance-grenades	des	les	
_F355FBEADE8D7FAD	iccp2ls	Munition tranchante pour lance-grenades	une	la	Munitions tranchantes pour lance-grenades	des	les	
_676ADBF69C529D83	iccp2rb	Munition contondante pour fusil	une	la	Munitions contondantes pour fusils	des	les	
_676A97E99902C991	iccp2rp	Munition perforante pour fusil	une	la	Munitions perforantes pour fusils	des	les	
_676AABEFD822E194	iccp2rs	Munition tranchante pour fusil	une	la	Munitions tranchantes pour fusils	des	les	
