*HASH_VALUE	item ID	name	p	description	somgen	twogen	onegen
-	amber_cube_common_ancient	Древний янтарный куб	Древние янтарные кубы		Древних янтарных кубов	Древних янтарных куба	Древний янтарный куб
-	amber_cube_common_recent	Недавний янтарный куб	Недавние янтарные кубы		Недавних янтарных кубов	Недавних янтарных куба	Недавний янтарный куб
-	amber_cube_common_very_ancient	Очень древний янтарный куб	Очень древние янтарные кубы		Очень древних янтарных кубов	Очень древних янтарных куба	Очень древний янтарный куб
-	amber_cube_fyros_ancient	Древний янтарный куб файросов	Древние янтарные кубы файросов		Древних янтарных кубов файросов	Древних янтарных куба файросов	Древний янтарный куб файросов
-	amber_cube_fyros_recent	Недавний янтарный куб файросов	Недавние янтарные кубы файросов		Недавних янтарных кубов файросов	Недавних янтарных куба файросов	Недавний янтарный куб файросов
-	amber_cube_fyros_very_ancient	Очень древний янтарный куб файросов	Очень древние янтарные кубы файросов		Очень древних янтарных кубов файросов	Очень древних янтарных куба файросов	Очень древний янтарный куб файросов
-	amber_cube_kami_ancient	Древний янтарный куб Ками	Древние янтарные кубы Ками		Древних янтарных кубов Ками	Древних янтарных куба Ками	Древний янтарный куб Ками
-	amber_cube_kami_recent	Недавний янтарный куб Ками	Недавние янтарные кубы Ками		Недавних янтарных кубов Ками	Недавних янтарных куба Ками	Недавний янтарный куб Ками
-	amber_cube_kami_very_ancient	Очень древний янтарный куб Ками	Очень древние янтарные кубы Ками		Очень древних янтарных кубов Ками	Очень древних янтарных куба Ками	Очень древний янтарный куб Ками
-	amber_cube_karavan_ancient	Древний янтарный куб Каравана	Древние янтарные кубы Каравана		Древних янтарных кубов Каравана	Древних янтарных куба Каравана	Древний янтарный куб Каравана
-	amber_cube_karavan_recent	Недавний янтарный куб Каравана	Недавние янтарные кубы Каравана		Недавних янтарных кубов Каравана	Недавних янтарных куба Каравана	Недавний янтарный куб Каравана
-	amber_cube_karavan_very_ancient	Очень древний янтарный куб Каравана	Очень древние янтарные кубы Каравана		Очень древних янтарных кубов Каравана	Очень древних янтарных куба Каравана	Очень древний янтарный куб Каравана
-	amber_cube_matis_ancient	Древний янтарный куб матисов	Древние янтарные кубы матисов		Древних янтарных кубов матисов	Древних янтарных куба матисов	Древний янтарный куб матисов
-	amber_cube_matis_recent	Недавний янтарный куб матисов	Недавние янтарные кубы матисов		Недавних янтарных кубов матисов	Недавних янтарных куба матисов	Недавний янтарный куб матисов
-	amber_cube_matis_very_ancient	Очень древний янтарный куб матисов	Очень древние янтарные кубы матисов		Очень древних янтарных кубов матисов	Очень древних янтарных куба матисов	Очень древний янтарный куб матисов
-	amber_cube_tryker_ancient	Древний янтарный куб трайкеров	Древние янтарные кубы трайкеров		Древних янтарных кубов трайкеров	Древних янтарных куба трайкеров	Древний янтарный куб трайкеров
-	amber_cube_tryker_recent	Недавний янтарный куб трайкеров	Недавние янтарные кубы трайкеров		Недавних янтарных кубов трайкеров	Недавних янтарных куба трайкеров	Недавний янтарный куб трайкеров
-	amber_cube_tryker_very_ancient	Очень древний янтарный куб трайкеров	Очень древние янтарные кубы трайкеров		Очень древних янтарных кубов трайкеров	Очень древних янтарных куба трайкеров	Очень древний янтарный куб трайкеров
-	amber_cube_zorai_ancient	Древний янтарный куб Зораи	Древние янтарные кубы Зораи		Древних янтарных кубов Зораи	Древних янтарных куба Зораи	Древний янтарный куб Зораи
-	amber_cube_zorai_recent	Недавний янтарный куб Зораи	Недавние янтарные кубы Зораи		Недавних янтарных кубов Зораи	Недавних янтарных куба Зораи	Недавний янтарный куб Зораи
-	amber_cube_zorai_very_ancient	Очень древний янтарный куб Зораи	Очень древние янтарные кубы Зораи		Очень древних янтарных кубов Зораи	Очень древних янтарных куба Зораи	Очень древний янтарный куб Зораи
-	aqua_speed	Водяной насос	Водяной насос		Водяных насосов	Водяных насоса	Водяной насос
-	barman_bottle	Бутылка бармена	Бутылки бармена		Бутылок бармена	Бутылки бармена	Бутылку бармена
-	big_barrel	Большой бочонок	Большие бочонки		Больших бочонков	Больших бочонка	Большой бочонок
-	big_living_sculpture	Большая живая скульптура	Большие живые скульптуры		Больших живых скульптуры	Больших живых скульптуры	Большую живую скульптуру
-	black_medicine	Черное снадобье	Черные снадобья		Черных снадобий	Черных снадобья	Черное снадобье
-	blood_vial	Сосуд с кровью	Сосуды с кровью		Сосудов с кровью	Сосуда с кровью	Сосуд с кровью
-	blue_medicine	Синее снадобье	Синее снадобье		Синих снадобий	Синих снадобья	Синее снадобье
-	boss_mainland_fyros_token	Амулет Аэна					Амулет Аэна
-	boss_mainland_matis_token	Амулет Сирджио					Амулет Сирджио
-	boss_mainland_tryker_token	Амулет Трикси					Амулет Трикси
-	boss_mainland_zorai_token	Амулет Пэй-Зао					Амулет Пэй-Зао
