*HASH_VALUE	outpost ID	name	description
_5B321558ABD3F7D2	fyros_outpost_04.outpost	Malmont-Hof	Dieser Außenposten wurde 2489 gegründet\n Herausforderung für Gilden mit einem Expertenrang\n Die Aufmerksamkeit dieses Außenpostens südlich vom Malmont und dem Drachenschwanz konzentrierte sich schon immer auf die Minenressourcen der gefahrvollen Region. Teile der Ressourcen wurden früher nach Dyron und zu den beiden nahe gelegenen Werkstätten gebracht. Das restliche Material wurde mit einer schwerbewaffneten Eskorte bis nach Pyr transportiert. 
_50ED8AA90BF8EFF5	fyros_outpost_09.outpost	Hochtürme-Hof	Dieser Außenposten wurde 2491 gegründet\n Herausforderung für Gilden mit einem fortgeschrittenen Rang\n Der Betrieb des Außenpostens entwickelte sich ursprünglich unter dem Einfluss der Frahar-Jäger, die die Ressourcen der Gegend verwerten wollten. Durch häufige Patrouillen von Kriegern dieses Stammes wurde die Förderung weitgehend gesichert, und es ermöglichte den Rohstoffabbauern, hier ihrer Beschäftigung ohne Angst vor Angriffen nachzugehen.
_53FC998C546B1C65	fyros_outpost_13.outpost	West-Schwarzbrand-Grenzposten	Dieser Außenposten wurde 2490 gegründet\n Herausforderung für Gilden mit einem bestätigten Rang\n Der Außenposten wurde auf einem Nexus am Rande des Flammenden Waldes errichtet und wurde früher genutzt, um die lodernden Feuer des Waldes stets im Auge zu behalten, damit eine Ausbreitung auf die Oasenregion verhindert werden konnte. Für die Soldaten des Imperiums war es eine Ehre, hier an der Westfront zu dienen. 
_89C748F535AAF4B7	fyros_outpost_14.outpost	Schwarzbrand-Handelsposten	Dieser Außenposten wurde 2489 gegründet\n Herausforderung für Gilden mit einem Lehrlingsrang\n Hier war eine der ersten Außenposten-Gründungen und Treffpunkte in der Brennenden Wüste. Reisende aus dem Süden machten regelmäßig Halt, um sich auszuruhen und Geschäfte abzuschließen, ehe sie die Hauptstadt erreichten. Der Name des Außenpostens wurde vom Flammenden Wald abgeleitet, der südwestlich liegt. 
_6BA8D5A58D8A1A4E	fyros_outpost_25.outpost	Hof der Entlegenen Dünen	Dieser Außenposten wurde 2490 gegründet\n Herausforderung für Gilden mit einem Expertenrang\n Der Nexus hier im Süden der Region, auf dem dieser Außenposten errichtet wurde, wurde zuerst von den Kamis als entdeckt, und sorgte für einen Streit zwischen den Autoritäten von Pyr und einigen Fyros-Clans, die sich weigerten, dem Imperium Treue zu schwören. Ein hoher Tribut musste gezahlt werden, bis die Anführer der Barbaren die Existenz des Hofes endlich tolerierten. 
_CA34A30E77B90623	fyros_outpost_27.outpost	Magischer Ort am Holzbrand	Dieser Außenposten wurde 2490 gegründet\n Herausforderung für Gilden mit einem Meisterrang\n Der Außenposten hier im Herzen des Flammenden Waldes wurde einst von imperialen Elementarmagiern kontrolliert, die danach strebten, sich die Macht des Feuers zu Nutze zu machen. Dank der Experimente, die die Magier durchführten, entstanden neue Magiesprüche und verhalfen den magischen Künsten in der Fyros-Gesellschaft zum Status einer wertvollen Kriegskunst. 
_BDE3EE74BFBEBE61	fyros_outpost_28.outpost	Holzbrand-Festung	Dieser Außenposten wurde 2491 gegründet\n Herausforderung für Gilden mit einem Meister-Rang\n Der Außenposten wurde ursprünglich auf Befehl von Regentin Leanon hin befestigt. Er schützte einst den Flammenden Wald vor Plünderern und Feinden des Imperiums. Als der Außenposten bemannt war, musste die Garnison, die für seine Verteidigung zuständig war, regelmäßig gegen den Stamm der Enthäuteten kämpfen - Magier, die an die Quelle des verzauberten Feuers wollten. 
_FD20D1D4049E722D	tryker_outpost_06.outpost	Grünes Tal - Handelsposten	Dieser Außenposten wurde 2489 gegründet\n Herausforderung für Gilden mit einem Lehrlingsrang\n In ein kleines geschütztes Tal mit Bäumen und Felsen westlich von Fairhaven eingebettet, entwickelte sich schnell reger Handel auf diesem Außenposten, insbesonder mit dem Dorf Windermeer. Jedoch wurde er häufig von Banditen angegriffen. 
_5B18CB8946250B0A	tryker_outpost_10.outpost	Quellhalle-Handelsposten	Dieser Außenposten wurde 2486 gegründet\n Herausforderung für Gilden mit einem fortgeschrittenen Rang\n Der Stamm der Schmuggler betrieb hier als erstes Handel. Die Handelsgilden der Tryker-Föderation versuchten mehrmals, die Transaktionen zu kontrollieren, die in der Region über die Bühne gingen, doch das blieb erfolglos. Es war ein verbreiteter Spruch, dass man in Quellhalle alles finden könne, auch das Unmögliche. 
_4EFEA1E7C0439509	tryker_outpost_16.outpost	Friedhofspforte-Forschungszentrum	Dieser Außenposten wurde 2489 gegründet\n Herausforderung für Gilden mit einem Expertenrang\n Als ein Rohstoffabbauer eigenartige Knochen in der Nähe dieses Außenpostens fand, wurden sie von Wissenschaftlern der Föderation untersucht. Sie konnten die Herkunft der Knochen nicht bestimmen. Ein Forschungszentrum wurde hier eingerichtet, trotz des Protests der Gischtläufer, die nicht begeistert waren, Unmengen an Bohrern in der Gegend um den Friedhofsweg auftauchen zu sehen. Sie sahen das Gebiet als heilig an, da es sich um einen rituellen Pfad zum Friedhof des Stammes handelte. 
