*HASH_VALUE	sbrick ID	name	named	p	pd	ia	da	pia	pda	description	description2
-	BFPA01	Standardangriff     	Standardangriff     	Standardangriffe     	Standardangriffe     	ein	der		die	Standard Stanza für alle Kampfaktionen.	Standardangriff-Basisstanza
-	BFOA01	Erhöhter Schaden     	Erhöhter Schaden     	Erhöhte Schäden     	Erhöhte Schäden     	eine	die		die	Erhöht den Schaden eines Schlages.	Schadenserhöhungs-Option
-	BFOA02	Feuerrate	Feuerrate	Feuerraten	Feuerraten	eine	die		die	Verbessert die Feuergeschwindigkeit	Erhöht die Feuergeschwindigkeit
-	BFOA03	Präzisionsangriff	Präzisionsangriff	Präzisionsangriffe	Präzisionsangriffe	ein	der		die	Verbessert die Angriffspräzision und reduziert die gegnerische Chance des Ausweichens.	Präzisionsangriffs-Option
-	BFOA04	Blutungsangriff   	Blutungsangriff	Blutungsangriffe	Blutungsangriffe	eine	die		die	Erzeugt eine offene, blutende Wunde - verursacht einen Extraschaden für 10s.	Blutangriffs-Option
-	BFMA01	Erhöhter Schaden 1    	Erhöhter Schaden 1    	Erhöhte Schäden 1    	Erhöhte Schäden 1    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 10.	Erhöhter Schaden 1, max. Faktor : $1INC_DMG
-	BFMA02	Erhöhter Schaden 2    	Erhöhter Schaden 2    	Erhöhte Schäden 2    	Erhöhte Schäden 2    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 20.	Erhöhter Schaden 2, max. Faktor : $1INC_DMG
-	BFMA03	Erhöhter Schaden 3    	Erhöhter Schaden 3    	Erhöhte Schäden 3    	Erhöhte Schäden 3    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 30.	Erhöhter Schaden 3, max. Faktor : $1INC_DMG
-	BFMA04	Erhöhter Schaden 4    	Erhöhter Schaden 4    	Erhöhte Schäden 4    	Erhöhte Schäden 4    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 45.	Erhöhter Schaden 4, max. Faktor : $1INC_DMG
-	BFMA05	Erhöhter Schaden 5    	Erhöhter Schaden 5    	Erhöhte Schäden 5    	Erhöhte Schäden 5    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 70.	Erhöhter Schaden 5, max. Faktor : $1INC_DMG
-	BFMA06	Erhöhter Schaden 6    	Erhöhter Schaden 6    	Erhöhte Schäden 6    	Erhöhte Schäden 6    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 90.	Erhöhter Schaden 6, max. Faktor : $1INC_DMG
-	BFMA07	Erhöhter Schaden 7    	Erhöhter Schaden 7    	Erhöhte Schäden 7    	Erhöhte Schäden 7    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 115.	Erhöhter Schaden 7, max. Faktor : $1INC_DMG
-	BFMA08	Erhöhter Schaden 8    	Erhöhter Schaden 8    	Erhöhte Schäden 8    	Erhöhte Schäden 8    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 140.	Erhöhter Schaden 8, max. Faktor : $1INC_DMG
-	BFMA09	Erhöhter Schaden 9    	Erhöhter Schaden 9    	Erhöhte Schädenn 9    	Erhöhte Schäden 9    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 165.	Erhöhter Schaden 9, max. Faktor : $1INC_DMG
-	BFMA10	Erhöhter Schaden 10    	Erhöhter Schaden 10    	Erhöhte Schäden 10    	Erhöhte Schäden 10    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 190.	Erhöhter Schaden 10, max. Faktor : $1INC_DMG
-	BFMA11	Erhöhter Schaden 11    	Erhöhter Schaden 11    	Erhöhte Schäden 11    	Erhöhte Schäden 11    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 215.	Erhöhter Schaden 11, max. Faktor : $1INC_DMG
-	BFMA12	Erhöhter Schaden 12    	Erhöhter Schaden 12    	Erhöhte Schäden 12    	Erhöhte Schäden 12    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 240.	Erhöhter Schaden 12, max. Faktor : $1INC_DMG
-	BFMA13	Erhöhter Schaden 13    	Erhöhter Schaden 13    	Erhöhte Schäden 13    	Erhöhte Schäden 13    	eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 265.	Erhöhter Schaden 13, max. Faktor : $1INC_DMG
-	BFMC01	Präzisionsangriff 1    	Präzisionsangriff 1    	Präzisionsangriffe 1    	Präzisionsangriffe 1    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 20.	Präzisionsangriff 1, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC02	Präzisionsangriff 2    	Präzisionsangriff 2    	Präzisionsangriffe 2    	Präzisionsangriffe 2    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 35.	Präzisionsangriff 2, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC03	Präzisionsangriff 3    	Präzisionsangriff 3    	Präzisionsangriffe 3    	Präzisionsangriffe 3    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 50.	Präzisionsangriff 3, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC04	Präzisionsangriff 4    	Präzisionsangriff 4    	Präzisionsangriffe 4    	Präzisionsangriffe 4    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 65.	Präzisionsangriff 4, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC05	Präzisionsangriff 5    	Präzisionsangriff 5    	Präzisionsangriffe 5    	Präzisionsangriffe 5    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 90.	Präzisionsangriff 5, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC06	Präzisionsangriff 6    	Präzisionsangriff 6    	Präzisionsangriffe 6    	Präzisionsangriffe 6    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 115.	Präzisionsangriff 6, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC07	Präzisionsangriff 7    	Präzisionsangriff 7    	Präzisionsangriffe 7    	Präzisionsangriffe 7    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 140.	Präzisionsangriff 7, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
