*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
_C9391E419A297CBA	BFPA01	Default attack	a	the				Base stanza for all combat actions.	Default Attack Fight Stanza
_57489F29E1668F3C	BFOA01	Increase Damage	an	the				Increases damage inflicted by a hit.	Increase Damage Option
_4A8C98814E07227B	BFOA02	Hit Rate	a	the				Increases the firing rate of your weapon.	Increase Firing Rate Option
_C3B593B0C08CCA25	BFOA03	Accurate Attack	an	the				Increases the accuracy of attack, reduces the chances of enemy dodging.	Accurate Attack Option
_CB5EC48119F69464	BFOA04	Bleeding	a	the				Inflicts an open wound causing bleeding - causes extra damage for 10s.	Bleeding Option
_8AEA768F779806A6	BFMA01	Increase Damage 1	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 10.	Increase Damage 1 - Max Factor: $1INC_DMG
_CAEA769077A80AA6	BFMA02	Increase Damage 2	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 20.	Increase Damage 2 - Max Factor: $1INC_DMG
_0AEA769177B80EA6	BFMA03	Increase Damage 3	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 30.	Increase Damage 3 - Max Factor: $1INC_DMG
_4BEA769277C812AB	BFMA04	Increase Damage 4	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 45.	Increase Damage 4 - Max Factor: $1INC_DMG
_0BEA769377D816A6	BFMA05	Increase Damage 5	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 70.	Increase Damage 5 - Max Factor: $1INC_DMG
_8CEA769477E81AA6	BFMA06	Increase Damage 6	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 90.	Increase Damage 6 - Max Factor: $1INC_DMG
_495B68D1F0657248	BFMA07	Increase Damage 7	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 115.	Increase Damage 7 - Max Factor: $1INC_DMG
_495B6CD1F075624B	BFMA08	Increase Damage 8	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 140.	Increase Damage 8 - Max Factor: $1INC_DMG
_495B70D1F0857A4D	BFMA09	Increase Damage 9	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 165.	Increase Damage 9 - Max Factor: $1INC_DMG
_C0FC365233B89470	BFMA10	Increase Damage 10	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 190.	Increase Damage 10 - Max Factor: $1INC_DMG
_00FC365273087871	BFMA11	Increase Damage 11	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 215.	Increase Damage 11 - Max Factor: $1INC_DMG
_40FC3652B3B88871	BFMA12	Increase Damage 12	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 240.	Increase Damage 12 - Max Factor: $1INC_DMG
_80FC3652F3089471	BFMA13	Increase Damage 13	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 265.	Increase Damage 13 - Max Factor: $1INC_DMG
_23BA3FF35F020E04	BFMC01	Accurate Attack 1	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 20.	Accurate attack 1 - Max skill bonus: +$1ATT_SKILL_MOD
_63BA3FF45F121209	BFMC02	Accurate Attack 2	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 35.	Accurate attack 2 - Max skill bonus: +$1ATT_SKILL_MOD
_E4BA3FF55F221604	BFMC03	Accurate Attack 3	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 50.	Accurate attack 3 - Max skill bonus: +$1ATT_SKILL_MOD
_24BA3FF65F321A09	BFMC04	Accurate Attack 4	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 65.	Accurate attack 4 - Max skill bonus: +$1ATT_SKILL_MOD
_E5BA3FF75F421E04	BFMC05	Accurate Attack 5	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 90.	Accurate attack 5 - Max skill bonus: +$1ATT_SKILL_MOD
_C677ECF0589C8F7C	BFMC06	Accurate Attack 6	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 115.	Accurate attack 6 - Max skill bonus: +$1ATT_SKILL_MOD
_C677F0F058AC7F7F	BFMC07	Accurate Attack 7	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 140.	Accurate attack 7 - Max skill bonus: +$1ATT_SKILL_MOD
_C677F4F058BC8382	BFMC08	Accurate Attack 8	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 170.	Accurate attack 8 - Max skill bonus: +$1ATT_SKILL_MOD
_0677F8F058CC877B	BFMC09	Accurate Attack 9	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 200.	Accurate attack 9 - Max skill bonus: +$1ATT_SKILL_MOD
_F17C7AE52A9D5E15	BFMC10	Accurate Attack 10	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 235.	Accurate attack 10 - Max skill bonus: +$1ATT_SKILL_MOD
_317C7AE56A9D7215	BFMC11	Accurate Attack 11	an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 275.	Accurate attack 11 - Max skill bonus: +$1ATT_SKILL_MOD
_BB2D99222769E2C3	BFMD01	Bleeding 1	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 25.	Bleeding 1 - Max factor: $2BLEED_FACTOR
_BB2D9922A769EAC3	BFMD02	Bleeding 2	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 35.	Bleeding 2 - Max factor: $2BLEED_FACTOR
_BB2D991D6869F2C3	BFMD03	Bleeding 3	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 50.	Bleeding 3 - Max factor: $2BLEED_FACTOR
