*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
_C9391E419A297CBA	BFPA01	Ataque por Falta o Defecto 	un	el			el	Estancia Base para todas las acciones de combate.	Estancia de Combate del Ataque por Falta o Defecto
_57489F29E1668F3C	BFOA01	Aumento del Daño 	un	e			los	Aumenta el daño causado por un golpe.	Aumenta la Opción de Daño
_4A8C98814E07227B	BFOA02	Tasa o Índice de Golpe	un	el			los	Aumenta la tasa o el índice de la descarga.	Aumenta la Opción del Índice de la Descarga
_C3B593B0C08CCA25	BFOA03	Ataque de Precisión	un	el			los	Aumenta la exactitud del ataque, reduce las posibilidades de que el enemigo pueda esquivar.	Opción del Ataque Preciso
_CB5EC48119F69464	BFOA04	Sangrado	un	el			los	Causa una herida abierta que provoca sangrado - causa un daño extra de 10s.	Opción de Sangrado
_8AEA768F779806A6	BFMA01	Aumento del Daño 1	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para armas hasta el nivel 10.	Aumenta el Daño 1 - Factor Máximo: $1INC_DMG
_CAEA769077A80AA6	BFMA02	Aumento del Daño 2	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para armas hasta el nivel 20.	Aumenta el Daño 2 - Factor Máximo: $1INC_DMG
_0AEA769177B80EA6	BFMA03	Aumento del Daño 3	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 30.	Aumenta el Daño 3 - Max Factor: $1INC_DMG
_4BEA769277C812AB	BFMA04	Aumento del Daño 4	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 45.	Aumenta el Daño 4 - Factor Máximo: $1INC_DMG
_0BEA769377D816A6	BFMA05	Aumento del Daño 5	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 70.	Aumenta el Daño 5 - Factor Máximo: $1INC_DMG
_8CEA769477E81AA6	BFMA06	Aumento del Daño 6	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 90.	Aumenta el Daño 6 - Factor Máximo: $1INC_DMG
_495B68D1F0657248	BFMA07	Aumento del Daño 7	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 115.	Aumenta el Daño 7 - Factor Máximo: $1INC_DMG
_495B6CD1F075624B	BFMA08	Aumento del Daño 8	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 140.	Aumenta el Daño 8 - Factor Máximo: $1INC_DMG
_495B70D1F0857A4D	BFMA09	Aumento del Daño 9	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 165.	Aumenta el Daño 9 -Factor Máximo: $1INC_DMG
_C0FC365233B89470	BFMA10	Aumento del Daño 10	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 190.	Aumenta el Daño 10 - Factor Máximo: $1INC_DMG
_00FC365273087871	BFMA11	Aumento del Daño 11	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 215.	Aumenta del Daño 11 - Factor Máximo: $1INC_DMG
_40FC3652B3B88871	BFMA12	Aumento del Daño 12	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 240.	Aumenta el Daño 12 - Factor Máximo: $1INC_DMG
_80FC3652F3089471	BFMA13	Aumento del Daño 13	un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 265.	Aumenta el Daño 13 - Factor Máximo: $1INC_DMG
_23BA3FF35F020E04	BFMC01	Ataque de Precisión 1	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 20.	Ataque de Precisión 1 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_63BA3FF45F121209	BFMC02	Ataque de Precisión 2	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 35.	Ataque de Precisión 2 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_E4BA3FF55F221604	BFMC03	Ataque de Precisión 3	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 50.	Ataque de Precisión 3 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_24BA3FF65F321A09	BFMC04	Ataque de Precisión 4	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 65.	Ataque de Precisión 4 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_E5BA3FF75F421E04	BFMC05	Ataque de Precisión 5	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 90.	Ataque de habilidad 5 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_C677ECF0589C8F7C	BFMC06	Ataque de Precisión 6	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 115.	Ataque de Precisión 6 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_C677F0F058AC7F7F	BFMC07	Ataque de Precisión 7	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 140.	Ataque de Precisión 7 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_C677F4F058BC8382	BFMC08	Ataque de Precisión 8	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 170.	Ataque de Precisión 8 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_0677F8F058CC877B	BFMC09	Ataque de Precisión 9	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 200.	Ataque de Precisión 9 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_F17C7AE52A9D5E15	BFMC10	Ataque de Precisión 10	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 235.	Ataque de Precisión 10 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_317C7AE56A9D7215	BFMC11	Ataque de Precisión 11	un	el			los	Reduce la probabilidad de que tu enemigo te esquive - máxima eficiencia para las armas hasta el nivel 275.	Ataque de Precisión 11 - Bono de habilidad máximo: +$1ATT_SKILL_MOD
_BB2D99222769E2C3	BFMD01	Sangrado 1	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 25.	Sangrado 1 - Factor máximo: $2BLEED_FACTOR
_BB2D9922A769EAC3	BFMD02	Sangrado 2	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 35.	Sangrado 2 - Facto máximo: $2BLEED_FACTOR
_BB2D991D6869F2C3	BFMD03	Sangrado 3	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 50.	Sangrado 3 - Factor máximo: $2BLEED_FACTOR
_BB2D9922E969FAC3	BFMD04	Sangrado 4	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 65.	Sangrado 4 - Factor máximo: $2BLEED_FACTOR
_BB2D991DEA6902C3	BFMD05	Sangrado 5	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 90.	Sangrado 5 - Factor máximo: $2BLEED_FACTOR
_D9A604BEB1BB0CC5	BFMD06	Sangrado 6	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 115.	Sangrado 6 - Factor máximo: $2BLEED_FACTOR
_D9A6F0C1F1CB10C5	BFMD07	Sangrado 7	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 140.	Sangrado 7 - Factor máximo: $2BLEED_FACTOR
_D9A604C332DB14C5	BFMD08	Sangrado 8	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 165.	Sangrado 8 - Factor máximo: $2BLEED_FACTOR
_D9A6F0BDB2EB18C5	BFMD09	Sangrado 9	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 200.	Sangrado 9 - Factor máximo: $2BLEED_FACTOR
_F94EC548C8D1F16F	BFMD10	Sangrado 10	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 235.	Sangrado 10 - Factor máximo: $2BLEED_FACTOR
_F94ED54AC8D1F56F	BFMD11	Sangrado 11	un	el			los	Causa un daño de sangrado con el efecto del tiempo (basado en el daño del golpe inicial) por 10s - máxima eficiencia para las armas hasta el nivel 275.	Sangrado 11 - Factor máximo: $2BLEED_FACTOR
_FB23D9FEEEB2F0F1	BFCA01	Crédito de Resistencia 1	un	el	Crédito de Resistencia 1		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 6 créditos.	Factor de consumo: $0STA_WEIGTH_FACTOR
_8E9224BA1191CCDA	BFCA02	Crédito de Resistencia 2	un	el	Crédito de Resistencia 2		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 10 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_8E9224BA1101D0DB	BFCA03	Crédito de Resistencia 3	un	el	Crédito de Resistencia 3		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 16 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_8E9224BA11B1D8DC	BFCA04	Crédito de Resistencia 4	un	el	Crédito de Resistencia 4		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 20 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_8E9224BA1121DCDD	BFCA05	Crédito de Resistencia 5	un	el	Crédito de Resistencia 5		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 26 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_8E9224BA11D1E4DE	BFCA06	Crédito de Resistencia 6	un	el	Crédito de Resistencia 6		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 30 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_8E9224BA11E1ECDF	BFCA07	Crédito de Resistencia 7	un	el	Crédito de Resistencia 7		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 40 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_8E9224BA11F1F4E0	BFCA08	Crédito de Resistencia 8	un	el	Crédito de Resistencia 8		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 50 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_8E9224BA1161FCE1	BFCA09	Crédito de Resistencia 9	un	el	Crédito de Resistencia 9		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 66 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_736A4DC80A3C7E15	BFCA10	Crédito de Resistencia 10	un	el	Crédito de Resistencia 10		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 80 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_613200C383325EE8	BFCA11	Crédito de Resistencia 11	un	el	Crédito de Resistencia 11		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 100 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_613200C5C34262E8	BFCA12	Crédito de Resistencia 12	un	el	Crédito de Resistencia 12		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 120 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_613200C7035266E8	BFCA13	Crédito de Resistencia 13	un	el	Crédito de Resistencia 13		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 140 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_613200C944626AE8	BFCA14	Crédito de Resistencia 14	un	el	Crédito de Resistencia 14		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 160 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
_613200CB84726EE8	BFCA15	Crédito de Resistencia 15	un	el	Crédito de Resistencia 15		los	Consume una Resistencia de '$0STA_WEIGHT_FACTOR * peso del arma' - otorga 180 créditos.	Factor de consumo: $0STA_WEIGHT_FACTOR
