*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
-	BFPA01	Attaque par Défaut	une	l'	Attaques par Défaut	des	les	Brique de base pour toutes les actions de combats.	Brique de Combats - Attaque par Défaut
-	BFOA01	Coup Puissant	une	l'	Coups Puissants	des	les	Augmente les dégâts infligés par un coup.	Option Coup Puissant
-	BFOA02	Tir	un	le	Tirs	des	les	Augmente la cadence de tir	Augmente la cadence de tir
-	BFOA03	Attaque Précise	une	l'	Attaques Précises	des	les	Augmente la précision de l'attaque, réduit les chances d'esquives de l'ennemi. 	Option Attaque Précise
-	BFOA04	Hémorragie	une	l'	Hémorragies	des	les	Inflige une blessure ouverte causant une hémorragie - cause un dégât supplémentaire pendant 10s.	Option Hémorragie
-	BFMA01	Coup Puissant 1	une	l'	Coups Puissants 1	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 10.	Coup Puissant  1 - Facteur Max. : $1INC_DMG
-	BFMA02	Coup Puissant 2	une	l'	Coups Puissants 2	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 20.	Coup Puissant  2 - Facteur Max. : $1INC_DMG
-	BFMA03	Coup Puissant 3	une	l'	Coups Puissants 3	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 30.	Coup Puissant  3 - Facteur Max. : $1INC_DMG
-	BFMA04	Coup Puissant 4	une	l'	Coups Puissants 4	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 45.	Coup Puissant  4 - Facteur Max. : $1INC_DMG
-	BFMA05	Coup Puissant 5	une	l'	Coups Puissants 5	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 70.	Coup Puissant  5 - Facteur Max. : $1INC_DMG
-	BFMA06	Coup Puissant 6	une	l'	Coups Puissants 6	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 90.	Coup Puissant  6 - Facteur Max. : $1INC_DMG
-	BFMA07	Coup Puissant 7	une	l'	Coups Puissants 7	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 115.	Coup Puissant  7 - Facteur Max. : $1INC_DMG
-	BFMA08	Coup Puissant 8	une	l'	Coups Puissants 8	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 140.	Coup Puissant  8 - Facteur Max. : $1INC_DMG
-	BFMA09	Coup Puissant 9	une	l'	Coups Puissants 9	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 165.	Coup Puissant  9 - Facteur Max. : $1INC_DMG
-	BFMA10	Coup Puissant 10	une	l'	Coups Puissants 10	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 190.	Coup Puissant  10 - Facteur Max. : $1INC_DMG
-	BFMA11	Coup Puissant 11	une	l'	Coups Puissants 11	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 215.	Coup Puissant  11 - Facteur Max. : $1INC_DMG
-	BFMA12	Coup Puissant 12	une	l'	Coups Puissants 12	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 240.	Coup Puissant  12 - Facteur Max. : $1INC_DMG
-	BFMA13	Coup Puissant 13	une	l'	Coups Puissants 13	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 265.	Coup Puissant  13 - Facteur Max. : $1INC_DMG
-	BFMC01	Attaque Précise 1	une	l'	Attaques Précises 1	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 20. 	Attaque Précise 1 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC02	Attaque Précise 2	une	l'	Attaques Précises 2	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 35.	Attaque Précise 2 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC03	Attaque Précise 3	une	l'	Attaques Précises 3	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 50.	Attaque Précise 3 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC04	Attaque Précise 4	une	l'	Attaques Précises 4	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 65.	Attaque Précise 4 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC05	Attaque Précise 5	une	l'	Attaques Précises 5	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 90.	Attaque Précise 5 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC06	Attaque Précise 6	une	l'	Attaques Précises 6	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 115.	Attaque Précise 6 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC07	Attaque Précise 7	une	l'	Attaques Précises 7	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 140.	Attaque Précise 7 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC08	Attaque Précise 8	une	l'	Attaques Précises 8	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 170.	Attaque Précise 8 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC09	Attaque Précise 9	une	l'	Attaques Précises 9	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 200.	Attaque Précise 9 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC10	Attaque Précise 10	une	l'	Attaques Précises 10	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 235.	Attaque Précise 10 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMC11	Attaque Précise 11	une	l'	Attaques Précises 11	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 275.	Attaque Précise 11 - Bonus de Compétences :  +$1ATT_SKILL_MOD
-	BFMD01	Hémorragie 1	une	l'	Hémorragies 1	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 25.	Hémorragie 1 - Facteur Max. : $2BLEED_FACTOR
-	BFMD02	Hémorragie 2	une	l'	Hémorragies 2	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 35.	Hémorragie 2 - Facteur Max. : $2BLEED_FACTOR
-	BFMD03	Hémorragie 3	une	l'	Hémorragies 3	des	les	Cause une hémorragie supplémentaire (basée sur les dégâts infligés lors du coup initial) pendant 10s - efficacité maximum pour une arme dont le niveau n'excède pas 50.	Hémorragie 3 - Facteur Max. : $2BLEED_FACTOR
