*HASH_VALUE	sbrick ID	name	description	description2
_C9391E419A297CBA	BFPA01	Базовая атака	Базовая станза для всех боевых действий.	Базовая станза атаки
_57489F29E1668F3C	BFOA01	Повышенный урон	Увеличивает повреждения, нанесенные ударом.	Эффект повышения урона
_4A8C98814E07227B	BFOA02	Скорострельность	Повышает скорострельность оружия.	Эффект повышения скорострельности
_C3B593B0C08CCA25	BFOA03	Прицельная атака	Повышает точность атаки, снижает вероятность того, что противнику удастся уклониться от удара.	Эффект прицельной атаки
_CB5EC48119F69464	BFOA04	Кровотечение	Наносит противнику открытую кровоточащую рану, уменьшающую его здоровье в течение 10 последующих секунд.	Эффект кровотечения
_8AEA768F779806A6	BFMA01	Повышенный урон 1	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 10.	Повышенный урон 1 - Максимальный фактор $1INC_DMG
_CAEA769077A80AA6	BFMA02	Повышенный урон 2	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 20.	Повышенный урон 2 - Максимальный фактор $1INC_DMG
_0AEA769177B80EA6	BFMA03	Повышенный урон 3	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 30.	Повышенный урон 3 - Максимальный фактор $1INC_DMG
_4BEA769277C812AB	BFMA04	Повышенный урон 4	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 45.	Повышенный урон 4 - Максимальный фактор $1INC_DMG
_0BEA769377D816A6	BFMA05	Повышенный урон 5	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 70.	Повышенный урон 5 - Максимальный фактор $1INC_DMG
_8CEA769477E81AA6	BFMA06	Повышенный урон 6	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 90.	Повышенный урон 6 - Максимальный фактор $1INC_DMG
_495B68D1F0657248	BFMA07	Повышенный урон 7	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 115.	Повышенный урон 7 - Максимальный фактор $1INC_DMG
_495B6CD1F075624B	BFMA08	Повышенный урон 8	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 140.	Повышенный урон 8 - Максимальный фактор $1INC_DMG
_495B70D1F0857A4D	BFMA09	Повышенный урон 9	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 165.	Повышенный урон 9 - Максимальный фактор $1INC_DMG
_C0FC365233B89470	BFMA10	Повышенный урон 10	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 190.	Повышенный урон 10 - Максимальный фактор $1INC_DMG
_00FC365273087871	BFMA11	Повышенный урон 11	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 215.	Повышенный урон 11 - Максимальный фактор $1INC_DMG
_40FC3652B3B88871	BFMA12	Повышенный урон 12	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 240.	Повышенный урон 12 - Максимальный фактор $1INC_DMG
_80FC3652F3089471	BFMA13	Повышенный урон 13	Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 265.	Повышенный урон 13 - Максимальный фактор $1INC_DMG
_23BA3FF35F020E04	BFMC01	Прицельный удар 1	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 20.	Прицельный удар 1 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_63BA3FF45F121209	BFMC02	Прицельный удар 2	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 35.	Прицельный удар 2 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_E4BA3FF55F221604	BFMC03	Прицельный удар 3	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 50.	Прицельный удар 3 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_24BA3FF65F321A09	BFMC04	Прицельный удар 4	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 65.	Прицельный удар 4 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_E5BA3FF75F421E04	BFMC05	Прицельный удар 5	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 90.	Прицельный удар 5 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_C677ECF0589C8F7C	BFMC06	Прицельный удар 6	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 115.	Прицельный удар 6 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_C677F0F058AC7F7F	BFMC07	Прицельный удар 7	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 140.	Прицельный удар 7 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_C677F4F058BC8382	BFMC08	Прицельный удар 8	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 170.	Прицельный удар 8 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_0677F8F058CC877B	BFMC09	Прицельный удар 9	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 200.	Прицельный удар 9 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_F17C7AE52A9D5E15	BFMC10	Прицельный удар 10	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 235.	Прицельный удар 10 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
