*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
_C9391E419A297CBA	BFPA01	Default attack	a	the			the	The base brick for all combat actions.	Brick Fight Default attack
_57489F29E1668F3C	BFOA01	Increase Damage	a	the			the	Accroit les dommages infligés par le coup.	Increase Damage Option
_4A8C98814E07227B	BFOA02	Hit Rate	a	the			the	Augmente la cadence de tir	Augmente la cadence de tir
_C3B593B0C08CCA25	BFOA03	Accurate Attack	a	the			the	Accroit la précision du coup, réduit les chances d'esquive de l'ennemi.	Accurate Attack Option
_CB5EC48119F69464	BFOA04	Bleeding	a	the			the	Inflige une blessure ouverte causant une hémorragie - cause des dommages supplémentaires pendant 10s.	Bleeding Option
_8AEA768F779806A6	BFMA01	Increase Damage 1	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 10 de compétence recommandée.	Increase Damage 1 - Max Factor : $1INC_DMG
_CAEA769077A80AA6	BFMA02	Increase Damage 2	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 20 de compétence recommandée.	Increase Damage 2 - Max Factor : $1INC_DMG
_0AEA769177B80EA6	BFMA03	Increase Damage 3	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 30 de compétence recommandée.	Increase Damage 3 - Max Factor : $1INC_DMG
_4BEA769277C812AB	BFMA04	Increase Damage 4	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 45 de compétence recommandée.	Increase Damage 4 - Max Factor : $1INC_DMG
_0BEA769377D816A6	BFMA05	Increase Damage 5	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 70 de compétence recommandée.	Increase Damage 5 - Max Factor : $1INC_DMG
_8CEA769477E81AA6	BFMA06	Increase Damage 6	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 90 de compétence recommandée.	Increase Damage 6 - Max Factor : $1INC_DMG
_495B68D1F0657248	BFMA07	Increase Damage 7	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 115 de compétence recommandée.	Increase Damage 7 - Max Factor : $1INC_DMG
_495B6CD1F075624B	BFMA08	Increase Damage 8	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 140 de compétence recommandée.	Increase Damage 8 - Max Factor : $1INC_DMG
_495B70D1F0857A4D	BFMA09	Increase Damage 9	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 165 de compétence recommandée.	Increase Damage 9 - Max Factor : $1INC_DMG
_C0FC365233B89470	BFMA10	Increase Damage 10	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 190 de compétence recommandée.	Increase Damage 10 - Max Factor : $1INC_DMG
_00FC365273087871	BFMA11	Increase Damage 11	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 215 de compétence recommandée.	Increase Damage 11 - Max Factor : $1INC_DMG
_40FC3652B3B88871	BFMA12	Increase Damage 12	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 240 de compétence recommandée.	Increase Damage 12 - Max Factor : $1INC_DMG
_80FC3652F3089471	BFMA13	Increase Damage 13	a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 265 de compétence recommandée.	Increase Damage 13 - Max Factor : $1INC_DMG
_23BA3FF35F020E04	BFMC01	Accurate Attack 1	a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 20 de compétence recommandée.	Accurate attack 1 - Max skill bonus : +$1ATT_SKILL_MOD
