*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description
_D114DE6B770B08D3	abf01	Default Attack		a	the				Default combat action.
_81948476F7C02C12	aBFMA01	Increase Damage 1		an	the				Increases damage to up to double - maximum efficiency for a skill level of 10.
_8194847637E02C12	aBFMA02	Increase Damage 2		an	the				Increases damage to up to double - maximum efficiency for a skill level of 20.
_819484A477002C12	aBFMA03	Increase Damage 3		an	the				Increases damage to up to double - maximum efficiency for a skill level of 30.
_819484A4F9202C12	aBFMA04	Increase Damage 4		an	the				Increases damage to up to double - maximum efficiency for a skill level of 45.
_819484A4F8602C12	aBFMA05	Increase Damage 5		an	the				Increases damage to up to double - maximum efficiency for a skill level of 70.
_819484A438902C12	aBFMA06	Increase Damage 6		an	the				Increases damage to up to double - maximum efficiency for a skill level of 90.
_81943CABB8202C12	aBFMA07	Increase Damage 7		an	the				Increases damage to up to double - maximum efficiency for a skill level of 115.
_81943CA6BA302C12	aBFMA08	Increase Damage 8		an	the				Increases damage to up to double - maximum efficiency for a skill level of 140.
_81943CAB7A402C12	aBFMA09	Increase Damage 9		an	the				Increases damage to up to double - maximum efficiency for a skill level of 165.
_DDFF719D0E9B530E	aBFMA10	Increase Damage 10		an	the				Increases damage to up to double - maximum efficiency for a skill level of 190.
_DDFF85964EAB530E	aBFMA11	Increase Damage 11		an	the				Increases damage to up to double - maximum efficiency for a skill level of 215.
_DDFF719A4EBB530E	aBFMA12	Increase Damage 12		an	the				Increases damage to up to double - maximum efficiency for a skill level of 240.
_DDFF859D4ECB530E	aBFMA13	Increase Damage 13		an	the				Increases damage to up to double - maximum efficiency for a skill level of 265.
_2E67673587860FDF	aBFMC01	Accurate Attack 1		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 20.
_2E67673508A60FDF	aBFMC02	Accurate Attack 2		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 35.
_2E67673507D60FDF	aBFMC03	Accurate Attack 3		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 50.
_2E67673589F60FDF	aBFMC04	Accurate Attack 4		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 65.
_2E67673588360FDF	aBFMC05	Accurate Attack 5		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 90.
_2E671F3C08C60FDF	aBFMC06	Accurate Attack 6		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 115.
_2E671F3709D60FDF	aBFMC07	Accurate Attack 7		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 140.
_2E671F370AE60FDF	aBFMC08	Accurate Attack 8		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 170.
_2E671F3789060FDF	aBFMC09	Accurate Attack 9		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 200.
_F1024ED620BDADB2	aBFMC10	Accurate Attack 10		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 235.
_F1024EDB20CDADB2	aBFMC11	Accurate Attack 11		an	the				Reduces the chance of your enemy dodging -  maximum efficiency for a weapon with a recommended level of 275.
