*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description
_D114DE6B770B08D3	abf01	Attaque par Défaut		une	l'\d	Attaques par Défaut	des	les	Action de combat par défaut
_81948476F7C02C12	aBFMA01	Coup Puissant 1		une	la	Coups Puissants 1	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 10.
_8194847637E02C12	aBFMA02	Coup Puissant 2		une	la	Coups Puissants 2	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 20.
_819484A477002C12	aBFMA03	Coup Puissant 3		une	la	Coups Puissants 3	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 30.
_819484A4F9202C12	aBFMA04	Coup Puissant 4		une	la	Coups Puissants 4	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 45.
_819484A4F8602C12	aBFMA05	Coup Puissant 5		une	la	Coups Puissants 5	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 70.
_819484A438902C12	aBFMA06	Coup Puissant 6		une	la	Coups Puissants 6	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 90.
_81943CABB8202C12	aBFMA07	Coup Puissant 7		une	la	Coups Puissants 7	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 115.
_81943CA6BA302C12	aBFMA08	Coup Puissant 8		une	la	Coups Puissants 8	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 140.
_81943CAB7A402C12	aBFMA09	Coup Puissant 9		une	la	Coups Puissants 9	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 165.
_DDFF719D0E9B530E	aBFMA10	Coup Puissant 10		une	la	Coups Puissants 10	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 190.
_DDFF85964EAB530E	aBFMA11	Coup Puissant 11		une	la	Coups Puissants 11	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 215.
_DDFF719A4EBB530E	aBFMA12	Coup Puissant 12		une	la	Coups Puissants 12	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 240.
_DDFF859D4ECB530E	aBFMA13	Coup Puissant 13		une	la	Coups Puissants 13	des	les	Augmente les dégâts (jusqu'à les doubler) - efficacité maximum pour un niveau de compétence recommandé de 265.
_2E67673587860FDF	aBFMC01	Attaque Précise 1		une	l'\d	Attaques Précises 1	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dotée d'un niveau de compétence recommandé de 20.
_2E67673508A60FDF	aBFMC02	Attaque Précise 2		une	l'\d	Attaques Précises 2	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dotée d'un niveau de compétence recommandé de 35.
_2E67673507D60FDF	aBFMC03	Attaque Précise 3		une	l'\d	Attaques Précises 3	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dotée d'un niveau de compétence recommandé de 50.
