*HASH_VALUE	title_id	name	women_name
-	gn_apprentice_tracer	Apprentice Tracer	
-	gn_bandit_bountybeaches_1	Blood Rooters	
-	gn_bandit_bountybeaches_2	Bounty Snatchers	
-	gn_bandit_bountybeaches_3	Infamous Five	
-	gn_bandit_citiesofintuition_1	Birds of Omen	
-	gn_bandit_citiesofintuition_2	Zora Kovans	
-	gn_bandit_citiesofintuition_3	Eyes of Intuition	
-	gn_bandit_dunesofexil_1	Ridge Ravagers	
-	gn_bandit_dunesofexil_2	Waylayers	
-	gn_bandit_dunesofexil_3	Dyron Dragons	
-	gn_bandit_dunesofexil_4	Firebooters	
-	gn_bandit_enchantedisle_1	Tyler's Rippers	
-	gn_bandit_enchantedisle_2	Magicians of Malice	
-	gn_bandit_enchantedisle_3	Bucking Mektoubs	
-	gn_bandit_fleetinggarden_1	Green Ravishers	
-	gn_bandit_fleetinggarden_2	Deadened Eyes	
-	gn_bandit_fleetinggarden_3	High Watchers	
-	gn_bandit_fleetinggarden_4	Fleeting Lords	
-	gn_bandit_fleetinggarden_5	Seed Addicts	
-	gn_bandit_forbidden_depths_1	Eva's Empalers	
-	gn_bandit_forbidden_depths_2	Slicers	
-	gn_bandit_forbidden_depths_3	Beastie Bandits	
-	gn_bandit_forbidden_depths_4	Dragon Dodgers	
-	gn_bandit_frahartowers_1	Canyon Creepers	
-	gn_bandit_frahartowers_2	Stunning Stavons	
-	gn_bandit_frahartowers_3	Swords of Fury	
-	gn_bandit_frahartowers_4	Frahar Blazers	
-	gn_bandit_gate_of_obscurity_1	Heart Breakers	
-	gn_bandit_gate_of_obscurity_2	Merchants of Terror	
-	gn_bandit_gate_of_obscurity_3	Valley Busters	
-	gn_bandit_gate_of_obscurity_4	Scarlet Loafers	
-	gn_bandit_groveofconfusion_1	Madding Maids	
-	gn_bandit_groveofconfusion_2	Grove Tyrants	
-	gn_bandit_groveofconfusion_3	Slashing Slathes	
-	gn_bandit_groveofumbra_1	Killer Queens	
-	gn_bandit_groveofumbra_2	Spleen Busters	
-	gn_bandit_groveofumbra_3	Black Lams	
-	gn_bandit_groveofumbra_4	Dare Doers	
-	gn_bandit_havenofpurity_1	Skelter Punks	
-	gn_bandit_havenofpurity_2	Homin Hounders	
-	gn_bandit_havenofpurity_3	Flights of Fury	
-	gn_bandit_hereticshovel_1	Channel Gaugers	
-	gn_bandit_hereticshovel_2	Heathens of the Hovel	
-	gn_bandit_hereticshovel_3	Hovel Spooks	
-	gn_bandit_hiddensource_1	Spoilers	
-	gn_bandit_hiddensource_2	Hell Raisers	
-	gn_bandit_hiddensource_3	Jena's Cuss	
-	gn_bandit_imperialdunes_1	Eye of the Dragon	
-	gn_bandit_imperialdunes_2	Dune Stalkers	
-	gn_bandit_imperialdunes_3	Pyr Crushers	
-	gn_bandit_imperialdunes_4	Pagans of Pyr	
-	gn_bandit_knollofdissent_1	Border Raiders	
-	gn_bandit_knollofdissent_2	Casters of Dissent	
-	gn_bandit_knollofdissent_3	Highcliff Riders	
-	gn_bandit_knollofdissent_4	Cutthroats	
-	gn_bandit_knollofdissent_5	Thrashers	
-	gn_bandit_knollofdissent_6	Firebooters	
-	gn_bandit_knotofdementia_1	Browbeat Brothers	
-	gn_bandit_knotofdementia_2	Zora's Thorn	
-	gn_bandit_knotofdementia_3	Zora Springers	
-	gn_bandit_lagoonsofloria_1	Swamp Slouchers	
-	gn_bandit_lagoonsofloria_2	Lagoon Fylers	
-	gn_bandit_lagoonsofloria_3	Diller's Mates	
-	gn_bandit_lagoonsofloria_4	Mire Mates	
-	gn_bandit_lagoonsofloria_5	Damning Dames	
-	gn_bandit_lagoonsofloria_6	Seven Swords of Sin	
-	gn_bandit_libertylake_1	Liberty Pirates	
-	gn_bandit_libertylake_2	Crystabell Skinners	
-	gn_bandit_libertylake_3	Friends of Fury	
-	gn_bandit_maidengrove_1	Shadow Bandits	
-	gn_bandit_maidengrove_2	Plain Scourers	
-	gn_bandit_maidengrove_3	Lake Loafers	
-	gn_bandit_majesticgarden_1	Wrath of Natae	
-	gn_bandit_majesticgarden_2	Turn of the Tide	
-	gn_bandit_majesticgarden_3	Davae's Clutch	
-	gn_bandit_majesticgarden_4	Avalae Charmers	
-	gn_bandit_majesticgarden_5	Border Blights	
-	gn_bandit_nexus_1	Rebels of the West	
-	gn_bandit_nexus_2	Highwatchers	
-	gn_bandit_nexus_3	Nexus Stranglers	
-	gn_bandit_nexus_4	Casters of the Knot	
-	gn_bandit_oflovaksoasis_1	Dragon Breath	
-	gn_bandit_oflovaksoasis_2	Shadow Riders	
-	gn_bandit_oflovaksoasis_3	Dragonfire Angels	
-	gn_bandit_oflovaksoasis_4	Hothead Hackers	
-	gn_bandit_outlawcanyon_1	Canyon Outlaws	
-	gn_bandit_outlawcanyon_2	Fighting Flames	
-	gn_bandit_outlawcanyon_3	Buccaneers	
-	gn_bandit_sawdustmines_1	Vinni's Rapiers	
-	gn_bandit_sawdustmines_2	Bone Breakers	
-	gn_bandit_sawdustmines_3	Bandits of the Wooded Dunes	
-	gn_bandit_the_abyss_of_ichor_1	Death Mongers	
-	gn_bandit_the_abyss_of_ichor_2	Slayers of Ichor	
-	gn_bandit_the_abyss_of_ichor_3	Sentinels of the Sap	
-	gn_bandit_the_abyss_of_ichor_4	Marauders	
-	gn_bandit_the_elusive_forest_1	Flaxen Fiends	
-	gn_bandit_the_elusive_forest_2	Brown Braves	
-	gn_bandit_the_elusive_forest_3	Green Grief	
-	gn_bandit_the_land_of_continuty_1	Shadow Zoners	
-	gn_bandit_the_land_of_continuty_2	Prime Root Princes	
-	gn_bandit_the_land_of_continuty_3	Cavern Cranks	
-	gn_bandit_the_land_of_continuty_4	Dragon Dudes	
-	gn_bandit_the_land_of_continuty_5	Diehard Ditchers	
-	gn_bandit_the_sunken_city_1	Soul Sisters	
-	gn_bandit_the_sunken_city_2	Rattlers	
-	gn_bandit_the_sunken_city_3	Ripping Jaks	
-	gn_bandit_the_sunken_city_4	Loving Goo-drops	
-	gn_bandit_the_trench_of_trials_1	Blasters	
-	gn_bandit_the_trench_of_trials_2	Highland Heathens	
-	gn_bandit_the_trench_of_trials_3	Bigmount Bandits	
-	gn_bandit_the_under_spring_1	Underspring Lynchers	
-	gn_bandit_the_under_spring_2	Cooky's Cranks	
-	gn_bandit_the_under_spring_3	Spooky Stavons	
-	gn_bandit_the_under_spring_4	Silencers	
-	gn_bandit_the_windy_gate_1	Heartbreak Babes	
-	gn_bandit_the_windy_gate_2	Windy Gate Wipers	
-	gn_bandit_the_windy_gate_3	Spirit Catchers	
-	gn_bandit_thefount_1	Prakkers	
-	gn_bandit_thefount_2	Fount Gaffers	
-	gn_bandit_thefount_3	Flibusters of the Fount	
-	gn_bandit_thefount_4	Liberty Rangers	
-	gn_bandit_thesavagedunes_1	Wicked of the Woods	
-	gn_bandit_thesavagedunes_2	Savage Slashers	
-	gn_bandit_thesavagedunes_3	Canal Daggers	
-	gn_bandit_thesavagedunes_4	Thieves of Thesos	
-	gn_bandit_thescorchedcorridor_1	Underground Slicers	
-	gn_bandit_thescorchedcorridor_2	Tunnel Hounds	
-	gn_bandit_thescorchedcorridor_3	Alleyway Strays	
-	gn_bandit_thevoid_1	Underwood Rebels	
-	gn_bandit_thevoid_2	Goo Grapplers	
-	gn_bandit_thevoid_3	Villains of the Void	
-	gn_bandit_upperbog_1	Sap Rakers	
-	gn_bandit_upperbog_2	Bushwhacks	
-	gn_bandit_upperbog_3	Stalia Rovers	
-	gn_bandit_windsofmuse_1	Muse Tumblers	
-	gn_bandit_windsofmuse_2	Cliff Tanners	
-	gn_bandit_windsofmuse_3	Muse Muggers	
-	gn_bandit_windsofmuse_4	Wicked Winds of the West	
-	gn_class_apprentice_trader	Händler-Lehrling	Händler-Lehrling
-	gn_class_arcane_apprentice	erfahrener Elitemagier	erfahrene Elitemagierin
-	gn_class_arcane_master	hochrangiger Elitemagier	hochrangige Elitemagierin
-	gn_class_archery_lord	altgedienter starker Schütze	altgediente starke Schützin
-	gn_class_archery_master	erfahrener starker Schütze	erfahrene starke Schützin
-	gn_class_archery_recruit	junger starker Schütze	junge starke Schützin
-	gn_class_assassin	mächtiger Schütze	mächtige Schützin
-	gn_class_bodyguard	Eskorte	Eskorte
-	gn_class_bowmen	junger regulärer Schütze	junge reguläre Schützin
