bot name	translated name	sheet_name
agora 1		
ammo		
ammo shop		
ancient_dryads_mission_giver		
archery lord		
Armor		
armor shop		
armour plan		
armour shop		
bar		
Barrack		
barrack guard		
Building		
Building 26		
camp 1		
camp 2		
Chief		
Chief Village A		
city hall		
clerics		
cure expert		
cure expert 2		
Cute		
cutthroath		
dancer		
darkening_sap_mission_giver		
ecowarriors_mission_giver		
faber		
FABER GUILD		
fyros master		
Gate		
Gate Guard		
Gibbai		
guards 0		
guards_0		
guards_1		
guards_2		
guards_3		
guards_4		
guards_5		
guards_6		
guards_7		
guards_8		
hall		
Harmor		
harvest		
HARVESTER GUILD		
Hunter		
Jewel		
jewel shop		
jewels		
karavan group		
karavan soldiers		
kitin_threat_1_mission_giver		
kitin_threat_2_mission_giver		
kitin_threat_3_mission_giver		
kitin_threat_4_mission_giver		
LArmor		
magic attack		
MAGIC ATTACK GUILD		
magic buff		
MAGIC BUFFER GUILD		
Magic Heal		
MAGIC HEALER GUILD		
magician 2		
magician 3		
magician 4		
magician 5		
magician1		
magicians		
magicians 2		
Marmor		
matis master		
matisconvoy		
mektub grp		
Melee		
Melee guild		
MELEE WEAPON GUILD		
Merchant		
Mid Cross Patrol		
Module 1		
Module 2		
Monastery		
Monk barrack		
npc_group_1		
npc_group_2		
npc_group_3		
Patrol		
Patrol Group 1		
Patrol Group 2		
Patrol Group 3		
Patrol Group 4		
Patrol Group 5		
Range		
Range guild		
RANGE WEAPON GUILD		
Renfort		
Renfort2		
Renfort3		
RM		
rm shop		
Rome		
sacred_sap_mission_giver		
sergents		
Shield		
shield shop		
shields		
Ship		
Ship 3		
Ship 4		
slashnburn_mission_giver		
sorcerers		
South Cross Patrol		
stable		
surgeons		
Tool		
tool shop		
tools and tp		
trader		
TRADER GUILD		
trainer		
Tribe of the Green Seed		
tryker master		
village A convoy		
village B convoy		
Wanderer Patrol 1		
Wanderer Patrol 2		
Wanderer Patrol 3		
Wanderer Patrol Chief		
weapon plans		
weapon shop		
woven bridles_mission_giver		
zorai master		
FYROS_MASTER_ATTACK_CASTER - kafa 6		
karavan_teleport		
ZORAI_SHIELD		
FYROS_PLAN_JEWEL		
FYROS_PLAN_RANGE_WEAPON		
group1		
MATIS_HARMOR - fyfa 10		
MATIS_LARMOR - fyfa 12		
MATIS_MARMOR - fyfa 11		
MATIS_PLAN_JEWEL - fyfa 4		
MATIS_PLAN_RANGE_WEAPON - fyfc 1		
MEKTOUB_MOUNT_JUNGLE - fyfa 3		
MEKTOUB_MOUNT_LAKE - fyfa 2		
MEKTOUB_MOUNT_PRIME_ROOTS - fyfa 1		
RELEVE GUARD A		
RELEVE GUARD A 2		
TRYKER_HARMOR - fyfc 7		
TRYKER_LARMOR - fyfc 9		
TRYKER_MARMOR - fyfc 8		
TRYKER_PLAN_JEWEL - fyfc 1		
ZORAI_LARMOR - fyfu 6		
ZORAI_PLAN_JEWEL - fyfa 2		
ZORAI_PLAN_RANGE_WEAPON - fyfu 3		
FYROS_HARMOR - fyhc 1		
FYROS_LARMOR - fyha 3		
FYROS_MARMOR - fyhc 2		
FYROS_MASTER_MELEE_FIGHTER - fyhc 8		
FYROS_MASTER_RANGE_FIGHTER - fyhu 7		
FYROS_PLAN_MELEE_WEAPON - fyha 6		
FYROS_SHIELD - fyhu 7		
group0		
MATIS_PLAN_MELEE_WEAPON - fyha 5		
MATIS_SHIELD - fyhc 8		
RELEVE GUARD B		
RELEVE GUARD B 2		
throwing_adept		
throwing_expert		
throwing_master		
TRYKER_PLAN_MELEE_WEAPON - fyhc 8		
TRYKER_PLAN_RANGE_WEAPON - fyha 4		
ZORAI_HARMOR - fyha 4		
ZORAI_MARMOR - fyha 5		
ZORAI_PLAN_MELEE_WEAPON - fyhc 7		
FYROS_MASTER_HEALER_CASTER - kaha 5		
karavan		
Karavan Guard		
Karavan Soldier		
Karavan Teleporter	$gn_Karavan_Teleporter$	
TRYKER_SHIELD - kaha 5		
conscript		
diplomat		
forager	$gn_forager$	
gunmen		
milician		
recruit		
aefemae		
aela		
aelae		
aelaexvla	Sirgio Bechini	maha1mid
aelva		
aemae	Sirgio Antochini	mafa1_b
aemsa	Lini Ciochini	mafa2old
aenae		
aesa	Lini Linio	mafa1mid
aeta		
aetfa		
aetna	Lini Ciopi	matis_guard_m_h
aetta	Sirgio Anigno	matis_guard_m_f
aevfa	Varo Anisti	matis_guard_m_f
aevmae		
aexftae	Varo Benti	mafc3old
aexxae	Varo Frello	mafa1
aezae		
aezllae	Sirgio Chianti	mahc3
aezna	Lini Antollo	mafa2
Aezus		
afzae		
alazxa	Sirgio Cuisi	matis_guard_m_f
allamus		
almaxa	Sirgio Chiazzo	matis_guard_m_f
altava		
amae	Lini Beldo	matis_guard_m_f
amfae	Lini Frecco	matis_guard_m_f
ammae	Sirgio Beni	mafc1mid
amtae		
ana	Lini Lilli	matis_guard_m_f
annataui	Varo Cuildo	matis_guard_m_h
anxae	Sirgio Bechio	mafc1
archery master		
asatae		
asnae	Lini Aninio	matis_guard_m_f
atasae	Varo Cinia	matis_guard_m_f
ataxisus	Sirgio Frenti	mafc1
atma	Lini Antoldo	mafc1mid
atza		
avalae	Varo Girinia	mafc1
avma	Varo Antoldo	matis_guard_m_h
avmae		
axilialli	Varo Ligno	mafc1
axsys	Sirgio Lindi	matis_guard_m_f
axxa	Varo Anizzo	matis_guard_m_f
azaexsa		
azsa	Sirgio Ciorinia	mafc1mid
azzma	Varo Antodo	matis_guard_m_h
berthus	Sirgio Cuirello	matis_guard_m_h
buffer_rolemaster		
charm_adept		
citizens		
citizens 1		
citizens 2		
citizens 3		
cleric		
CTOOL - mafc2		
doctor		
eafla	Sirgio Bezzo	matis_guard_m_f
ealenla		
ealnae		
ealsa		
eama	Sirgio Cionio	mafa1_b
eamana	Lini Anidi	mafa1
eanala		
easla	Varo Chianti	matis_guard_m_h
eassa	Lini Antosi	matis_guard_m_f
easssa	Sirgio Cigno	mafc2
easta		
easza		
eatllae	Lini Anildo	mafc2
eatma		
eatmae	Sirgio Anirello	matis_guard_m_f
eatzzta	Varo Anidera	mafa1
eava	Varo Civaldo	mafa2
eavfae		
eavma	Varo Ciono	mafa1old
eaxa	Varo Antobi	matis_guard_m_h
eaxae	Lini Anindi	mafc1
eazfae	Varo Ciochini	mafa1
efa	Lini Chialo	matis_guard_m_h
efae	Sirgio Frebi	mafa3_b
efamsa	Sirgio Cipi	mafa1
efealntae	Sirgio Ciorello	mafu1
efefla	Sirgio Fresi	mafc1mid
effae	Sirgio Ciobi	matis_guard_m_h
elaemanva		
elmae		
elna	Sirgio Frerello	matis_guard_m_f
elva	Varo Cuizzo	mafa3mid
elyus	Varo Ciodi	matis_guard_m_h
emae		
emammae		
emaza	Sirgio Cuinti	mafc1
emmata	Varo Frechio	matis_guard_m_h
emza		
enae		
enaemza		
enamxxa		
enamzma		
enefza		
enevefae		
enfa		
enmae	Sirgio Ciodera	mafa1
enmavnma	Varo Frebi	matis_guard_m_h
ensela		
enttna	Sirgio Anizzo	matis_guard_m_h
esatae		
esla		
etae	Varo Cidi	mafc1
etafta		
etenae	Sirgio Bello	mafa2mid
etfae	Lini Cuirello	mafa1
etsamma		
eva	Varo Besti	matis_guard_m_h
evae	Sirgio Gichio	matis_guard_m_f
evazva		
evlta		
exatma	Lini Belo	matis_guard_m_h
exema	Lini Frelli	matis_guard_m_h
exexa	Sirgio Gicco	matis_guard_m_h
exmae	Lini Gisti	matis_guard_m_h
exmenae	Varo Gigno	mafa1
extae	Varo Frelli	matis_guard_m_f
exva	Varo Chiagno	matis_guard_m_h
eza	Varo Ciopi	matis_guard_m_f
ezae		
ezlae	Varo Cuino	matis_guard_m_f
ezzzae		
famae		
fanae	Varo Cuindi	mafa1
fannlae		
fasma		
fattae	Varo Chialo	matis_guard_m_f
favxae	Lini Ligno	maha1mid
fazma		
felae	Lini Lichio	matis_guard_m_f
feslae	Sirgio Frelo	matis_guard_m_h
fexvae		
fezzma		
fighter		
fsammva	Varo Frelo	mahc1mid
fvema	Sirgio Gido	maha2old
fvezae		
FYROS_AMMO - mafc 5		
FYROS_MASTER_BUFFER_CASTER - mafa 4		
FYROS_MASTER_FABER - mafa 3		
FYROS_MASTER_HARVESTER - mafc 1		
FYROS_MASTER_TRADER - mafa 2		
guards		
guards_village_doors		
HTOOL - mafc3		
imotius	Sirgio Antoldo	matis_guard_m_h
lae	Sirgio Cuichini	mafc1
lalamus	Lini Anibi	mafc1
lalusisu	Sirgio Bedo	mafc1
lasmma		
laxa		
leanmsa		
leatenza	Sirgio Frepi	matis_guard_m_f
leaza		
lesxxa	Lini Lido	matis_guard_m_h
levae		
lexxtfa	Varo Ciollo	matis_guard_m_f
lezae		
lmata		
lxeafta	Lini Berello	mafc1old
mae	Varo Fredi	matis_guard_m_h
magic_attack_rolemaster		
mahazzza	Varo Cibi	matis_guard_m_h
mansae	Lini Ciolli	matis_guard_m_f
MATIS_AMMO - mafa 8		
MATIS_MASTER_ATTACK_CASTER - mafu 6		
MATIS_MASTER_MELEE_FIGHTER - mafc 8		
MATIS_MASTER_RANGE_FIGHTER - mafc 7		
matma	Sirgio Fredera	matis_guard_m_h
matmaulus	Varo Gidera	mafc1
maxnla	Varo Chialdo	matis_guard_m_h
maylius	Sirgio Anirini	matis_guard_m_h
meafsa		
menaxa		
menva		
metfzae	Sirgio Cuivaldo	mafa3
mezzemtlae	Varo Anichini	mafc1mid
mnaefza		
mnenltae	Sirgio Bedi	mafa1old
mtamtta		
mzalnae	Lini Ginia	mafa3_c
naemalis	Lini Fredo	matis_guard_m_f
naffae		
nalma	Sirgio Chiasi	mafc1mid
nanftae	Varo Freni	matis_guard_m_f
nassae		
nefefae		
nena		
nesesna		
netvsa	Sirgio Chiarinia	maha3old
nufatyus	Lini Cinia	matis_guard_m_h
nxazalvfa	Lini Berini	maha2mid
professional		
saeta		
sanaevnae		
satnfa		
seavae		
sergent		
sesfezae		
seslfna	Lini Frezzo	mahc3
setae	Lini Ciosti	mafa1old
setasa		
seva		
sevae	Varo Cizzo	mafc1
sezaenla	Sirgio Belli	mahc1mid
sfameavnva	Lini Ciochio	maha1
sfeanla		
shoting_elite		
taenmla		
taetsae		
talli	Lini Bebi	mafc1
taxxxus	Lini Cinti	mafc1
teazenta		
teffa	Lini Anisti	mafa2_b
tenva		
texae	Sirgio Ginio	maha3
tnenvae		
trader_rolemaster		
TRYKER_AMMO - mafa 7		
tsesxa	Lini Lildo	mahc3old
TTOOL - mafu1		
utetys	Lini Cillo	matis_guard_m_h
vaefxae	Lini Cichini	mafa1_b
vaxa	Sirgio Cicco	matis_guard_m_f
Vaxanyus		
vealnxa		
veata		
vellna		
velsla		
vemata		
vtelta	Sirgio Anido	matis_guard_m_f
xatta		
xeata		
xetae		
xettaana	Lini Benti	matis_guard_m_f
xetza		
xmava		
ymyus		
yttvzus	Varo Beldo	mahc1
yunsys	Varo Cuinia	mafu1
zalxxna		
zameassa		
zaxnva		
zeamlyus	Sirgio Aninti	matis_guard_m_h
zeazae		
zelezta	Lini Cilli	mafa3
zemzfae		
zenae		
zevla		
zfelae		
zneanvae		
ZORAI_AMMO - mafa 6		
zxmuxyus	Varo Anipi	mahc2_b
aefys		
aefyus		
aefzsus		
aelafnnus		
aelyfnus		
aemvsus	Lini Frenio	mahc3
aemyus		
aevyus	Varo Cisti	mahc1
aexa	Varo Chiarinia	matis_guard_m_f
aezlus	Lini Cuibi	matis_guard_m_f
aftlus	Lini Gillo	matis_guard_m_h
afuzsus		
afvys	Lini Cini	matis_guard_m_h
afys	Sirgio Frendi	matis_guard_m_h
afyus	Sirgio Chiasti	maha2mid
agora		
alisisu		
alsuzus	Sirgio Antorinia	matis_guard_m_h
alsys		
altsyus	Lini Chiasti	matis_guard_m_h
altys	Lini Ciondi	matis_guard_m_h
alzyus	Lini Gisi	matis_guard_m_h
Amanys		
ammo_merchant		
ammvys	Lini Gizzo	mahc1
ammyus		
amokhus	Sirgio Cisi	matis_guard_m_h
amsnmys	Lini Ciodo	matis_guard_m_h
amxyus	Anibre Anichini	matis_guard_m_h
amyus		
anenfys	Varo Cuillo	matis_guard_m_h
anmys	Sirgio Cibi	matis_guard_m_f
ansus	Varo Cigno	matis_guard_m_h
anyus		
anyxmus		
arcane_apprentice		
arcane_master		
arcturusus		
Arena Patrol		
armor and shield shop		
artsiant_rolemaster		
assassin		
assus		
asunsus	Varo Lildo	matis_guard_m_h
asys		
atetys	Varo Becco	matis_guard_m_h
atyus		
aulnus	Sirgio Cuillo	matis_guard_m_f
aulyus	Sirgio Cuino	matis_guard_m_h
aumfus	Anibre Anidi	matis_guard_m_h
Ausulus		
ausus	Lini Ciono	matis_guard_m_h
autzamexus	Sirgio Freni	mahc1_c
auvzlus	Lini Bechini	mahc2_b
avae		
avevyus		
avexunys	Lini Anicco	mahc1
avfus		
avtus	Sirgio Begno	mahc1
avvus		
avxunzexxyus	Lini Antolli	mafc3old
avyus		
Avzys		
axlys	Lini Aniri	matis_guard_m_h
ayfus		
ayfyus	Sirgio Lichio	matis_guard_m_h
